Datum|Vrijeme|Prostor*|Tema|Nastava|Bodovi|Izvođač
05.10.2020.|08:00-10:00|028|Uvod - pravila igre|p||Patrizia Poščić
12.10.2020.|08:00-10:00|online|Uvod u baze podataka / osnovni pojmovi|p||Patrizia Poščić
15.10.2020.|08:00-14:00|350|Uvod u SQL (+ tjedna samoprovjera)|v||"Danijela Jakšić /Kristian Stančin"
15.10.2020.|08:00-14:00|350|Uvod u SQL (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
19.10.2020.|08:00-10:00|online|Vrste podataka i pohrane|p||Patrizia Poščić
22.10.2020.|08:00-14:00|online|Ograničenja i uloge (+ tjedna samoprovjera)|v||"Danijela Jakšić / Kristian Stančin"
22.10.2020.|08:00-14:00|online|Ograničenja i uloge (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
26.10.2020.|08:00-10:00|028|Relacijski model podataka|p||Patrizia Poščić
29.10.2020.|08:00-14:00|350|Upiti nad jednom tablicom (+ tjedna samoprovjera)|v||"Danijela Jakšić / Kristian Stančin"
29.10.2020.|08:00-14:00|350|Upiti nad jednom tablicom (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
02.11.2020.|08:00-10:00|online|Relacijska algebra- 1. dio|p||Patrizia Poščić
05.11.2020.|08:00-14:00|350|"Upiti nad jednom tablicom  - funkcije (+ tjedna samoprovjera)"|v||"Danijela Jakšić / Kristian Stančin"
05.11.2020.|08:00-14:00|350|"Upiti nad jednom tablicom  - funkcije (+ tjedna samoprovjera)"|k|3|"Danijela Jakšić / Kristian Stančin"
09.11.2020.|08:00-10:00|online|Relacijska algebra- 2. dio|p||Patrizia Poščić
12.11.2020.|08:00-14:00|350|Konzultacije za SQL|v||"Danijela Jakšić / Kristian Stančin"
16.11.2020.|08:00-10:00|online|TEORIJSKA SAMOPROVJERA|p||Patrizia Poščić
16.11.2020.|08:00-10:00|online|TEORIJSKA SAMOPROVJERA|k|16|Patrizia Poščić
19.11.2020.|08:00-14:00|350|Složeni upiti - dinamička zamjena rezultata (podupiti) (+ tjedna samoprovjera)|v||"Danijela Jakšić / Kristian Stančin"
19.11.2020.|08:00-14:00|350|Složeni upiti - dinamička zamjena rezultata (podupiti) (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
23.11.2020.|08:00-10:00|028|Metoda entiteti-veze|p||Patrizia Poščić
26.11.2020.|08:00-14:00|350|Složeni upiti - join (+ tjedna samoprovjera)|v||"Danijela Jakšić / Kristian Stančin"
26.11.2020.|08:00-14:00|350|Složeni upiti - join (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
03.12.2020.|08:00-14:00|online|Struktura tipa stabla - SQL*Plus (+ tjedna samoprovjera)|v||"Danijela Jakšić / Kristian Stančin"
03.12.2020.|08:00-14:00|online|Struktura tipa stabla - SQL*Plus (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
10.12.2020.|08:00-14:00|online|Formiranje izvješća (+ tjedna samoprovjera)|v||"Danijela Jakšić / Kristian Stančin"
10.12.2020.|08:00-14:00|online|Formiranje izvješća (+ tjedna samoprovjera)|k|3|"Danijela Jakšić / Kristian Stančin"
14.12.2020.|08:00-10:00|028|Normalizacija - 1. dio|p||Patrizia Poščić
17.12.2020.|08:00-14:00|online|"Programsko rješenje temeljeno na relacijskoj bazi podataka"|v||"Danijela Jakšić / Kristian Stančin"
21.12.2020.|08:00-10:00|online|Normalizacija - 2. dio|p||Patrizia Poščić
24.12.2020.||||v||"Danijela Jakšić / Kristian Stančin"
04.01.2021.||||p||Patrizia Poščić
07.01.2021.|08:00-14:00|350|Konzultacije za praktični rad|v||"Danijela Jakšić / Kristian Stančin"
11.01.2021.|08:00-10:00|online|Osnove fizičke organizacije BP|p||Patrizia Poščić
14.01.2021.|08:00-14:00|350|Konzultacije za praktični rad|v||"Danijela Jakšić / Kristian Stančin"
18.01.2021.|08:00-10:00|028|Konzultacije za završni ispit|p||Patrizia Poščić
21.01.2021.|08:00-14:00|online|Predaja praktičnog rada|v||"Danijela Jakšić / Kristian Stančin"
21.01.2021.|08:00-14:00|online|Predaja praktičnog rada|pr|30|"Danijela Jakšić / Kristian Stančin"
25.01.2021.|08:00-10:00|028|Konzultacije za završni ispit|p||Patrizia Poščić
28.01.2021.|08:00-14:00|350|Uvid u praktični rad|v||"Danijela Jakšić / Kristian Stančin"
03.02.2021.|00:00-23:59|028|Završni ispit (1. redovni rok)|z|30|Patrizia Poščić
17.02.2021.|00:00-23:59|028|Završni ispit (2. redovni rok)|z||Patrizia Poščić
29.03.2021.|00:00-23:59|028|Završni ispit (1. izvanredni rok)|z||Patrizia Poščić
01.09.2021.|00:00-23:59|028|Završni ispit (2. izvanredni rok)|z||Patrizia Poščić
