# TODO: Grupe
Datum|Vrijeme|Prostor*|Tema|Nastava|Bodovi|Izvođač
6.10.2020.|14:15-15:45|O-028|"Introduction to the course
Computer Architecture (vocabulary acquistion, disussion, listening and reading comprehension, writing,
Present Simple and Present
Continuous)"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
9.10.2020.|"12:15-13:45
14:15-15:45"|S-32||v||Doc. dr. sc. Lucia Načinović Prskalo
13.10.2020.|14:15-15:45|O-028|"Computer Applications (vocabulary acquistion, disussion, listening and reading comprehension, writing, Past Simple and Past Continuous)
Odabir teme prezentacije."|p||Doc. dr. sc. Lucia Načinović Prskalo
16.10.2020.|"12:15-13:45
14:15-15:45"|S-32||v||Doc. dr. sc. Lucia Načinović Prskalo
20.10.2020.||online|"Applications Programs (vocabulary acquistion, disussion, listening and reading comprehension, writing,
Articles)"|p||Doc. dr. sc. Lucia Načinović Prskalo
23.10.2020.||S-32||v||Doc. dr. sc. Lucia Načinović Prskalo
27.10.2020.||online|"Academic reading, writing and presenting
Odabir teme eseja."|p||Doc. dr. sc. Lucia Načinović Prskalo
30.10.2020.|"12:15-13:45
14:15-15:45"|S-32||v||"Doc. dr. sc. Lucia
Načinović Prskalo"
3.11.2020.|14:15-15:45|O-028|"Operating Systems
(vocabulary acquistion, disussion, listening and reading comprehension, writing, Conditionals)"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
6.11.2020.|"12:15-13:45
14:15-15:45"|S-32||v||Doc. dr. sc. Lucia Načinović Prskalo
10.11.2020.|14:15-15:45|O-028|"Networks
(vocabulary acquistion, disussion, listening and reading comprehension, writing,
grammar revision)"|p||Doc. dr. sc. Lucia Načinović Prskalo
13.11.2020.||online||v||Doc. dr. sc. Lucia Načinović Prskalo
17.11.2020.|14:15-15:45|O-028|"People in Computing
(vocabulary acquistion, disussion, listening and reading comprehension, writing,
grammar revision)"|p||Doc. dr. sc. Lucia Načinović Prskalo
20.11.2020.||online||v||Doc. dr. sc. Lucia Načinović Prskalo
24.11.2020.||online|"Computer Users
(vocabulary acquistion, disussion, listening and reading comprehension, writing,
Present Perfect and Past Simple)"|p||Doc. dr. sc. Lucia Načinović Prskalo
27.11.2020.|"12:15-13:45
14:15-15:45"|S-32||v||Doc. dr. sc. Lucia Načinović Prskalo
1.12.2020.||online|"Listening and reading
comprehension (1.online zadaća)"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
1.12.2020.||online|"Listening and reading
comprehension (1.online zadaća)"|kv|7,50|"Doc. dr. sc. Lucia
Načinović Prskalo"
4.12.2020.|"12:15-13:45
14:15-15:45"|S-32|Kolokvij|v||"Doc. dr. sc. Lucia
Načinović Prskalo"
4.12.2020.|"12:15-13:45
14:15-15:45"|S-32|Kolokvij|k|25,00|"Doc. dr. sc. Lucia
Načinović Prskalo"
8.12.2020.||online|The World Wide Web|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
11.12.2020.|"12:15-13:45
14:15-15:45"|S-32|"(vocabulary acquistion, disussion, listening and reading comprehension, writing, Future tenses)
Obvezna predaja eseja."|v||Doc. dr. sc. Lucia Načinović Prskalo
15.12.2020.|14:15-15:45|O-028|"Websites
(vocabulary acquistion, disussion, listening and reading comprehension, writing, The
Passive)"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
18.12.2020.||online||v||Doc. dr. sc. Lucia Načinović Prskalo
22.12.2020.||online|"Communications Systems (vocabulary acquistion, disussion, listening and reading
comprehension, writing, Reported Speech)"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
8.1.2021.||online||v||Doc. dr. sc. Lucia Načinović Prskalo
12.1.2021.|14:15-15:45|O-028|"Computing Support
(vocabulary acquistion, disussion, listening and reading comprehension, writing,
grammar revision)"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
15.1.2021.|"12:15-13:45
14:15-15:45"|S-32||v||Doc. dr. sc. Lucia Načinović Prskalo
19.1.2021.||online|"Listening and reading comprehension (2.
online zadaća)"|p||Doc. dr. sc. Lucia Načinović Prskalo
19.1.2021.||online|"Listening and reading comprehension (2.
online zadaća)"|kv|7,50|Doc. dr. sc. Lucia Načinović Prskalo
22.1.2021.||online|Revision|v||Doc. dr. sc. Lucia Načinović Prskalo
26.1.2021.|14:15-15:45|O-028|"Zaključna razmatranja, evaluacija
kolegija"|p||"Doc. dr. sc. Lucia
Načinović Prskalo"
29.1.2021.|"12:15-13:45
14:15-15:45"|S-32|Popravni kolokvij|v||"Doc. dr. sc. Lucia
Načinović Prskalo"
05.02.2021.|12:00-14:00|O-028|Završni ispit (1. redovni rok)|z|30,00|"Doc. dr. sc. Lucia
Načinović Prskalo"
19.02.2021.|12:00-14:00|O-028|Završni ispit (2. redovni rok)|z||"Doc. dr. sc. Lucia
Načinović Prskalo"
16.03.2021.|12:00-14:00|O-028|Završni ispit (1. Izvanredni rok)|z||"Doc. dr. sc. Lucia
Načinović Prskalo"
14.09.2021.|12:00-14:00|O-028|Završni ispit (2. Izvanredni rok)|z||"Doc. dr. sc. Lucia
Načinović Prskalo"
|||||30,00|
