Datum|Vrijeme|Prostor*|Tema|Nastava|Bodovi|Izvođač
8.10.2020.|14:15-15:45|O-028|"Uvod u kolegij. Osnovna načela
prebrojavanja."|p||"Marija
Maksimović"
8.10.2020.|16:15-17:45|O-028|Ponavljanje.|v||"Marija
Maksimović"
15.10.2020.|14:15-15:45|O-028|"Permutacije
skupova."|p||"Marija
Maksimović"
15.10.2020.|16:15-17:45|O-028|"Osnovna načela prebrojavanja. Permutacije
skupova."|v||"Marija
Maksimović"
22.10.2020.|14:15-15:45|O-028|"Kombinacije skupova.
Binomni
koeficijent."|p||"Marija
Maksimović"
22.10.2020.|16:15-17:45|O-028|"Permutacije skupova.
Kombinacije
skupova."|v||"Marija
Maksimović"
29.10.2020.|14:15-15:45|O-028|"Binomni
koeficijent."|p||"Marija
Maksimović"
29.10.2020.|16:15-17:45|O-028|"Kombinacije
skupova."|v||"Marija
Maksimović"
5.11.2020.|14:15-15:45|O-028|"Formula
uključivanja- isključivanja.
Totalna zbrka."|p||"Marija
Maksimović"
5.11.2020.|16:15-17:45|O-028|"Kombinacije skupova.
Binomni
koeficijent."|v||"Marija
Maksimović"
12.11.2020.|14:15-15:45|O-028|"Dirichletovo
načelo."|p||"Marija
Maksimović"
12.11.2020.|16:15-17:45|O-028|"Formula
uključivanja-
isključivanja.To
talna zbrka."|v||"Marija
Maksimović"
19.11.2020.|14:15-15:45|O-028|"Permutacije multiskupova. Kombinacije
multiskupova."|p||"Marija
Maksimović"
19.11.2020.|16:15-17:45|O-028|1. kolokvij|v||"Marija
Maksimović"
19.11.2020.|16:15-17:45|O-028|1. kolokvij|k|25,00|"Marija
Maksimović"
26.11.2020.|14:15-15:45|O-028|"Kombinacije multiskupova. Multinomni
koeficijent."|p||"Marija
Maksimović"
26.11.2020.|16:15-17:45|O-028|"Dirichletovo
načelo."|v||"Marija
Maksimović"
3.12.2020.|14:15-15:45|O-028|Rekurzije.|p||"Marija
Maksimović"
3.12.2020.|16:15-17:45|O-028|"Permutacije multiskupova. Kombinacije
multiskupova."|v||"Marija
Maksimović"
10.12.2020.|14:15-15:45|O-028|Rekurzije.|p||"Marija
Maksimović"
10.12.2020.|16:15-17:45|O-028|"Kombinacije multiskupova.
Multinomni koeficijent."|v||"Marija
Maksimović"
17.12.2020.|14:15-15:45|O-028|"Funkcije
izvodnice."|p||"Marija
Maksimović"
17.12.2020.|16:15-17:45|O-028|"Rekurzivne
relacije."|v||"Marija
Maksimović"
7.1.2021.|14:15-15:45|O-028|"Ramseyev
teorem"|p||"Marija
Maksimović"
7.1.2021.|16:15-17:45|O-028|"Rekurzivne relacije.
Funkcije
izvodnice."|v||"Marija
Maksimović"
14.1.2021.|14:15-15:45|O-028|"Ramseyev
teorem"|p||"Marija
Maksimović"
14.1.2021.|16:15-17:45|O-028|"Funkcije
izvodnice."|v||"Marija
Maksimović"
21.1.2021.|14:15-15:45|O-028|"Incidencijske
strukture."|p||"Marija
Maksimović"
21.1.2021.|16:15-17:45|O-028|2. kolokvij|v||"Marija
Maksimović"
21.1.2021.|16:15-17:45|O-028|2. kolokvij|k|25,00|"Marija
Maksimović"
28.1.2021.|14:15-15:45|O-028|"Popravne
aktivnosti"|p||"Marija
Maksimović"
28.1.2021.|16:15-17:45|O-028|"Ramseyev
teorem"|v||"Marija
Maksimović"
04.02.2021.|09:00-11:00|O-028|Završni ispit (1. redovni rok)|z|30,00|"Marija
Maksimović"
18.02.2021.|09:00-11:00|O-028|Završni ispit (2. redovni rok)|z||"Marija
Maksimović"
04.03.2021.|09:00-11:00|O-028|Završni ispit (1. izvanredni rok)|z||"Marija
Maksimović"
15.09.2021.|09:00-11:00|O-028|Završni ispit (2. izvanredni rok)|z||"Marija
Maksimović"
|||||20,00|
