Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
9.10.2020.|00:00-23:59|S32|Uvodno predavanje|P||Prof. dr. sc. M. Pavlić
9.10.2020.|00:00-23:59|S32|Prezentacija projekta|V||Izv. prof. dr. sc. S. Čandrlić
16.10.2020.|00:00-23:59|S32|Osnovni koncepti|P||Prof. dr. sc. M. Pavlić
16.10.2020.|00:00-23:59|S32|Osnovni koncepti|V||Izv. prof. dr. sc. S. Čandrlić
23.10.2020.|00:00-23:59|Online|Korisnički zahtjevi|P||Prof. dr. sc. M. Pavlić
23.10.2020.|00:00-23:59|Online|Dokumentiranje korisničkih zahtjeva|V||Izv. prof. dr. sc. S. Čandrlić
30.10.2020.|00:00-23:59|Online|Uloga korisnika u razvoju sustava. Komunikacijski proces|P||Prof. dr. sc. M. Pavlić
30.10.2020.|00:00-23:59|Online|Uloga korisnika u razvoju sustava. Komunikacijski proces|V||Izv. prof. dr. sc. S. Čandrlić
6.11.2020.|00:00-23:59|S32|Projektni zadatak 1|P||Prof. dr. sc. M. Pavlić
6.11.2020.|00:00-23:59|S32|Projektni zadatak 1|V||Izv. prof. dr. sc. S. Čandrlić
13.11.2020.|00:00-23:59|S32|Analiza projektnog zadatka 1|P||Prof. dr. sc. M. Pavlić
13.11.2020.|00:00-23:59|S32|Analiza projektnog zadatka 1|V||Izv. prof. dr. sc. S. Čandrlić
20.11.2020.|00:00-23:59|Online|Izrada modela sustava|P||Prof. dr. sc. M. Pavlić
20.11.2020.|00:00-23:59|Online|Izrada modela sustava|V||Izv. prof. dr. sc. S. Čandrlić
27.11.2020.|00:00-23:59|S32|Projektni zadatak 2|P||Prof. dr. sc. M. Pavlić
27.11.2020.|00:00-23:59|S32|Projektni zadatak 2|V||Izv. prof. dr. sc. S. Čandrlić
4.12.2020.|00:00-23:59|S32|Analiza projektnog zadatka 2|P||Prof. dr. sc. M. Pavlić
4.12.2020.|00:00-23:59|S32|Analiza projektnog zadatka 2|V||Izv. prof. dr. sc. S. Čandrlić
11.12.2020.|00:00-23:59|Online|Primjeri, modeliranje|P||Prof. dr. sc. M. Pavlić
11.12.2020.|00:00-23:59|Online|Primjeri, modeliranje|V||Izv. prof. dr. sc. S. Čandrlić
18.12.2020.|00:00-23:59|S32|Izrada modela sustava|P||Prof. dr. sc. M. Pavlić
18.12.2020.|00:00-23:59|S32|Izrada modela sustava|V||Izv. prof. dr. sc. S. Čandrlić
8.1.2021.|00:00-23:59|S32|Projektni zadatak 3|P||Prof. dr. sc. M. Pavlić
8.1.2021.|00:00-23:59|S32|Projektni zadatak 3|V||Izv. prof. dr. sc. S. Čandrlić
15.1.2021.|00:00-23:59|S32|Analiza projektnog zadatka 3|P||Prof. dr. sc. M. Pavlić
15.1.2021.|00:00-23:59|S32|Analiza projektnog zadatka 3|V||Izv. prof. dr. sc. S. Čandrlić
22.1.2021.|00:00-23:59|Online|Validacija|P||Prof. dr. sc. M. Pavlić
22.1.2021.|00:00-23:59|Online|Validacija|V||Izv. prof. dr. sc. S. Čandrlić
29.1.2021.|00:00-23:59|Online|Validacija|P||Prof. dr. sc. M. Pavlić
29.1.2021.|00:00-23:59|Online|Validacija|V||Izv. prof. dr. sc. S. Čandrlić
15.1.2021.|00:00-23:59|S32|Projektni zadatak|P|70|Prof. dr. sc. M. Pavlić
12.02.2021.|00:00-23:59|S32|Projektni zadatak|z|30|Prof. dr. sc. M. Pavlić
26.02.2021.|00:00-23:59|S32|Projektni zadatak|z||Prof. dr. sc. M. Pavlić
19.03.2021.|00:00-23:59|S32|Projektni zadatak|z||Prof. dr. sc. M. Pavlić
02.09.2021.|00:00-23:59|S32|Projektni zadatak|z||Prof. dr. sc. M. Pavlić
|||||0|
