Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
05.10.2020.||online|Obveze pri vježbama,  Definiranje potrebnog predznanja, Software|p||Ivona Franković
05.10.2020.||online|Obveze pri vježbama,  Definiranje potrebnog predznanja, Software|p||Ivona Franković
08.10.2020.|12:15 - 14:00|S32|Uvod u predmet,  Objektni pristup|P||dr.sc. Marina Ivašić-Kos
12.10.2019.|12:00 - 13:30|350|Objektni pristup,  Klase, Privatni atributi i metode, Poziv klase|p||Ivona Franković
12.10.2019.|13:45 - 15:15|350|Objektni pristup,  Klase, Privatni atributi i metode, Poziv klase|p||Ivona Franković
15.10.2020.|12:15 - 14:00|"S32/
online"|Klase, Privatni atributi i metode, Poziv klase|p||dr.sc. Marina Ivašić-Kos
19.10.2020.|12:00 - 13:30|350|Konstruktori, Destruktori, Preopterećivanje|p||Ivona Franković
19.10.2020.|13:45 - 15:15|350|Konstruktori, Destruktori, Preopterećivanje|p||Ivona Franković
22.10.2020.||"S32/
online"|Konstruktori, Destruktori, Preopterećivanje|P||dr.sc. Marina Ivašić-Kos
26.10.2019.|12:00 - 13:30|350|Niz klasa, Dinamička def. klasa, This, Složene klase.|p||Ivona Franković
26.10.2019.|13:45 - 15:15|350|Niz klasa, Dinamička def. klasa, This, Složene klase.|p||Ivona Franković
29.10.2020.|12:15 - 14:00|"S32/
online"|Niz klasa, Dinamička def. klasa, This, Složene klase.|P||dr.sc. Marina Ivašić-Kos
02.11.2020.||"350/
online"|Predlošci i vektori, Copy konstruktor, Ref. na klasu|p||Ivona Franković
02.11.2020.||"350/
online"|Predlošci i vektori, Copy konstruktor, Ref. na klasu|p||Ivona Franković
05.11.2020.|12:15 - 14:00|"S32/
online"|Predlošci i vektori, Copy konstruktor, Ref. na klasu|P||dr.sc. Marina Ivašić-Kos
09.11.2020.|12:00 - 13:30|350|Nasljeđivanje, nadjačavanje i višestruko nasljeđivanje.|p||Ivona Franković
09.11.2020.|13:45 - 15:15|350|Nasljeđivanje, nadjačavanje i višestruko nasljeđivanje.|p||Ivona Franković
12.11.2020.|12:15 - 14:00|"S32/
online"|Nasljeđivanje, nadjačavanje i višestruko nasljeđivanje.|P||dr.sc. Marina Ivašić-Kos
16.11.2020.|12:00 - 13:30|350|Apstraktne klase, Polimorfizam, Virtualne klase|p||Ivona Franković
16.11.2020.|13:45 - 15:15|350|Apstraktne klase, Polimorfizam, Virtualne klase|p||Ivona Franković
19.11.2020.||"S32/
online"|Apstraktne klase, Polimorfizam, Virtualne klase|P||dr.sc. Marina Ivašić-Kos
23.11.2020.|12:00 - 13:30|350|Kolokvij|p||Ivona Franković
23.11.2020.|13:45 - 15:15|350|Kolokvij|p||Ivona Franković
23.11.2020.|12:00 - 15:15|350|Kolokvij|k|30|Ivona Franković
26.11.2020.|12:15 - 14:00|"S32/
online"|STL kontejneri. STL iteratori i algoritm|p||dr.sc. Marina Ivašić-Kos
30.11.2020.||"350/
online"|STL kontejneri. STL iteratori i algoritm|p||Ivona Franković
30.11.2020.||"350/
online"|STL kontejneri. STL iteratori i algoritm|p||Ivona Franković
03.12.2020.|12:15 - 14:00|online|Case study|p||dr.sc. Marina Ivašić-Kos
07.12.2020.|12:00 - 13:30|350|Kviz|p||Ivona Franković
07.12.2020.|13:45 - 15:15|350|Kviz|p||Ivona Franković
07.12.2020.|12:00 - 15:15|350|Kviz|kv|30|Ivona Franković
10.12.2020.|12:15 - 14:00|"S32/
online"|Podešavanje performansa aplikacije. Upravljanje memorijom i pokazivači.|p||dr.sc. Marina Ivašić-Kos
14.12.2020.|12:00 - 13:30|350|Unity - alat za izradu igara|p||Ivona Franković
14.12.2020.|13:45 - 15:15|350|Unity - alat za izradu igara|p||Ivona Franković
17.12.2020.||"S32/
online"|Računalne igre.|p||dr.sc. Marina Ivašić-Kos
21.12.2020.|12:00 - 13:30|350|Unity - stvaranje environment-a igre|p||Ivona Franković
21.12.2020.|13:45 - 15:15|350|Unity - stvaranje environment-a igre|p||Ivona Franković
07.01.2021.|12:15 - 14:00|"S32/
online"|Razvoj računalnih igara.  Dizajn.|p||dr.sc. Marina Ivašić-Kos
11.01.2021.|12:00 - 13:30|350|Primjena C# u Unity-ju. Input - kretanje lika|p||
11.01.2021.|13:45 - 15:15|350|Primjena C# u Unity-ju. Input - kretanje lika|p||
14.01.2021.|12:15 - 14:00|"S32/
online"|Razvoj računalnih igara. Unity engine|P||dr.sc. Marina Ivašić-Kos
18.01.2021.|12:00 - 13:30|350|Primjena mehanika igre|p||Ivona Franković
18.01.2021.|13:45 - 15:15|350|Primjena mehanika igre|p||Ivona Franković
21.01.2021.|12:15 - 14:00|"S32/
online"|Praktikum, Definiranje projektnih zadataka|p||dr.sc. Marina Ivašić-Kos
25.01.2021.||"350/
online"|Uključivanje zvuka. GUI. Build igre|p||Ivona Franković
25.01.2021.||"350/
online"|Uključivanje zvuka. GUI. Build igre|p||Ivona Franković
28.01.2021.||online|Predstavljanje i analiza projektnih zadataka|p||dr.sc. Marina Ivašić-Kos
09.02.2021.|00:00 -23:59|350|Završni ispit (1. redovni rok)|z|40|dr.sc. Marina Ivašić-Kos
23.02.2021.|00:00 -23:59|350|Završni ispit (2. redovni rok)|z||dr.sc. Marina Ivašić-Kos
30.03.2021.|00:00 -23:59|350|Završni ispit (1. izvanredni rok)|z||dr.sc. Marina Ivašić-Kos
03.09.2021.|00:00 -23:59|350|Završni ispit (2. izvanredni rok)|z||dr.sc. Marina Ivašić-Kos
|||||0|
