Datum|Vrijeme|Prostor*|Tema|Nastava|Bodovi|Izvođač
5.10.2020.|00:00-23:59|O-028|Uvodno predavanje|p||Sanja Čandrlić
6.10.2020.|00:00-23:59|O-366|"Uvod u Clarion, izrada modela, kreiranje
rječnika"|v||Martina Ašenbrener Katić
12.10.2020.|00:00-23:59|O-028|Osnovni pojmovi u programskom inženjerstvu|p||Sanja Čandrlić
13.10.2020.|00:00-23:59|O-366|Izrada rječnika|v||Martina Ašenbrener Katić
19.10.2020.|00:00-23:59|Online|Kriteriji za procjenu kvalitete softvera|p||Sanja Čandrlić
20.10.2020.|00:00-23:59|O-366|Izrada aplikacije, Browse i Form|v||Martina Ašenbrener Katić
26.10.2020.|00:00-23:59|O-028|Modeli softverskog procesa|p||Sanja Čandrlić
27.10.2020.|00:00-23:59|O-366|Izrada aplikacije, Browse i Form|v||Martina Ašenbrener Katić
2.11.2020.|00:00-23:59|O-028|Modeli softverskog procesa|p||Sanja Čandrlić
3.11.2020.|00:00-23:59|O-366|Izrada izvještaja|v||Martina Ašenbrener Katić
9.11.2020.|00:00-23:59|Online|Kviz za samoprovjeru|p||Sanja Čandrlić
10.11.2020.|00:00-23:59|O-366|"Programski kod u Clarionu (unos podatka,
ispis)"|v||Martina Ašenbrener Katić
16.11.2020.|00:00-23:59|Online|Analiza i definicija|p||Sanja Čandrlić
17.11.2020.|00:00-23:59|O-366|Programski kod u Clarionu (IF, Loop)|v||Martina Ašenbrener Katić
23.11.2020.|00:00-23:59|Online|Dizajn softvera|p||Sanja Čandrlić
24.11.2020.|00:00-23:59|O-366|Programski kod u Clarionu (Niz, matrice)|v||Martina Ašenbrener Katić
30.11.2020.|00:00-23:59|Online|Implementacija|p||Sanja Čandrlić
1.12.2020.|00:00-23:59|O-366|"Programski kod u Clarionu (CASE OF, hide,
unhide, enable, disable, group)"|v||Martina Ašenbrener Katić
7.12.2020.|00:00-23:59|Online|Implementacija|p||Sanja Čandrlić
8.12.2020.|00:00-23:59|O-366|"Programski kod u Clarionu (Stringovi i zadaci
sa stringovima)"|v||Martina Ašenbrener Katić
14.12.2020.|00:00-23:59|Online|"Testiranje softvera. Funkcionalno testiranje
softvera"|p||Sanja Čandrlić
15.12.2020.|00:00-23:59|O-366|Projektni zadatak|v||Martina Ašenbrener Katić
15.12.2020.|00:00-23:59|O-366|Projektni zadatak|pr|20|Martina Ašenbrener Katić
21.12.2020.|00:00-23:59|Online|Strukturno testiranje softvera|p||Sanja Čandrlić
22.12.2020.|00:00-23:59|Online|Izrada projekta.|v||Martina Ašenbrener Katić
11.1.2021.|00:00-23:59|Online|Kviz za samoprovjeru|p||Sanja Čandrlić
11.1.2021.|00:00-23:59|Online|Kviz za samoprovjeru|k|10|Sanja Čandrlić
12.1.2021.|00:00-23:59|Online|Izrada projekta.|v||Martina Ašenbrener Katić
18.1.2021.|00:00-23:59|O-028|Održavanje softvera|p||Sanja Čandrlić
19.1.2021.|00:00-23:59|O-366|Izrada projekta. Prezentacije projekata|v||Martina Ašenbrener Katić
19.1.2021.|00:00-23:59|O-366|Izrada projekta. Prezentacije projekata|prez|40|Martina Ašenbrener Katić
25.1.2021.|00:00-23:59|O-028|"Analiza studentskih rezultata, konzultacije za
završni ispit"|p||Sanja Čandrlić
26.1.2021.|00:00-23:59|O-366|Prezentacije projekata|v||Martina Ašenbrener Katić
5. 2. 2021.|00:00-23:59|O-028|Završni ispit (1. redovni rok)|z|30|Sanja Čandrlić
19. 2. 2021.|00:00-23:59|O-028|Završni ispit (2. redovni rok)|z||Sanja Čandrlić
26. 3. 2021.|00:00-23:59|O-028|Završni ispit (1. izvanredni rok)|z||Sanja Čandrlić
10. 9. 2021.|00:00-23:59|O-028|Završni ispit (2. izvanredni rok)|z||Sanja Čandrlić
|||||0|
