Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
9.10.2020.|10:15-11:45|O-028|Uvod u kolegij, osnovni koncepti|p||Mile Pavlić
9.10.2020.|12:15-13:45|O-028|Uvod u kolegij, osnovni koncepti|v||Rebeka Lerga
16.10.2020.|10:15-11:45|O-028|Sustavni pristup, metoda SAS|p||Mile Pavlić
16.10.2020.|12:15-13:45|O-028|Osnovni koncepti - primjeri|v||Rebeka Lerga
23.10.2020.|10:15-11:45|Online|Dekompozicija|p||Mile Pavlić
23.10.2020.|12:15-13:45|O-028|Dekompozicija - primjeri|v||Rebeka Lerga
30.10.2020.|10:15-11:45|Online|DTP|p||Mile Pavlić
30.10.2020.|12:15-13:45|O-028|Primjeri DTP|v||Rebeka Lerga
6.11.2020.|10:15-11:45|Online|Samoprovjera|p||Mile Pavlić
6.11.2020.|10:15-11:45|Online|Samoprovjera|kv|3.33|Mile Pavlić
6.11.2020.|12:15-13:45|Online|Primjeri DTP|v||Rebeka Lerga
13.11.2020.|10:15-11:45|O-028|Balans|p||Mile Pavlić
13.11.2020.|12:15-13:45|O-028|Balans, crtanje DTP|v||Rebeka Lerga
20.11.2020.|10:15-11:45|O-028|Preporuke i konvencije|p||Mile Pavlić
20.11.2020.|12:15-13:45|O-028|UML, BPMN, primjeri|v||Rebeka Lerga
27.11.2020.|10:15-11:45|Online|Samoprovjera|p||Mile Pavlić
27.11.2020.|10:15-11:45|Online|Samoprovjera|kv|3.33|Mile Pavlić
27.11.2020.|12:15-13:45|O-028|Projektni zadatak|v||Rebeka Lerga
27.11.2020.|12:15-13:45|O-028|Projektni zadatak|pr|15.00|Rebeka Lerga
4.12.2020.|10:15-11:45|O-028|Ograničenja|p||Mile Pavlić
4.12.2020.|12:15-13:45|O-028|Ograničenja|v||Rebeka Lerga
11.12.2020.|10:15-11:45|Online|Proces modeliranja procesa|p||Mile Pavlić
11.12.2020.|12:15-13:45|O-028|Projektni zadatak - prikaz rješenja i rezultata|v||Rebeka Lerga
18.12.2020.|10:15-11:45|Online|Samoprovjera|p||Mile Pavlić
18.12.2020.|10:15-11:45|Online|Samoprovjera|kv|3.34|Mile Pavlić
18.12.2020.|12:15-13:45|O-028|Projektni zadatak|v||Rebeka Lerga
18.12.2020.|12:15-13:45|O-028|Projektni zadatak|pr|15.00|Rebeka Lerga
8.1.2021.|10:15-11:45|O-028|Ponavljanje|p||Mile Pavlić
8.1.2021.|12:15-13:45|O-028|Projektni zadatak - prikaz rješenja i rezultata|v||Rebeka Lerga
15.1.2021.|10:15-11:45|Online|Reinženjering poslovnih procesa|p||Mile Pavlić
15.1.2021.|12:15-13:45|O-028|Kolokvij|v||Rebeka Lerga
15.1.2021.|12:15-13:45|O-028|Kolokvij|k|30.00|Rebeka Lerga
22.1.2021.|10:15-11:45|O-028|Priprema za završni ispit - ponavljanje, konzultacije|p||Mile Pavlić
22.1.2021.|12:15-13:45|O-028|Priprema za završni - ponavljanje, konzultacije|v||Rebeka Lerga
29.1.2021.|10:15-11:45|O-028|Analiza studentskih rezultata|p||Mile Pavlić
29.1.2021.|10:15-11:45|O-028|Popravni kolokvij|v||Rebeka Lerga
12.2.2021.|00:00-23:59|O-028|Završni ispit (1. redovni rok)|z|30.00|Rebeka Lerga
26.2.2021.|00:00-23:59|O-028|Završni ispit (2. redovni rok)|z||Rebeka Lerga
19.3.2021.|00:00-23:59|O-028|Završni ispit (1. izvanredni rok)|z||Rebeka Lerga
2.9.2021.|00:00-23:59|O-028|Završni ispit (2. izvanredni rok)|z||Rebeka Lerga
