Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
7.10.2020|10:15-15:30|O-366|Uvod u vježbe|v||Slobodan Beliga
7.10.2020|14:15-15:45|O-028|Uvod u predmet. Osnove multimedije|p||Nataša Hoić-Božić
14.10.2020|10:15-15:30|O-366|HTML - osnovni elementi|v||Slobodan Beliga
14.10.2020|14:15-15:45|online|Uvod u WWW, HTML, CSS (1. dio)|p||Nataša Hoić-Božić
21.10.2020||online|CSS - uređenje HTML elemenata (1. dio)|v||Slobodan Beliga
21.10.2020||online|Uvod u WWW, HTML, CSS (2. dio)|p||Nataša Hoić-Božić
28.10.2020|10:15-15:30|O-366|CSS - uređenje HTML elemenata (2. dio)|v||Slobodan Beliga
28.10.2020|14:15-15:45|O-028|Grafika (1.dio)|p||Nataša Hoić-Božić
4.11.2020|10:15-15:30|O-366|Obrada slike (1.dio)|v||Slobodan Beliga
4.11.2020||online|Grafika (2.dio)|p||Nataša Hoić-Božić
11.11.2020||online|Obrada slike (2.dio)|v||Slobodan Beliga
11.11.2020||online|Zvuk, Animacija, Video|p||Nataša Hoić-Božić
25.11.2020||online|Vektorsko crtanje|v||Slobodan Beliga
26.11.2020|14:15-15:45|O-028|Tekst, tipografija|p||Nataša Hoić-Božić
2.12.2020.|10:15-15:30|O-366|Obrada videa|v||Slobodan Beliga
2.12.2020.|14:15-15:45|O-028|Osnove web dizajna|p||Nataša Hoić-Božić
9.12.2020.||online|Uključivanje multimedije na web|v||Slobodan Beliga
9.12.2020.|14:15-15:45|O-028|Responzivni web dizajn (RWD)|p||Nataša Hoić-Božić
16.12.2020.|10:15-15:30|O-366|1. kolokvij|v||Slobodan Beliga
16.12.2020.|10:15-15:30|O-366|1. kolokvij|k|24.00|Slobodan Beliga
16.12.2020.|14:15-15:45|O-028|Dizajniranje weba za poslovanje|p||Nataša Hoić-Božić
23.12.2020|10:15-15:30|O-366|Izrada skice layouta weba|v||Slobodan Beliga
23.12.2020||online|Izrada wiki analize web sjediša|p||Nataša Hoić-Božić
13.1.2021|10:15-15:30|O-366|Izrada responzivnog web sjedišta (1. dio)|v||Slobodan Beliga
13.1.2021||online|Izrada wiki analize web sjedišta|p||Nataša Hoić-Božić
20.1.2021||online|Izrada responzivnog web sjedišta (2. dio)|v||Slobodan Beliga
20.1.2021||online|Izrada wiki analize web sjedišta|p||Nataša Hoić-Božić
27.1.2021||online|Dovršavanje i objava web sjedišta na web serveru|v||Slobodan Beliga
27.1.2021|14:15-15:45|O-028|Upute za izradu web sjedišta|p||Nataša Hoić-Božić
9.2.2021.|00:00-23:59|O-028|Završni ispit (1. redovni rok)|z|30.00|Nataša Hoić-Božić
23.2.2021.|00:00-23:59|O-028|Završni ispit (2. redovni rok)|z||Nataša Hoić-Božić
9.3.2021.|00:00-23:59|O-028|Završni ispit (1. izvanredni rok)|z||Nataša Hoić-Božić
7.9.2021.|00:00-23:59|O-028|Završni ispit (2. izvanredni rok)|z||Nataša Hoić-Božić
|00:00-23:59||Korištenje Merlin sustava za učenje|o|14.00|
|00:00-23:59||E-portfolio s rješenjima zadataka s vježbi|o|12.00|
|00:00-23:59||Online diskusija (suradničko pisanje u wiki alatu)|o|20.00|
