Datum|Vrijeme|Prostor|Tema|Nastava|Grupa|Bodovi|Izvođač
06.10.2020.|08:15-09:45|366|Uvod u Python|V|G1||Sanda Bujačić Babić
06.10.2020.|10:15-11:45|366|Uvod u Python|V|G2||Sanda Bujačić Babić
06.10.2020.|14:15-15:45|S32|Uvod u Python|P|||Sanda Bujačić Babić
13.10.2020.|08:15-09:45|Online (Merlin/Jitsi)|Greške|V|G1||Sanda Bujačić Babić
13.10.2020.|10:15-11:45|Online (Merlin/Jitsi)|Greške|V|G2||Sanda Bujačić Babić
13.10.2020.|14:15-15:45|Online (Merlin/Jitsi)|Greške|P|||Sanda Bujačić Babić
20.10.2020.|08:15-09:45|366|Aproksimacija funkcije|V|G1||Sanda Bujačić Babić
20.10.2020.|10:15-11:45|366|Aproksimacija funkcije|V|G2||Sanda Bujačić Babić
20.10.2020.|14:15-15:45|S32|Aproksimacija funkcije|P|||Sanda Bujačić Babić
27.10.2020.|08:15-09:45|366|Lagrangeov polinom|V|G1||Sanda Bujačić Babić
27.10.2020.|10:15-11:45|366|Lagrangeov polinom|V|G2||Sanda Bujačić Babić
27.10.2020.|14:15-15:45|S32|Lagrangeov polinom|P|||Sanda Bujačić Babić
03.11.2020.|08:15-09:45|366|Newtonov polinom|V|G1||Sanda Bujačić Babić
03.11.2020.|10:15-11:45|366|Newtonov polinom|V|G2||Sanda Bujačić Babić
03.11.2020.|14:15-15:45|S32|Newtonov polinom|P|||Sanda Bujačić Babić
10.11.2020.|08:15-09:45|Online (Merlin/Jitsi)|Splajn|V|G1||Sanda Bujačić Babić
10.11.2020.|10:15-11:45|Online (Merlin/Jitsi)|Splajn|V|G2||Sanda Bujačić Babić
10.11.2020.|14:15-15:45|Online (Merlin/Jitsi)|Splajn|P|||Sanda Bujačić Babić
17.11.2020.|08:15-09:45|366|Regresija  +  domaća zadaća|V|G1||Sanda Bujačić Babić
17.11.2020.|10:15-11:45|366|Regresija  +  domaća zadaća|V|G2||Sanda Bujačić Babić
17.11.2020.|10:15-11:45|366|Regresija  +  domaća zadaća|DZ||5|Sanda Bujačić Babić
17.11.2020.|14:15-15:45|S32|Regresija + TEST|P|||Sanda Bujačić Babić
17.11.2020.|14:15-15:45|S32|Regresija + TEST|KV||5|Sanda Bujačić Babić
24.11.2020.|08:15-09:45|366|PRVI KOLOKVIJ|V|G1||Sanda Bujačić Babić
24.11.2020.|10:15-11:45|366|PRVI KOLOKVIJ|V|G2||Sanda Bujačić Babić
24.11.2020.|14:15-15:45|S32|PRVI KOLOKVIJ|P|||Sanda Bujačić Babić
24.11.2020.|08.15-15.45|366|PRVI KOLOKVIJ|K||25|Sanda Bujačić Babić
01.12.2020.|08:15-09:45|366|Nelinearne jednadžbe. Bisekcija|V|G1||Sanda Bujačić Babić
01.12.2020.|10:15-11:45|366|Nelinearne jednadžbe. Bisekcija|V|G2||Sanda Bujačić Babić
01.12.2020.|14:15-15:45|S32|Nelinearne jednadžbe. Bisekcija|P|||Sanda Bujačić Babić
08.12.2020.|08:15-09:45|366|Newtonova metoda. Metoda sekante|V|G1||Sanda Bujačić Babić
08.12.2020.|10:15-11:45|366|Newtonova metoda. Metoda sekante|V|G2||Sanda Bujačić Babić
08.12.2020.|14:15-15:45|S32|Newtonova metoda. Metoda sekante|P|||Sanda Bujačić Babić
15.12.2020.|08:15-09:45|366|Numerička integracija. Simpsonova i trapezna formula|V|G1||Sanda Bujačić Babić
