Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
07.10.2020.|8:15-10:00|Online|Uvod. Predstavljanje, detaljno upoznavanje studenata s bodovima i obvezama. Osnove C++-a (varijable i dodjela, ulaz i izlaz, tipovi podataka i izrazi).|P||Maja Matetić
09.10.2020.|12:15 -16:00|O-366|Uvod. Predstavljanje, detaljno upoznavanje studenata s bodovima i obvezama. Upoznavanje sa sustavom Merlin. Upoznavanje s okruženjem za razvoj programa.|V||Dejan Ljubobratović
14.10.2020.|8:15 - 10:00|O-28|Kontrola tijeka izvođenja programa: logički izrazi, naredba if-else.|P||Maja Matetić
16.10.2020.|12:15 -16:00|O-366|Dijagram tijeka i pseudokod. Tipovi podataka, ulaz, izlaz i varijable.|V||Dejan Ljubobratović
21.10.2020.|8:15 - 10:00|Online|Jednostavnija uporaba petlji: while, do-while|P||Maja Matetić
23.10.2020.|12:15 -16:00|O-366|Logički izrazi. Grananje.|V||Dejan Ljubobratović
28.10.2020.|8:15 - 10:00|O-28|Višestruko grananje u programu (ugniježđena if naredba, naredba switch).|P||Maja Matetić
30.10.2020.|12:15 -16:00|O-366|Višestruko grananje u programu.|P||Dejan Ljubobratović
04.11.2020.|8:15 - 10:00|Online|Složenija uporaba petlji: while, do-while, for.|P||Maja Matetić
06.11.2020.|12:15 -16:00|O-366|Priprema za kolokvij|V||Dejan Ljubobratović
11.11.2020.|8:15 - 10:00|O-28|Oblikovanje petlji (izlaz iz petlje, ugniježđene petlje, traženje greške u petlji).|P||Maja Matetić
13.11.2020.|12:15 -16:00|O-366|Kolokvij|V||Dejan Ljubobratović
13.11.2020.|12:15 -16:00|O-366|Kolokvij|K|20|Dejan Ljubobratović
21.11.2020.|8:15 - 10:00|Online|Polje (array), Strukture. Niz (string). - online nadoknada od 18.11. -|P||Maja Matetić
20.11.2020.|12:15 -16:00|O-366|Petlje. Ugniježđivanje petlji.|V||Dejan Ljubobratović
25.11.2020.|8:15 - 10:00|O-28|Funkcije: Funkcije koje vraćaju vrijednost, Pretvorba tipa.|P||Maja Matetić
27.11.2020.|12:15 -16:00|O-366|Polja i nizovi. Dvodimenzionalna polja. Strukture.|V||Dejan Ljubobratović
02.12.2020.|8:15 - 10:00|Online|Priprema za kviz|P||Maja Matetić
04.12.2020.|12:15 -16:00|O-366|Prvi kviz|KV|10|Maja Matetić/ Dejan Ljubobratović
04.12.2020.|12:15 -16:00|O-366|Prvi kviz|V||Maja Matetić/ Dejan Ljubobratović
09.12.2020.|8:15 - 10:00|O-28|Funkcije koje definira programer, proceduralna apstrakcija, lokalne varijable.|P||Maja Matetić
11.12.2020.|12:15 -16:00|Online|1. Laboratorijska vježba (online)|V||Dejan Ljubobratović
11.12.2020.|12:15 -16:00|Online|1. Laboratorijska vježba (online)|LZ|6|Dejan Ljubobratović
16.12.2020.|8:15 - 10:00|O-28|Funkcije tipa void, prosljeđivanje vrijednosti referencom|P||Maja Matetić
18.12.2020.|12:15 -16:00|O-366|Funkcije koje vraćaju vrijednost. Testiranje funkcija, tehnike traženja grešaka.|V||Dejan Ljubobratović
23.12.2020.|8:15 - 10:00|O-28|Polja u funkciji. Testiranje funkcija, tehnike traženja grešaka. Nadjačavanje funkcija.|P||Maja Matetić
08.01.2021.|12:15 -16:00|O-366|Funkcije tipa void, prosljeđivanje vrijednosti referencom.|V||Dejan Ljubobratović
13.01.2021.|8:15 - 10:00|O-28|Datoteke|P||Maja Matetić
15.01.2021.|12:15 -16:00|Online|2. Laboratorijska vježba (online) (Rad sa datotekama)|V||Dejan Ljubobratović
15.01.2021.|12:15 -16:00|Online|2. Laboratorijska vježba (online) (Rad sa datotekama)|LZ|6|Dejan Ljubobratović
20.01.2021.|8:15 - 10:00|Online|Priprema za kviz|P||Maja Matetić
22.01.2021.|12:15 -16:00|O-366|Drugi kviz|V||Maja Matetić/Dejan Ljubobratović
22.01.2021.|12:15 -16:00|O-366|Drugi kviz|KV|14|Maja Matetić/Dejan Ljubobratović
27.01.2021.|8:15 - 10:00|O-28|Nema predavanja (odrađeno 22.1.)|P||Maja Matetić
29.01.2021.|12:15 -16:00|O-366|Nadoknada|V||Dejan Ljubobratović
12.02.2021|00:00-23:59|Online|Završni ispit (1. redovni rok)|Z|30|
26.02.2021|00:00-23:59|Online|Završni ispit (2. redovni rok)|||
12.03.2021|00:00-23:59|Online|Završni ispit (1. izvanredni rok)|||
17.09.2021|00:00-23:59|Online|Završni ispit (2. izvanredni rok)|||
29.01.2021.|00:00-23:59|Online|Aktivnosti na nastavi|a|6|Maja Matetić/Dejan Ljubobratović
|00:00-23:59|Online|Domaće zadaće|a|8|Maja Matetić/Dejan Ljubobratović
