Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
4.3.2021.|10:00-11:30|online|Uvod/ Kodiranje informacija u digitalnim sustavima|P||prof.dr.sc. Ivo Ipšić
4.3.2021.|12:00-13:30|028/online|Uvod u vježbe|V||doc. dr.sc. Miran Pobar
11.3.2021.|10:00-11:30|online|Boolova algebra|P||prof.dr.sc. Ivo Ipšić
11.3.2021.|12:00-13:30|028/online|Kodiranje informacija u digitalnim sustavima|V||doc. dr.sc. Miran Pobar
18.3.2021.|10:00-11:30|online|Logičke funkcije / Logički sklopovi|P||prof.dr.sc. Ivo Ipšić
18.3.2021.|12:00-13:30|028/online|Boolova algebra|V||doc.dr.sc. Miran Pobar
25.3.2021.|10:00-11:30|online|Kombinacijski logički sklopovi|P||prof.dr.sc. Ivo Ipšić
23.3.2021.|12:00-13:30|028/online|Prikaz logičkih funkcija / 1. domaća zadaća|V||doc.dr.sc. Miran Pobar
23.3.2021.|12:00-13:30|028/online|Prikaz logičkih funkcija / 1. domaća zadaća|DZ|5|doc.dr.sc. Miran Pobar
1.4.2021.|10:00-11:30|online|Slijedni logički sklopovi|P||prof.dr.sc. Ivo Ipšić
1.4.2021.|12:00-13:30|028/online|Kombinacijski logički sklopovi|V||doc.dr.sc. Miran Pobar
8.4.2021.|10:00-11:30|online|Arhitektura jednostavnog procesora|P||prof.dr.sc. Ivo Ipšić
8.4.2021.|12:00-13:30|028/online|Slijedni logički sklopovi / 2. domaća zadaća|V||doc.dr.sc. Miran Pobar
8.4.2021.|12:00-13:30|028/online|Slijedni logički sklopovi / 2. domaća zadaća|DZ|5|doc.dr.sc. Miran Pobar
15.4.2021.|10:00-11:30|online|Zbirni jezik - skup instrukcija|P||prof.dr.sc. Ivo Ipšić
15.4.2021.|12:00-13:30|online|Provjera znanja 1 (online kviz)|V||doc.dr.sc. Miran Pobar
15.4.2021.|12:00-13:30|online|Provjera znanja 1 (online kviz)|KV|10|doc.dr.sc. Miran Pobar
22.4.2021.|10:00-11:30|online|Načini adresiranja MIPS procesora - Primjeri programa za MIPS|P||prof.dr.sc. Ivo Ipšić
22.4.2021.|12:00-13:30|028/online|Instrukcije MIPS procesora / 3. domaća zadaća|V||doc.dr.sc. Miran Pobar
22.4.2021.|12:00-13:30|028/online|Instrukcije MIPS procesora / 3. domaća zadaća|DZ|5|doc.dr.sc. Miran Pobar
29.4.2021.|10:00-11:30|online|Upravljački sklop procesora|P||prof.dr.sc. Ivo Ipšić
29.4.2021.|12:00-13:30|028/online|Izvršavanje instrukcija mikroprocesora MIPS|V||doc.dr.sc. Miran Pobar
6.5.2021.|10:00-11:30|online|Aritmetičko-logička jedinica|P||prof.dr.sc. Ivo Ipšić
6.5.2021.|12:00-13:30|028/online|Primjeri programa za MIPS: grananje i petlje/ 4.domaća zadaća|V||doc.dr.sc. Miran Pobar
6.5.2021.|12:00-13:30|028/online|Primjeri programa za MIPS: grananje i petlje/ 4.domaća zadaća|DZ|5|doc.dr.sc. Miran Pobar
13.5.2021.|10:00-11:30|online|Memorijska hijerarhija računala|P||prof.dr.sc. Ivo Ipšić
13.5.2021.|12:00-13:30|028/online|Primjeri programa za MIPS: jednostavni pozivi funkcija|V||doc.dr.sc. Miran Pobar
20.5.2021.|10:00-11:30|028|Memorijska hijerarhija  (priručna memorija)|P||prof.dr.sc. Ivo Ipšić
20.5.2021.|12:00-13:30|028|Kolokvij / Zadavanje 5. domaće zadaće|V||doc.dr.sc. Miran Pobar
20.5.2021.|12:00-13:30|028|Kolokvij / Zadavanje 5. domaće zadaće|K|30|doc.dr.sc. Miran Pobar
20.5.2021.|12:00-13:30|028|Kolokvij / Zadavanje 5. domaće zadaće|DZ|5|doc.dr.sc. Miran Pobar
27.5.2021.|10:00-11:30|028|Memorijska hijerarhija (virtualna memorija)|P||prof.dr.sc. Ivo Ipšić
27.5.2021.|12:00-13:30|028/online|Memorijska hijerarhija|V||doc.dr.sc. Miran Pobar
10.6.2021.|10:00-11:30|028|Protočna arhitektura procesora MIPS|P||prof.dr.sc. Ivo Ipšić
10.6.2021.|12:00-13:30|028/online|Memorijska hijerarhija|V||doc.dr.sc. Miran Pobar
17.6.2021.|10:00-11:30|028|"Ulazno-izlazni sustav
Višeprocesorski sustavi"|P||prof.dr.sc. Ivo Ipšić
17.6.2021.|12:00-13:30|028/online|Protočnost/ 6. domaća zadaća|V||doc.dr.sc. Miran Pobar
17.6.2021.|12:00-13:30|028/online|Protočnost/ 6. domaća zadaća|DZ|5|doc.dr.sc. Miran Pobar
24.6.2021.|12:00-13:30|028/online|Završni ispit (1. redovni rok)|Z|30|doc.dr.sc. Miran Pobar
8.7.2021.|12:00-13:30|028/online|Završni ispit (2. redovni rok)|Z||doc.dr.sc. Miran Pobar
2.9.2021.|12:00-13:30|028/online|Završni ispit (1. izvanredni rok)|Z||doc.dr.sc. Miran Pobar
16.9.2021.|12:00-13:30|028/online|Završni ispit (2. izvanredni rok)|Z||doc.dr.sc. Miran Pobar
