Datum|Vrijeme|Prostor|Tema|Nastava|Grupa|Bodovi|Izvođač
6.10.2020.|12:15-13:45|S-32|Uvod u kolegij, integrirano razvojno okruženje, softverski razvojni okvir|p|||Doc. dr. sc. Lucia Načinović Prskalo
12.10.2020.||Online|Postavljanje alata za razvoj aplikacija (IDE). Postavljanje razvojnog okruženja za razvoj frontend dijela aplikacije|v|||Doc. dr. sc. Lucia Načinović Prskalo
13.10.2020.|12:15-13:45|S-32|Osnovi koncepti: klijent- poslužitelj model, višeslojna arhitektura na webu, web poslužitelj, cloud servisi|p|||Doc. dr. sc. Lucia Načinović Prskalo
19.10.2020.|"12:15-13:45"|O-366|Postavljanje razvojnog okruženja u oblaku - baza podataka, web servis|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
19.10.2020.|14:15-15:45|O-366|Postavljanje razvojnog okruženja u oblaku - baza podataka, web servis|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
20.10.2020.||Online|REST API poslužitelj, poslužitelj baze podataka, poslužitelj za pohranu datoteka|p|||Doc. dr. sc. Lucia Načinović Prskalo
26.10.2020.|"12:15-13:45"|O-366|Pohrana podataka i postavljanje web aplikacije (Hosting)|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
26.10.2020.|14:15-15:45|O-366|Pohrana podataka i postavljanje web aplikacije (Hosting)|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
27.10.2020.||Online|Sustavi za upravljanje verzijama|p|||Doc. dr. sc. Lucia Načinović Prskalo
2.11.2020.||Online|Sustavi za upravljanje verzijama|v|||Doc. dr. sc. Lucia Načinović Prskalo
3.11.2020.|12:15-13:45|S-32|Projektni zadatak 1|p|||Doc. dr. sc. Lucia Načinović Prskalo
3.11.2020.|12:15-13:45|S-32|Projektni zadatak 1|pr||15|Doc. dr. sc. Lucia Načinović Prskalo
9.11.2020.|"12:15-13:45"|O-366|Projektni zadatak 1|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
9.11.2020.|14:15-15:45|O-366|Projektni zadatak 1|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
10.11.2020.||Online|Osnovni HTML elementi i atributi. Osnovni dijelovi CSS-a. Osnovni stilovi. Definiranje CSS stilova unutar elementa, dokumenta i u vanjskim datotekama.|p|||Doc. dr. sc. Lucia Načinović Prskalo
16.11.2020.|"12:15-13:45"|O-366|Osnovni HTML elementi i atributi. Osnovni dijelovi CSS-a. Osnovni stilovi. Definiranje CSS stilova unutar elementa, dokumenta i u vanjskim datotekama.|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
16.11.2020.|14:15-15:45|O-366|Osnovni HTML elementi i atributi. Osnovni dijelovi CSS-a. Osnovni stilovi. Definiranje CSS stilova unutar elementa, dokumenta i u vanjskim datotekama.|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
17.11.2020.||Online|Događaji i JavaScript na Document Object Modelu HTML dokumenta. Osnovni koncepti JavaScripta (varijable, algoritamske strukture, funkcije, objekti, komponente).|p|||Doc. dr. sc. Lucia Načinović Prskalo
23.11.2020.|"12:15-13:45"|O-366|Događaji i JavaScript na Document Object Modelu HTML dokumenta. Osnovni koncepti JavaScripta (varijable, algoritamske strukture, funkcije, objekti, komponente).|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
23.11.2020.|14:15-15:45|O-366|Događaji i JavaScript na Document Object Modelu HTML dokumenta. Osnovni koncepti JavaScripta (varijable, algoritamske strukture, funkcije, objekti, komponente).|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
24.11.2020.||Online|Osnovni koncepti razvojnog okvira Quasar. Izrada komponenti u Single File Components “.vue” dokumentu. Podjela na dijelove: Template, Script i Style.|p|||Doc. dr. sc. Lucia Načinović Prskalo
30.11.2020.|"12:15-13:45"|O-366|Osnovni koncepti razvojnog okvira Quasar. Izrada komponenti u Single File Components “.vue” dokumentu. Podjela na dijelove: Template, Script i Style.|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
30.11.2020.|14:15-15:45|O-366|Osnovni koncepti razvojnog okvira Quasar. Izrada komponenti u Single File Components “.vue” dokumentu. Podjela na dijelove: Template, Script i Style.|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
1.12.2020.||Online|Korištenje grafičkih komponenti. Slaganje grafičkih komponenti. Uključivanje vanjskih paketa, slika i ikona.|p|||Doc. dr. sc. Lucia Načinović Prskalo
7.12.2020.|"12:15-13:45"|O-366|Korištenje grafičkih komponenti. Slaganje grafičkih komponenti. Uključivanje vanjskih paketa, slika i ikona.|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
7.12.2020.|14:15-15:45|O-366|Korištenje grafičkih komponenti. Slaganje grafičkih komponenti. Uključivanje vanjskih paketa, slika i ikona.|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
8.12.2020.|12:15-13:45|S-32|Projektni zadatak 2|p|||Doc. dr. sc. Lucia Načinović Prskalo
8.12.2020.|12:15-13:45|S-32|Projektni zadatak 2|pr||15|Doc. dr. sc. Lucia Načinović Prskalo
14.12.2020.|"12:15-13:45"|O-366|Kolokvij|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
14.12.2020.|14:15-15:45|O-366|Kolokvij|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
14.12.2020.|12:15-15:45|O-366|Kolokvij|k||25|Doc. dr. sc. Lucia Načinović Prskalo
15.12.2020.||Online|Izrada aplikativne logike u Script dijelu Single File Components “.vue” i u JavaScript komponentama.|p|||Doc. dr. sc. Lucia Načinović Prskalo
21.12.2020.|"12:15-13:45"|O-366|Izrada aplikativne logike u Script dijelu Single File Components “.vue” i u JavaScript komponentama.|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
21.12.2020.|14:15-15:45|O-366|Izrada aplikativne logike u Script dijelu Single File Components “.vue” i u JavaScript komponentama.|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
22.12.2020.||Online|Povezivanje podataka - data binding.|p|||Doc. dr. sc. Lucia Načinović Prskalo
11.1.2021.|"12:15-13:45"|O-366|Povezivanje podataka - data binding.|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
11.1.2021.|14:15-15:45|O-366|Povezivanje podataka - data binding.|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
12.1.2021.|12:15-13:45|S-32|Projektni zadatak 3|p|||Doc. dr. sc. Lucia Načinović Prskalo
12.1.2021.|12:15-13:45|S-32|Projektni zadatak 3|pr||15|Doc. dr. sc. Lucia Načinović Prskalo
18.1.2021.|"12:15-13:45"|O-366|Obrana seminara|v|G1||Doc. dr. sc. Lucia Načinović Prskalo
18.1.2021.|14:15-15:45|O-366|Obrana seminara|v|G2||Doc. dr. sc. Lucia Načinović Prskalo
19.1.2021.|12:15-13:45|S-32|Obrana seminara|p|||Doc. dr. sc. Lucia Načinović Prskalo
25.1.2021.|"12:15-13:45"|O-366|Popravni kolokvij|pa|G1||Doc. dr. sc. Lucia Načinović Prskalo
25.1.2021.|14:15-15:45|O-366|Popravni kolokvij|pa|G2||Doc. dr. sc. Lucia Načinović Prskalo
26.1.2021.|12:15-13:45|S-32|Zaključna razmatranja, evaluacija kolegija|p|||Doc. dr. sc. Lucia Načinović Prskalo
02.02.2021.|12:00-14:00|S-32|Završni ispit (1. redovni rok)|z||30|Doc. dr. sc. Lucia Načinović Prskalo
16.02.2021.|12:00-14:00|S-32|Završni ispit (2. redovni rok)|z|||Doc. dr. sc. Lucia Načinović Prskalo
16.03.2021.|12:00-14:00|S-32|Završni ispit (1. izvanredni rok)|z|||Doc. dr. sc. Lucia Načinović Prskalo
07.09.2021.|12:00-14:00|S-32|Završni ispit (2. izvanredni rok)|z|||Doc. dr. sc. Lucia Načinović Prskalo
