Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
1.3.2021.|14:30-16:00|O-S32, O-028|Uvod u kolegij. Realne funkcije realne varijable – osnovni pojmovi i klasifikacija.|V||G1|Ivona Traunkar, Sara Ban
1.3.2021.|16:15-17:45|O-S32, O-028|Uvod u kolegij. Realne funkcije realne varijable – osnovni pojmovi i klasifikacija.|V||G2|Ivona Traunkar, Sara Ban
2.3.2021.|10:00-11:30|online|Uvod u kolegij. Realne funkcije realne varijable – osnovni pojmovi i klasifikacija.|P|||Ana Jurasić
8.3.2021.|14:30-16:00|O-S32, O-028|Graf funkcije. Svojstva realnih funkcija realne varijable.|V||G1|"Ivona Traunkar, Sara Ban"
8.3.2021.|16:15-17:45|O-S32, O-028|Graf funkcije. Svojstva realnih funkcija realne varijable.|V||G2|"Ivona Traunkar, Sara Ban"
9.3.2021.|10:00-11:30|O-028|Graf funkcije. Svojstva realnih funkcija realne varijable.|P|||Ana Jurasić
15.3.2021.|14:30-16:00|O-S32, O-028|Elementarne funkcije i njihova uloga u primjenama.|V||G1|"Ivona Traunkar, Sara Ban"
15.3.2021.|16:15-17:45|O-S32, O-028|Elementarne funkcije i njihova uloga u primjenama.|V||G2|"Ivona Traunkar, Sara Ban"
16.3.2021.|10:00-11:30|O-028|Elementarne funkcije i njihova uloga u primjenama.|P|||Ana Jurasić
22.3.2021.|14:30-16:00|O-S32, O-028|Pojam i svojstva nizova realnih brojeva. Gomilište i limes niza.|V||G1|"Ivona Traunkar, Sara Ban"
22.3.2021.|16:15-17:45|O-S32, O-028|Pojam i svojstva nizova realnih brojeva. Gomilište i limes niza.|V||G2|"Ivona Traunkar, Sara Ban"
23.3.2021.|10:00-11:30|O-028|Pojam i svojstva nizova realnih brojeva. Gomilište i limes niza.|P|||Ana Jurasić
29.3.2021.|14:30-16:00|O-S32, O-028|Svojstva limesa niza. Pojam reda. Geometrijski red. Kriteriji konvergencije reda.|V||G1|Ivona Traunkar, Sara Ban
29.3.2021.|16:15-17:45|O-S32, O-028|Svojstva limesa niza. Pojam reda. Geometrijski red. Kriteriji konvergencije reda.|V||G2|Ivona Traunkar, Sara Ban
30.3.2021.|10:00-11:30|O-028|Svojstva limesa niza. Pojam reda. Geometrijski red. Kriteriji konvergencije reda.|P|||Ana Jurasić
6.4.2021.|10:00-11:30|O-028|Limes funkcije. Svojstva limesa funkcije.|P|||Ana Jurasić
12.4.2021.|14:30-17:45|O-S32, O-028|1. kolokvij|V|||"Ivona Traunkar, Sara Ban"
12.4.2021.|14:30-17:45|O-S32, O-028|1. kolokvij|K|25||"Ivona Traunkar, Sara Ban"
13.4.2021.|10:00-11:30|O-028|Neprekidnost funkcije.|P|||Ana Jurasić
19.4.2021.|14:30-16:00|O-S32, O-028|"Limes funkcije. Svojstva limesa funkcije."|V||G1|"Ivona Traunkar, Sara Ban"
19.4.2021.|16:15-17:45|O-S32, O-028|"Limes funkcije. Svojstva limesa funkcije."|V||G2|"Ivona Traunkar, Sara Ban"
20.4.2021.|10:00-11:30|O-028|"Vektori u trodimenzionalnom vektorskom prostoru."|P|||Ana Jurasić
26.4.2021.|14:30-16:00|O-S32, O-028|"Vektori u trodimenzionalnom vektorskom prostoru"|V||G1|"Ivona Traunkar, Sara Ban"
26.4.2021.|16:15-17:45|O-S32, O-028|"Vektori u trodimenzionalnom vektorskom prostoru"|V||G2|"Ivona Traunkar, Sara Ban"
27.4.2021.|10:00-11:30|O-028|"Analitička geometrija u trodimenzionalnom prostoru."|P|||Ana Jurasić
3.5.2021.|14:30-16:00|O-S32, O-028|"Analitička geometrija u trodimenzionalnom prostoru"|V||G1|"Ivona Traunkar, Sara Ban"
3.5.2021.|16:15-17:45|O-S32, O-028|"Analitička geometrija u trodimenzionalnom prostoru"|V||G2|"Ivona Traunkar, Sara Ban"
4.5.2021.|10:00-11:30|O-028|"Pojam vektorskog prostora. Baza i dimnezija vektorskog prostora."|P|||Ana Jurasić
10.5.2021.|14:30-16:00|O-S32, O-028|"Pojam vektorskog prostora. Baza i dimenzija vektorskog prostora. Linearni operatori. Osnovna svojstva linearnih operatora"|V||G1|Ivona Traunkar, Sara Ban
