Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
3.3.2021.|8:30-10:00|O-028|Uvod u kolegij. Pojam i razvoj operacijskih istraživanja. Bitna obilježja operacijskih istraživanja.|P||M. Holenko Dlab
3.3.2021.|8:30-10:00|online|Primjena operacijskog istraživanja – nalaženje primjera iz prakse (DZ).|V||M. Holenko Dlab
3.3.2021.|8:30-10:00|online|Primjena operacijskog istraživanja – nalaženje primjera iz prakse (DZ).|DZ|3|M. Holenko Dlab
10.3.2021.|8:30-10:00|O-028|Uvod u linearno programiranje. Definiranje i postavljanje problema linearnog programiranja.|P||M. Holenko Dlab
10.3.2021.|10:00 – 11:30|O-366|Postavljanje matematičkog modela problema linearnoga programiranja.|V||M. Holenko Dlab
17.3.2021.|8:30-10:00|O-028|Grafička metoda rješavanja problema linearnog programiranja.|P||M. Holenko Dlab
17.3.2021.|10:00 – 11:30|O-366|Rješavanje problemskih zadataka: grafička metoda.|V||M. Holenko Dlab
24.3.2021.|8:30-10:00|online|Rješavanje problema linearnog programiranja pomoću simpleks metode: nalaženje maksimuma.|P||M. Holenko Dlab
24.3.2021.|8:30-10:00|online|Rješavanje problemskih zadataka alatom LPSolve.|V||M. Holenko Dlab
31.3.2021.|8:30-10:00|O-028|Rješavanje problema linearnog programiranja pomoću simpleks metode: nalaženje minimuma i alternativnih rješenja.|P||M. Holenko Dlab
31.3.2021.|10:00-11:30|O-366|Rješavanje problemskih zadataka alatom LPSolve i priprema za 1. kolokvij (DZ).|V||M. Holenko Dlab
31.3.2021.|10:00-11:30|O-366|Rješavanje problemskih zadataka alatom LPSolve i priprema za 1. kolokvij (DZ).|DZ|5|M. Holenko Dlab
7.4.2021.|8:30-11:30|O-366|1. kolokvij|P+V||"M. Holenko Dlab"
7.4.2021.|8:30-11:30|O-366|1. kolokvij|K|20|"M. Holenko Dlab"
14.4.2021.|8:30-10:00|O-028|Modeliranje složenijih problema LP.|P||M. Holenko Dlab
14.4.2021.|10:00 – 11:30|O-366|Rješavanje problemskih zadataka: izrada složenijih modela problema LP.|V||M. Holenko Dlab
21.4.2021.|8:30-10:00|online|Modeliranje složenijih problema LP. Degeneracija.|P||M. Holenko Dlab
21.4.2021.|10:00 – 11:30|online|Rješavanje problemskih zadataka: izrada složenijih modela problema LP.|V||M. Holenko Dlab
28.4.2021.|8:30-10:00|online|Dualnost. Ekonomska interpretacija duala. Vrste dualnih rješenja.|P||M. Holenko Dlab
28.4.2021.|10:00 – 11:30|online|Rješavanje problemskih zadataka: dualnost.|V||M. Holenko Dlab
5.5.2021.|8:30-10:00|O-028|Analiza osjetljivosti (DZ)|P||M. Holenko Dlab
5.5.2021.|8:30-10:00|O-028|Analiza osjetljivosti (DZ)|DZ|5|M. Holenko Dlab
5.5.2021.|10:00-11:30|O-366|Rješavanje problemskih zadataka: analiza osjetljivosti.|V||M. Holenko Dlab
12.5.2021.|8:30-11:30|O-366|2. kolokvij|P+V||"M. Holenko Dlab"
12.5.2021.|8:30-11:30|O-366|2. kolokvij|K|20|"M. Holenko Dlab"
19.5.2021.|8:30-10:00|O-028|Uvod u transportni problem. Metode za postavljanje početnog rješenja. Metode za testiranje rješenja i pronalaženje optimalnog rješenja.|P||M. Holenko Dlab
19.5.2021.|10:00 – 11:30|O-366|Rješavanje problemskih zadataka: transportni problemi.|V||M. Holenko Dlab
26.5.2021.|8:30-10:00|online|Degeneracija kod transportnog problema. Posebni slučajevi transportnih problema.|P||M. Holenko Dlab
26.5.2021.|10:00-11:30|online|Rješavanje problemskih zadataka: degeneracija, posebni slučajevi transportnih problema|V||M. Holenko Dlab
2.6.2021.|8:30-10:00|online|Metode za nalaženje maksimalne vrijednosti funkcije cilja kod transportnog problema.|P||M. Holenko Dlab
2.6.2021.|10:00-11:30|online|Rješavanje problemskih zadataka: maksimizacija.|V||M. Holenko Dlab
9.6.2021.|8:30-10:00|O-028|Metoda raspoređivanja|P||M. Holenko Dlab
9.6.2021.|10:00-11:30|O-366|Rješavanje problemskih zadataka: metoda raspoređivanja (DZ)|V||M. Holenko Dlab
9.6.2021.|10:00-11:30|O-366|Rješavanje problemskih zadataka: metoda raspoređivanja (DZ)|DZ|5|M. Holenko Dlab
16.6.2021.|10:00-11:30||Termin za nadoknade|PA||M. Holenko Dlab
|00:00-23:59|online|Rješavanje zadataka s vježbi|DZ|12|M. Holenko Dlab
30.6.2021.|10:00-11:30|O-028|Završni ispit (1. redovni rok)|Z|30|M. Holenko Dlab
14.7.2021.|10:00-11:30|O-028|Završni ispit (2. redovni rok)|Z||M. Holenko Dlab
8.9.2021.|10:00-11:30|O-028|Završni ispit (1. izvanredni rok)|Z||M. Holenko Dlab
15.9.2021.|10:00-11:30|O-028|Završni ispit (2. izvanredni rok)|Z||M. Holenko Dlab
