Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
01.03.2021.|12:30-14:00|028|Osnove kombinatorike.|P||G2|Sanda Bujačić Babić
01.03.2021.|14:30-16:00|028|Osnove kombinatorike.|V||G1|Matea Zubović
01.03.2021.|16:15-17:45|S32|Osnove kombinatorike.|V||G2|Matea Zubović
08.03.2021.|12:30-14:00|028|Osnove kombinatorike.|P||G2|Sanda Bujačić Babić
08.03.2021.|14:30-16:00|028|Osnove kombinatorike.|V||G1|Matea Zubović
08.03.2021.|16:15-17:45|S32|Osnove kombinatorike.|V||G2|Matea Zubović
15.03.2021.|12:30-14:00|028|"Vjerojatnosni prostor. Laplaceovmodel. Uvjetna vjerojatnost."|P||G1|Sanda Bujačić Babić
15.03.2021.|14:30-16:00|028|"Vjerojatnosni prostor. Laplaceovmodel. Uvjetna vjerojatnost."|V||G1|Matea Zubović
15.03.2021.|16:15-17:45|S32|"Vjerojatnosni prostor. Laplaceovmodel. Uvjetna vjerojatnost."|V||G2|Matea Zubović
22.03.2021.|12:30-14:00|028|"Nezavisnost. Formula potpune vjerojatnosti i Bayesova formula."|P||G2|Sanda Bujačić Babić
22.03.2021.|14:30-16:00|028|"Nezavisnost. Formula potpune vjerojatnosti i Bayesova formula."|V||G1|Matea Zubović
22.03.2021.|16:15-17:45|S32|"Nezavisnost. Formula potpune vjerojatnosti i Bayesova formula."|V||G2|Matea Zubović
29.03.2021.|12:30-14:00|028|Geometrijska vjerojatnost.|P||G1|Sanda Bujačić Babić
29.03.2021.|14:30-16:00|028|Geometrijska vjerojatnost.|V||G1|Matea Zubović
29.03.2021.|16:15-17:45|S32|Geometrijska vjerojatnost.|V||G2|Matea Zubović
29.03.2021.|20:00-20:30|"Online/ Merlin"|Online test||||
29.03.2021.|20:00-20:30|"Online/ Merlin"|Online test|SA|3.5||
05.04.2021.|00:00-23:50|online|Uskršnji ponedjeljak||||
12.04.2021.|12:30-14:00|028|Slučajne varijable.|P||G2|Sanda Bujačić Babić
12.04.2021.|14:30-16:00|028|Slučajne varijable.|V||G1|Matea Zubović
12.04.2021.|16:15-17:45|S32|Slučajne varijable.|V||G2|Matea Zubović
19.04.2021.|12:30-14:00|Online|Slučajne varijable.|P||G1|Sanda Bujačić Babić
19.04.2021.|14:30-16:00|Online|Slučajne varijable.|V||G1|Matea Zubović
19.04.2021.|16:15-17:45|Online|Slučajne varijable.|V|||Matea Zubović
26.04.2021.|12:30-14:00|028|"Matematičko očekivanje i varijanca."|P||G2|Sanda Bujačić Babić
26.04.2021.|14:30-17:45|028|Prvi kolokvij|V|||Matea Zubović
26.04.2021.|14:30-17:45|S32|Prvi kolokvij|K|25||Matea Zubović
03.05.2021.|12:30-14:00|028|"Matematičko očekivanje i varijanca."|P||G1|Sanda Bujačić Babić
03.05.2021.|14:30-16:00|028|"Matematičko očekivanje i varijanca."|V||G1|Matea Zubović
03.05.2021.|16:15-17:45|S32|"Matematičko očekivanje i varijanca."|V||G2|Matea Zubović
10.05.2021.|12:30-14:00|028|"Funkcija gustoće i funkcija distribucije."|P||G2|Sanda Bujačić Babić
10.05.2021.|14:30-16:00|028|"Funkcija gustoće i funkcija distribucije"|V||G1|Matea Zubović
10.05.2021.|16:15-17:45|S32|"Funkcija gustoće i funkcija distribucije"|V||G2|Matea Zubović
10.05.2021.|20:00-20:30|"Online/ Merlin"|Online test||||
10.05.2021.|20:00-20:30|"Online/ Merlin"|Online test|SA|3.5||
17.05.2021.|12:30-14:00|028|"Neprekidne slučajne varijable. Normalna razdioba."|P||G1|Sanda Bujačić Babić
17.05.2021.|14:30-16:00|028|"Neprekidne slučajne varijable. Normalna razdioba."|V||G1|Matea Zubović
17.05.2021.|16:15-17:45|S32|"Neprekidne slučajne varijable. Normalna razdioba."|V|||Matea Zubović
24.05.2021.|12:30-14:00|Online|"Deskriptivna statistika. Srednje vrijednosti. Mjere disperzije."|P||G2|Sanda Bujačić Babić
24.05.2021.|14:30-16:00|Online|"Deskriptivna statistika. Srednje vrijednosti. Mjere disperzije."|V||G1|Matea Zubović
24.05.2021.|16:15-17:45|Online|"Deskriptivna statistika. Srednje vrijednosti. Mjere disperzije."|V||G2|Matea Zubović
31.05.2021.|12:30-14:00|Online|"Mjere asimetrije i zaobljenosti. Procjena parametara. Pouzdani intervali."|P||G1|Sanda Bujačić Babić
31.05.2021.|14:30-16:00|Online|"Mjere asimetrije i zaobljenosti. Procjena parametara. Pouzdani intervali."|V||G1|Matea Zubović
