Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
3.3.2021.|12:30-17:30|O-366|Uvod. Rad s datotekama i bibliotekama.|V|||Dejan Ljubobratović, Kristian Stančin
4.3.2021.|8:15-9:45|online|Uvod. Algoritmi sortiranja.|P|||Maja Matetić
10.3.2021.|12:30-17:30|online|1. Laboratorijska vježba: Datoteke.|V|||Dejan Ljubobratović, Kristian Stančin
10.3.2021.|12:30-17:30|online|1. Laboratorijska vježba: Datoteke.|LZ|8||Dejan Ljubobratović, Kristian Stančin
11.3.2021.|8:15-9:45|O-28|Algoritmi pretraživanja.|P|||Maja Matetić
17.3.2021.|12:30-17:30|O-366|Algoritmi sortiranja.|V|||Dejan Ljubobratović, Kristian Stančin
18.3.2021.|8:15-9:45|online|Haširanje.|P|||Maja Matetić
24.3.2021.|12:30-17:30|O-366|Algoritmi pretraživanja.|V|||Dejan Ljubobratović, Kristian Stančin
25.3.2021.|8:15-9:45|O-28|Uvod u pokazivače.|P|||Maja Matetić
31.3.2021.|12:30-17:30|O-366|Uvod u pokazivače.|V|||Dejan Ljubobratović, Kristian Stančin
1.4.2021.|8:15-9:45|online|Dinamička alokacija memorije.|P|||Maja Matetić
7.4.2021.|12:30-17:30|online|Dinamička alokacija memorije.|V|||Dejan Ljubobratović, Kristian Stančin
8.4. 2021.|8:15-9:45|O-28|Pokazivači i dinamička polja.|P|||Maja Matetić
14.4.2021.|12:30-17:30|online|Priprema za praktični kolokvij.|V|||Dejan Ljubobratović, Kristian Stančin
15.4. 2021.|8:15-9:45|O-28|Pokazivači i povezane liste.|P|||Maja Matetić
21.4.2021.|12:30-17:30|O-366|Praktični kolokvij.|V|||Dejan Ljubobratović, Kristian Stančin
21.4.2021.|12:30-17:30|O-366|Praktični kolokvij.|K|20||Dejan Ljubobratović, Kristian Stančin
22.4. 2021.|8:15-9:45|O-28|Kružne liste.|P|||Maja Matetić
28.4.2021.|12:30-17:30|O-366|"2. laboratorijska vježba: Pokazivači i dinamička polja."|V|||Dejan Ljubobratović, Kristian Stančin
28.4.2021.|12:30-17:30|O-366|"2. laboratorijska vježba: Pokazivači i dinamička polja."|LZ|8||Dejan Ljubobratović, Kristian Stančin
29.4. 2021.|8:30 – 9:45|online|Dvostruko povezane liste. Priprema za kviz.|P|||Maja Matetić
5.5.2021.|12:30-17:30|O-366|Kviz.|V|||Dejan Ljubobratović, Kristian Stančin
5.5.2021.|12:30-17:30|O-366|Kviz.|KV|20||Dejan Ljubobratović, Kristian Stančin
6.5. 2021.|||U tjednu kviza nema predavanja.|P|||Maja Matetić
12.5.2021.|12:30-17:30|O-366|Pokazivači i povezane liste.|V|||Dejan Ljubobratović, Kristian Stančin
13.05. 2021.|8:15-9:45|O-28|Stog i red.|P|||Maja Matetić
19.5.2021.|12:30-17:30|online|Kružne i dvostruko povezane liste.|V|||Dejan Ljubobratović, Kristian Stančin
20.05.2021.|8:15-9:45|online|Rekurzija.|P|||Maja Matetić
26.5.2021.|12:30-17:30|O-366|3. Laboratorijska vježba: Stog i red. Rekurzija.|V|||Dejan Ljubobratović, Kristian Stančin
26.5.2021.|12:30-17:30|O-366|3. Laboratorijska vježba: Stog i red. Rekurzija.|LZ|8||Dejan Ljubobratović, Kristian Stančin
27.05.2021.|8:15-9:45|O-28|Dinamičko programiranje.|P|||Maja Matetić
2.6.2021.|12:30-17:30|online|Dinamičko programiranje.|V|||Dejan Ljubobratović, Kristian Stančin
3.6.2021.||||P|||Maja Matetić
9.6.2021.|12:30-17:30|online|Priprema za završni ispit.|V|||Dejan Ljubobratović, Kristian Stančin
10.6.2021.|8:15-9:45|O-28|Uvod u stabla. Priprema za završni ispit.|P|||Maja Matetić
16.6.2021.|12:30-17:30|O-366|Nadoknada kviza i praktičnog kolokvija.||||Dejan Ljubobratović, Kristian Stančin
|00:00-23:59|O-366|Aktivnost|A|6||
30.6.2021.|10:00-12:30|O-28|Završni ispit (1. redovni rok)|Z|30||
14.7.2021.|10:00-12:30|O-28|Završni ispit (2. redovni rok)|Z|||
1.9.2021.|10:00-12:30|O-28|Završni ispit (1. izvanredni rok)|Z|||
15.9.2021.|10:00-12:30|O-28|Završni ispit (2. izvanredni rok)|Z|||
