Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
1.3.2021.|8:30-10:00|O-028|Uvod|V|||Doc. dr. sc. Martina Ašenbrener Katić
1.3.2021.|10:15-11:45|O-028|Primjeri IS|V|||Doc. dr. sc. Martina Ašenbrener Katić
8.3.2021.|8:30-10:00|O-028|Sustav, informacija, informacijski sustav; Položaj IS u poslovnoj organizaciji|V|||Doc. dr. sc. Martina Ašenbrener Katić
8.3.2021.|10:15-11:45|O-028|Klasifikacija IS; Korisnici IS; Organizacijski aspekti|P|||Doc. dr. sc. Martina Ašenbrener Katić
15.3.2021.|8:30-10:00|online|Alati za projektiranje IS|V|||Doc. dr. sc. Martina Ašenbrener Katić
15.3.2021.|10:15-11:45|online|Alati za projektiranje IS|V|||Doc. dr. sc. Martina Ašenbrener Katić
22.3.2021.|8:30-10:00|O-028|Metode, Metodologija razvoja IS|P|||Doc. dr. sc. Martina Ašenbrener Katić
22.3.2021.|10:15-11:45|O-028|Specijalizirane metodologije, MIRIS|P|||Doc. dr. sc. Martina Ašenbrener Katić
29.3.2021.|8:30-10:00|O-028|Analiza procesa sustava|P|||Doc. dr. sc. Martina Ašenbrener Katić
29.3.2021.|10:15-11:45|O-028|Dijagram toka podataka|V|||Doc. dr. sc. Martina Ašenbrener Katić
12.4.2021.|8:30-10:00|O-028|Kolokvij|P|||Doc. dr. sc. Martina Ašenbrener Katić
12.4.2021.|8:30-10:00|O-028|Kolokvij|K|30||Doc. dr. sc. Martina Ašenbrener Katić
12.4.2021.|10:15-11:45|O-028|Analiza podataka i sadržaja dokumentacije IS|V|||Doc. dr. sc. Martina Ašenbrener Katić
19.4.2021.|8:30-10:00|O-028|Oblikovanje informacijskog sustava|P|||Doc. dr. sc. Martina Ašenbrener Katić
19.4.2021.|10:15-11:45|O-028|Metoda entiteta i veza|V|||Doc. dr. sc. Martina Ašenbrener Katić
26.4.2021.|8:30-10:00|online|Dijagram toka podataka vlastitog IS|V|||Doc. dr. sc. Martina Ašenbrener Katić
26.4.2021.|10:15-11:45|online|Model podataka vlastitog IS|V|||Doc. dr. sc. Martina Ašenbrener Katić
3.5.2021.|8:30-10:00|O-028|Oblikovanje arhitekture softvera|P|||Doc. dr. sc. Martina Ašenbrener Katić
3.5.2021.|10:15-11:45|O-028|Oblikovanje arhitekture softvera|V|||Doc. dr. sc. Martina Ašenbrener Katić
10.5.2021.|8:30-10:00|online|Proizvodnja softvera|P|||Doc. dr. sc. Martina Ašenbrener Katić
10.5.2021.|10:15-11:45|online|Testiranje|P|||Doc. dr. sc. Martina Ašenbrener Katić
17.5.2021.|8:30-10:00|online|Uvođenje, primjena i održavanje informacijskog sustava|P|||Doc. dr. sc. Martina Ašenbrener Katić
17.5.2021.|10:15-11:45|online|Migracije|V|||Doc. dr. sc. Martina Ašenbrener Katić
24.5.2021.|8:30-10:00|online|Analiza rizika i indikatori uspješnosti|P|||Doc. dr. sc. Martina Ašenbrener Katić
24.5.2021.|10:15-11:45|online|Analiza rizika i indikatori uspješnosti|V|||Doc. dr. sc. Martina Ašenbrener Katić
31.5.2021.|8:30-10:00|O-028|Prezentacije projekata|V|||Doc. dr. sc. Martina Ašenbrener Katić
31.5.2021.|10:15-11:45|O-028|Prezentacije projekata|V|||Doc. dr. sc. Martina Ašenbrener Katić
7.6.2021.|8:30-10:00|O-028|Analiza studentskih rezultata, konzultacije za završni ispit|P|||Doc. dr. sc. Martina Ašenbrener Katić
7.6.2021.|8:30-10:00|O-028|Analiza studentskih rezultata, konzultacije za završni ispit|P|25||Doc. dr. sc. Martina Ašenbrener Katić
7.6.2021.|10:15-11:45|O-028|Nadoknada kolokvija|V|||Doc. dr. sc. Martina Ašenbrener Katić
|00:00-23:59|O-028|Razni zadaci tijekom nastave|A|15||
29.06.2021.|8:30-12:00|O-028|Završni ispit (1. redovni rok)|Z|30||
13.7.2021.|8:30-12:00|O-028|Završni ispit (2. redovni rok)|Z|||
3.9.2021.|8:30-12:00|O-028|Završni ispit (1. izvanredni rok)|Z|||
13.9.2021.|8:30-12:00|O-028|Završni ispit (2. izvanredni rok)|Z|||
