Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
3.3.2021.|12:00-13:30|online|Sigurnosni rizici informacijskih sustava|P||izv. prof. dr. sc. Božidar Kovačić
4.3.2021.|16:15-17:45|O-350|Uvod i motivacija. Hashiranje, kodiranje, šifriranje i zaporke (OpenSSL)|V||v. pred. dr. sc. Vedran Miletić
10.3.2021.|12:00-13:30|online|Analiza i procjena rizika|P||izv. prof. dr. sc. Božidar Kovačić
11.3.2021.|16:15-17:45|O-350|Primjena kriptografije javnog ključa (OpenSSL)|V||v. pred. dr. sc. Vedran Miletić
17.3.2021.|12:00-13:30|online|Prijetnje sigurnosti i vjerojatnost njihova nastanka|P||izv. prof. dr. sc. Božidar Kovačić
18.3.2021.|16:15-17:45|O-350|Laboratorijska vježba 1: Sigurna ljuska (OpenSSH)|V||v. pred. dr. sc. Vedran Miletić
18.3.2021.|16:15-17:45|O-350|Laboratorijska vježba 1: Sigurna ljuska (OpenSSH)|LZ|5|v. pred. dr. sc. Vedran Miletić
24.3.2021.|12:00-13:30|online|Ranjivost informacijskih sustava|P||izv. prof. dr. sc. Božidar Kovačić
25.3.2021.|16:15-17:45|O-350|Certifikat javnog ključa, certifikacijska tijela i sigurni poslužitelj (OpenSSL)|V||v. pred. dr. sc. Vedran Miletić
31.3.2021.|12:00-13:30|online|Sigurnosni incidenti informacijskih sustava|P||izv. prof. dr. sc. Božidar Kovačić
1.4.2021.|16:15-17:45|online|Laboratorijska vježba 2: Sigurnost virtualne privatne mreže tipa točka-do-točke (OpenVPN)|V||v. pred. dr. sc. Vedran Miletić
1.4.2021.|16:15-17:45|online|Laboratorijska vježba 2: Sigurnost virtualne privatne mreže tipa točka-do-točke (OpenVPN)|LZ|5|v. pred. dr. sc. Vedran Miletić
7.4.2021.|12:00-13:30|online|Prepoznavanje znakova sigurnosnih incidenata|P||izv. prof. dr. sc. Božidar Kovačić
8.4.2021.|16:15-17:45|online|Laboratorijska vježba 3: Sigurnost virtualne privatne mreže korištenjem certifikacijskog tijela (OpenVPN i OpenSSL)|V||v. pred. dr. sc. Vedran Miletić
8.4.2021.|16:15-17:45|online|Laboratorijska vježba 3: Sigurnost virtualne privatne mreže korištenjem certifikacijskog tijela (OpenVPN i OpenSSL)|LZ|5|v. pred. dr. sc. Vedran Miletić
14.4.2021.|12:00-13:30|O-O28|Kolokvij|P||izv. prof. dr. sc. Božidar Kovačić
14.4.2021.|12:00-13:30|O-O28|Kolokvij|K|25|izv. prof. dr. sc. Božidar Kovačić
15.4.2021.|16:15-17:45|online|Laboratorijska vježba 4: Sigurni web poslužitelj (HTTPie, Apache, OpenSSL i Siege)|V||v. pred. dr. sc. Vedran Miletić
15.4.2021.|16:15-17:45|online|Laboratorijska vježba 4: Sigurni web poslužitelj (HTTPie, Apache, OpenSSL i Siege)|LZ|5|v. pred. dr. sc. Vedran Miletić
21.4.2021.|12:00-13:30|O- O28|Sigurnosni mehanizmi i kontrolni postupci|P||izv. prof. dr. sc. Božidar Kovačić
22.4.2021.|16:15-17:45|O-350|Laboratorijska vježba 5: Sigurnost baze podataka (MariaDB)|V||v. pred. dr. sc. Vedran Miletić
22.4.2021.|16:15-17:45|O-350|Laboratorijska vježba 5: Sigurnost baze podataka (MariaDB)|LZ|5|v. pred. dr. sc. Vedran Miletić
28.4.2021.|12:00-13:30|O- O28|Simetrična kriptografija|P||izv. prof. dr. sc. Božidar Kovačić
29.4.2021.|16:15-17:45|O-350|Simetrična kriptografija (Python)|V||v. pred. dr. sc. Vedran Miletić
5.5.2021.|12:00-13:30|O-O28|Asimetrična kriptografija|P||izv. prof. dr. sc. Božidar Kovačić
6.5.2021.|16:15-17:45|O-350|Asimetrična kriptografija (Python)|V||v. pred. dr. sc. Vedran Miletić
12.5.2021.|12:00-13:30|O-O28|Enkripcija i dekripcija podataka|P||izv. prof. dr. sc. Božidar Kovačić
13.5.2021.|16:15-17:45|O-350|Autentifikacija i autentificirano šifriranje (Python)|V||v. pred. dr. sc. Vedran Miletić
19.5.2021.|12:00-13:30|O-O28|Sigurnost transportnog sloja|P||izv. prof. dr. sc. Božidar Kovačić
20.5.2021.|16:15-17:45|O-350|Autentifikacija i sažeci poruka (Python)|V||v. pred. dr. sc. Vedran Miletić
26.5.2021.|12:00-13:30|online|Upravljanje, poboljšanje i nadzor sustava informacijske sigurnosti. Mjerenje učinkovitosti kontrola|P||izv. prof. dr. sc. Božidar Kovačić
27.5.2021.|16:15-17:45|O-350|Napadi na kriptografske algoritme (Python)|V||v. pred. dr. sc. Vedran Miletić
2.6.2021.|12:00-13:30|online|Upravljanje sigurnosnim rizicima. Metode za procjenu rizika|P||izv. prof. dr. sc. Božidar Kovačić
9.6.2021.|12:00-13:30|online|Upravljanje rizikom kao instrument unaprjeđivanja sigurnosti|P||izv. prof. dr. sc. Božidar Kovačić
10.6.2021.|16:15-17:45|O-350|Sigurnost transportnog sloja (Python)|V||v. pred. dr. sc. Vedran Miletić
17.6.2021.|16:15-17:45|O-350|Sigurnost transportnog sloja (Python)|V||v. pred. dr. sc. Vedran Miletić
|00:00-23:59|online|Projekt|PR|20|v. pred. dr. sc. Vedran Miletić
24.6.2021.|00:00-23:59|O-350|Završni ispit (1. redovni rok)|Z|30|izv. prof. dr. sc. Božidar Kovačić, v. pred. dr. sc. Vedran Miletić
8.7.2021.|00:00-23:59|O-350|Završni ispit (2. redovni rok)|Z||izv. prof. dr. sc. Božidar Kovačić, v. pred. dr. sc. Vedran Miletić
2.9.2021.|00:00-23:59|O-350|Završni ispit (1. izvanredni rok)|Z||izv. prof. dr. sc. Božidar Kovačić, v. pred. dr. sc. Vedran Miletić
16.9.2021.|00:00-23:59|O-350|Završni ispit (2. izvanredni rok)|Z||izv. prof. dr. sc. Božidar Kovačić, v. pred. dr. sc. Vedran Miletić
