Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
4.3.2021.|14:30-16:00|O-028|Uvod u kolegij.|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
5.3.2021.|14:00-15:30|O-366|"Uvod: Slack za kolegij, obveze na vježbama, podjela u grupe, Dekompozicijski dijagram aktivnosti (WBS) –
uz vježbu planiranja vlastitog vremena"|V|||Karlo Babić
5.3.2021.|15:45-17:15|O-366|"Uvod: Slack za kolegij, obveze na vježbama,
podjela u grupe, Dekompozicijski dijagram aktivnosti (WBS) –
uz vježbu planiranja vlastitog vremena"|V|||Karlo Babić
5.3.2021.|14:00-17:15|O-366|"Uvod: Slack za kolegij, obveze na vježbama,
podjela u grupe, Dekompozicijski dijagram aktivnosti (WBS) –
uz vježbu planiranja vlastitog vremena"|DZ|3||Karlo Babić
11.3.2021.|14:30-16:00|O-028|"Uvod u projektni menadžment. Menadžerske
funkcije."|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
12.3.2021.|14:00-15:30|O-366|ProjectLibre: uvodni zadatak|V|||Karlo Babić
12.3.2021.|15:45-17:15|O-366|ProjectLibre: uvodni zadatak|V|||Karlo Babić
18.3.2021.|14:30-16:00|O-028|Upravljanje informatičkim projektima.|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
19.3.2021.|14:00-15:30|O-366|"ProjectLibre: kompleksniji primjer ProjectLibre: rješavanje samostalno zadanog
problema – uz planiranje vlastitog  vremena"|V|||Karlo Babić
19.3.2021.|15:45-17:15|O-366|"ProjectLibre: kompleksniji primjer ProjectLibre: rješavanje samostalno zadanog
problema – uz planiranje vlastitog  vremena"|V|||Karlo Babić
19.3.2021.|14:00-17:15|O-366|"ProjectLibre: kompleksniji primjer ProjectLibre: rješavanje samostalno zadanog
problema – uz planiranje vlastitog  vremena"|DZ|5||Karlo Babić
25.3.2021.|14:30-16:00|O-028|"Životni ciklus projekta. Definiranje projekta.
Studija izvedivosti, odlučivanje."|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
26.3.2021.|14:00-15:30|O-366|"Studija izvedivosti (analiza softvera za
upravljanje projektima)
-uz vježbu planiranja vlastitog vremena"|V|||Karlo Babić
26.3.2021.|15:45-17:15|O-366|"Studija izvedivosti (analiza softvera za
upravljanje projektima)
-uz vježbu planiranja vlastitog vremena"|V|||Karlo Babić
26.3.2021.|14:00-17:15|O-366|"Studija izvedivosti (analiza softvera za
upravljanje projektima)
-uz vježbu planiranja vlastitog vremena"|DZ|3||Karlo Babić
1.4.2021.|14:30-16:00|O-028|"Životni ciklus projekta. Planiranje projekta.
PERT."|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
2.4.2021.|14:00-17:15|online|"PERT, online rješavanje zadatka
-uz vježbu planiranja vlastitog vremena
ROK prijave teme seminara 2.4."|V|||Karlo Babić
2.4.2021.|14:00-17:15|online|"PERT, online rješavanje zadatka
-uz vježbu planiranja vlastitog vremena
ROK prijave teme seminara 2.4."|DZ|4||Karlo Babić
8.4.2021.|14:30-16:00|O-028|"Životni ciklus projekta. Komunikacijski plan,
plan isporuka."|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
9.4.2021.|14:00-15:30|O-366|Plan komunikacije, plan isporuka|V|||Karlo Babić
9.4.2021.|15:45-17:15|O-366|Plan komunikacije, plan isporuka|V|||Karlo Babić
9.4.2021.|14:00-17:15|O-366|Plan komunikacije, plan isporuka|DZ|2||Karlo Babić
15.4.2021.|14:30-16:00|O-028|Životni ciklus projekta. Izvođenje projekta.|P|||Prof. dr. sc. Sanda Martinčić-Ipšić
