Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
2.3.2021.|12:00-13:30|S-32|"Uvod u kolegij, integrirano
razvojno okruženje, softverski
razvojni okvir."|P|||Doc. dr. sc. Lucia Načinović Prskalo
2.3.2021.|14:00-15:30|online|"Postavljanje alata za razvoj aplikacija (IDE). Postavljanje razvojnog okruženja za razvoj
frontend dijela aplikacije."|V|G1||Doc. dr. sc. Lucia Načinović Prskalo
2.3.2021.|15:45-17:15|online|"Postavljanje alata za razvoj aplikacija (IDE). Postavljanje razvojnog okruženja za razvoj
frontend dijela aplikacije."|V|G2||Doc. dr. sc. Lucia Načinović Prskalo
9.3.2021.|12:00-13:30|S-32|"Osnovi koncepti: klijent-poslužitelj model, višeslojna arhitektura na webu, web poslužitelj, cloud servisi.
Sustavi za upravljanje verzijama."|P|||Doc. dr. sc. Lucia Načinović Prskalo
9.3.2021.|14:00-15:30|online|"Postavljanje razvojnog okruženja u oblaku - baza podataka, web servis, pohrana podataka i postavljanje web aplikacije (Hosting).
Sustavi za upravljanje verzijama."|V|G1||Doc. dr. sc. Lucia Načinović Prskalo
9.3.2021.|15:45-17:15|online|"Postavljanje razvojnog okruženja u oblaku - baza podataka, web servis, pohrana podataka i postavljanje web aplikacije (Hosting).
Sustavi za upravljanje verzijama."|V|G2||Doc. dr. sc. Lucia Načinović Prskalo
16.3.2021.|12:00-13:30|S-32|"Baze podataka u web aplikacijama
– stvaranje kolekcija i dokumenata, postavljanje
autentikacije."|P|||Doc. dr. sc. Lucia Načinović Prskalo
16.3.2021.|14:00-15:30|O-350|"Baze podataka u web aplikacijama
– stvaranje kolekcija i dokumenata, postavljanje
autentikacije."|V|G1||Doc. dr. sc. Lucia Načinović Prskalo
16.3.2021.|15:45-17:15|O-350|"Baze podataka u web aplikacijama
– stvaranje kolekcija i dokumenata, postavljanje
autentikacije."|V|G2||Doc. dr. sc. Lucia Načinović Prskalo
23.3.2021.|12:00-13:30|online|1. projektni zadatak|P|||Doc. dr. sc. Lucia Načinović Prskalo
23.3.2021.|14:00-15:30|online|1. projektni zadatak|V|||Doc. dr. sc. Lucia Načinović Prskalo
