Datum|Prostor|Vrijeme|Tema|Nastava|Bodovi|Grupa|Izvođač
3.3.2021.|online|12:00-13:30|Uvod u predmet, uvodni pojmovi multimedije|P|||Nataša Hoić-Božić
4.3.2021.|O-366|14:00-15:30|Uvod u vježbe|V||G1|Slobodan Beliga
4.3.2021.|O-366|15:45-17:15|Uvod u vježbe|V||G2|Slobodan Beliga
10.3.2021.|online|12:00-13:30|Grafika 1|P|||Nataša Hoić-Božić
11.3.2021.|O-366|14:00-15:30|Rasterska grafika I|V||G1|Slobodan Beliga
11.3.2021.|O-366|15:45-17:15|Rasterska grafika I|V||G2|Slobodan Beliga
17.3.2021.|online|12:00-13:30|Grafika 2|P|||Nataša Hoić-Božić
18.3.2021.|O-366|14:00-15:30|Rasterska grafika II|V||G1|Slobodan Beliga
18.3.2021.|O-366|15:45-17:15|Rasterska grafika II|V||G2|Slobodan Beliga
24.3.2021.|online|12:00-13:30|WWW,  HTML, CSS 1|P|||Nataša Hoić-Božić
25.3.2021.|O-366|14:00-15:30|Vektorska grafika I|V||G1|Slobodan Beliga
25.3.2021.|O-366|15:45-17:15|Vektorska grafika I|V||G2|Slobodan Beliga
31.3.2021.|online|12:00-13:30|WWW,  HTML, CSS 2|P|||Nataša Hoić-Božić
1.4.2021.|O-366|14:00-15:30|Vektorska grafika II|V||G1|Slobodan Beliga
1.4.2021.|O-366|15:45-17:15|Vektorska grafika II|V||G2|Slobodan Beliga
7.4.2021.|online|12:00-13:30|Tekst|P|||Nataša Hoić-Božić
8.4.2021.|O-366|14:00-15:30|Ponavljanje|V||G1|Slobodan Beliga
8.4.2021.|O-366|15:45-17:15|Ponavljanje|V||G2|Slobodan Beliga
14.4.2021.|online|12:00-13:30|Animacija|P|||Nataša Hoić-Božić
15.4.2021.|O-366|14:00-15:30|1. kolokvij – teorija (Merlin provjera) i praktični dio|V|||Slobodan Beliga
15.4.2021.|O-366|14:00-17:15|1. kolokvij – teorija (Merlin provjera) i praktični dio|K|20||Slobodan Beliga
21.4.2021.|online|12:00-13:30|Video|P|||Nataša Hoić-Božić
22.4.2021.|O-366|14:00-15:30|Obrada videa|V||G1|Slobodan Beliga
22.4.2021.|O-366|15:45-17:15|Obrada videa|V||G2|Slobodan Beliga
28.4.2021.|online|12:00-13:30|Zvuk|P|||Nataša Hoić-Božić
29.4.2021.|O-366|14:00-15:30|Obrada zvuka|V||G1|Slobodan Beliga
29.4.2021.|O-366|15:45-17:15|Obrada zvuka|V||G2|Slobodan Beliga
5.5.2021.|online|12:00-13:30|Web dizajn|P|||Nataša Hoić-Božić
6.5.2021.|O-366|14:00-15:30|HTML i CSS|V||G1|Slobodan Beliga
6.5.2021.|O-366|15:45-17:15|HTML i CSS|V||G2|Slobodan Beliga
12.5.2021.|online|12:00-13:30|Responzivni web dizajn|P|||Nataša Hoić-Božić
13.5.2021.|O-366|14:00-15:30|Responzivni web I|V||G1|Slobodan Beliga
13.5.2021.|O-366|15:45-17:15|Responzivni web I|V||G2|Slobodan Beliga
19.5.2021.|online|12:00-13:30|Dizajniranje weba za poslovanje|P|||Nataša Hoić-Božić
20.5.2021.|O-366|14:00-15:30|Responzivni web II|V||G1|Slobodan Beliga
20.5.2021.|O-366|15:45-17:15|Responzivni web II|V||G2|Slobodan Beliga
26.5.2021.|online|12:00-13:30|Izrada analize web sjedišta|P|||Nataša Hoić-Božić
27.5.2021.|O-366|14:00-15:30|Dovršavanje i objava web sjedišta na web serveru|V||G1|Slobodan Beliga
27.5.2021.|O-366|15:45-17:15|Dovršavanje i objava web sjedišta na web serveru|V||G2|Slobodan Beliga
2.6.2021.|online|12:00-13:30|Izrada analize web sjedišta|P|||Nataša Hoić-Božić
2.6.2021.|online|15:45-17:15|Izrada analize web sjedišta|S|15||Nataša Hoić-Božić
9.6.2021.|online|12:00-13:30|Razvoj multimedijskih projekata|P|||Nataša Hoić-Božić
10.6.2021.|O-366|15:45-17:15|2. kolokvij – teorija (Merlin provjera) i praktični dio|V|||Slobodan Beliga
10.6.2021.|O-366|14:00-17:15|2. kolokvij – teorija (Merlin provjera) i praktični dio|K|25||Slobodan Beliga
|online|00:00-23:59|Samoprovjere|SA|10||
25.6.2021.|online|00:00-23:59|Završni ispit (1. redovni rok)|Z|30||Nataša Hoić-Božić
2.7.2021.|online|00:00-23:59|Završni ispit (2. redovni rok)|Z|||Nataša Hoić-Božić
31.8.2021.|online|00:00-23:59|Završni ispit (1. izvanredni rok)|Z|||Nataša Hoić-Božić
6.9.2021.|online|00:00-23:59|Završni ispit (2. izvanredni rok)|Z|||Nataša Hoić-Božić
