Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
04.03.2021.|12:15 - 13:45|online|Uvod u predmet. Obaveze studenata; Softversko inženjerstvo, OOM, UML|P|||dr.sc. Marina Ivašić-Kos
09.03.2021.|12:00 - 13:30|online|Alat za modeliranje, Projekti, Dijagrami Analiza zahtjeva korisnika, koncepti modela|V||G1|Milan Petrović
09.03.2021.|13:45 - 15:15|online|Alat za modeliranje, Projekti, Dijagrami Analiza zahtjeva korisnika, koncepti modela|V||G2|Milan Petrović
11.03.2021.|12:15 - 13:45|S32|Dijagram klasa, Dijagram objekata|P|||dr.sc. Marina Ivašić-Kos
16.03.2021.|12:00 - 13:30|366|Dijagram klasa, dijagram objekata|V||G1|Milan Petrović
16.03.2021.|13:45 - 15:15|366|Dijagram klasa, dijagram objekata|V||G2|Milan Petrović
18.03.2021.|12:15 - 13:45|S32|Dijagram načina korištenja|P|||dr.sc. Marina Ivašić-Kos
23.03.2021.|12:00 - 13:30|366|Dijagram načina korištenja|V||G1|Milan Petrović
23.03.2021.|13:45 - 15:15|366|Dijagram načina korištenja|V||G2|Milan Petrović
25.03.2021.|12:15 - 13:45|S32|Dijagram aktivnosti|P|||dr.sc. Marina Ivašić-Kos
30.03.2021.|12:00 - 13:30|366|Dijagram aktivnosti|V||G1|Milan Petrović
30.03.2021.|13:45 - 15:15|366|Dijagram aktivnosti|V||G2|Milan Petrović
01.04.2021.|12:15 - 13:45|S32|Dijagram stanja|P|||dr.sc. Marina Ivašić-Kos
06.04.2021.|12:00 - 13:30|366|Dijagram stanja|V||G1|Milan Petrović
06.04.2021.|13:45 - 15:15|366|Dijagram stanja|V||G2|Milan Petrović
08.04.2021.|12:15 - 13:45|S32|Dijagram slijeda|P|||dr.sc. Marina Ivašić-Kos
13.04.2021.|12:00 - 13:30|366|Dijagram slijeda|V||G1|Milan Petrović
13.04.2021.|13:45 - 15:15|366|Dijagram slijeda|V||G2|Milan Petrović
15.04.2021.|12:15 - 13:45|online|Dijagram  komunikacije|P|||dr.sc. Marina Ivašić-Kos
20.04.2021.|12:00 - 13:30|366|Dijagram komunikacije|V||G1|Milan Petrović
20.04.2021.|13:45 - 15:15|366|Dijagram komunikacije|V||G2|Milan Petrović
22.04.2021.|12:15 - 13:45|S32|Dijagram komponenata, paketa, rasporeda|P|||dr.sc. Marina Ivašić-Kos
27.04.2021.|12:00 - 13:30|366|Kolokvij|V||G1|Milan Petrović
27.04.2021.|13:45 - 15:15|366|Kolokvij|V||G2|Milan Petrović
27.04.2021.|12:00 - 15:15|366|Kolokvij|K|20||Milan Petrović
29.04.2021.|12:15 - 13:45|online|Implementacija modela|P|||dr.sc. Marina Ivašić-Kos
04.05.2021.|12:00 - 13:30|366|Dijagram komponenata, paketa, rasporeda|V||G1|Milan Petrović
04.05.2021.|13:45 - 15:15|366|Dijagram komponenata, paketa, rasporeda|V||G2|Milan Petrović
06.05.2021.|12:15 - 13:45|online|Projektni obrasci|P|||dr.sc. Marina Ivašić-Kos
11.05.2021.|12:00 - 13:30|366|Implementacija modela|V||G1|Milan Petrović
11.05.2021.|13:45 - 15:15|366|Implementacija modela|V||G2|Milan Petrović
13.05.2021.|12:15 - 13:45|online|Kviz|P|||dr.sc. Marina Ivašić-Kos
13.05.2021.|12:15 - 13:45|online|Kviz|KV|20||dr.sc. Marina Ivašić-Kos
18.05.2021.|12:00 - 13:30|366|Projektni obrasci|V||G1|Milan Petrović
18.05.2021.|13:45 - 15:15|366|Projektni obrasci|V||G2|Milan Petrović
20.05.2021.|12:15 - 13:45|online|Agilne metode, Scram, RUP|P|||dr.sc. Marina Ivašić-Kos
25.05.2021.|12:00 - 13:30|366|Primjeri različitih OO modela|V||G1|Milan Petrović
25.05.2021.|13:45 - 15:15|366|Primjeri različitih OO modela|V||G2|Milan Petrović
27.05.2021.|12:15 - 13:45|online|Nove paradigme u dizajnu modela Metodologije temeljene na modelu|P|||dr.sc. Marina Ivašić-Kos
01.06.2021.|12:00 - 13:30|366|Modeliranje sustava|V||G1|Milan Petrović
01.06.2021.|13:45 - 15:15|366|Modeliranje sustava|V||G2|Milan Petrović
03.06.2021.|00:00-23:59|online|Tijelovo||||
08.06.2021.|12:00 - 13:30|366|Analiza OO modela|V||G1|Milan Petrović
08.06.2021.|13:45 - 15:15|366|Analiza OO modela|V||G2|Milan Petrović
10.06.2021.|12:15 - 13:45|online|Prezentacije projektnog zadataka|P|||dr.sc. Marina Ivašić-Kos
10.06.2021.|12:15 - 13:45|online|Prezentacije projektnog zadataka|PR|10||dr.sc. Marina Ivašić-Kos
|00:00-23:59|online|1. kontrolna zadaća|DZ|10||dr.sc. Marina Ivašić-Kos
|00:00-23:59|online|2. kontrolna zadaća|DZ|10||dr.sc. Marina Ivašić-Kos
10.06.2021.|12:15 - 13:45|online|Projekt|PR|30||dr.sc. Marina Ivašić-Kos
23.06.2021.|12:15 - 13:45|online|Završni ispit (1. redovni rok)|Z|||dr.sc. Marina Ivašić-Kos
09..07.2021.|12:15 - 13:45|online|Završni ispit (2. redovni rok)|Z|||dr.sc. Marina Ivašić-Kos
03.09.2021.|12:15 - 13:45|online|Završni ispit (1. izvanredni rok)|Z|||dr.sc. Marina Ivašić-Kos
14.09.2021.|12:15 - 13:45|online|Završni ispit (2. izvanredni rok)|Z|||dr.sc. Marina Ivašić-Kos
