Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
2.3.2021.|08:15-09:45|O - S32|Uvodno predavanje i vježbe|P+V||Sanja Čandrlić, Martina Ašenbrener Katić
9.3.2021.|08:15-09:45|O - S32|Osnovni pojmovi u programskom inženjerstvu|P||Sanja Čandrlić
9.3.2021.|10:15-13:30|O - 366|Uvod u logiku programiranja|V||Martina Ašenbrener Katić
16.3.2021.|08:15-09:45|Online|Kriteriji za procjenu kvalitete softvera|P||Sanja Čandrlić
16.3.2021.|10:15-13:30|Online|Logika programiranja – zadaci|V||Martina Ašenbrener Katić
23.3.2021.|08:15-09:45|Online|Modeli softverskog procesa|P||Sanja Čandrlić
23.3.2021.|10:15-13:30|Online|Logika programiranja – zadaci|V||Martina Ašenbrener Katić
30.3.2021.|08:15-09:45|Online|Modeli softverskog procesa|P||Sanja Čandrlić
30.3.2021.|10:15-13:30|Online|Uvod u Clarion; Programski kod u Clarionu (unos podatka, ispis)|V||Martina Ašenbrener Katić
6.4.2021.|08:15-09:45|Online|Analiza i definicija|P||Sanja Čandrlić
6.4.2021.|10:15-13:30|Online|Programski kod u Clarionu (IF)|V||Martina Ašenbrener Katić
13.4.2021.|08:15-09:45|O-S32|Kolokvij - teorija|P||Sanja Čandrlić
13.4.2021.|08:15-09:45|O-S32|Kolokvij - teorija|K|20|Sanja Čandrlić
13.4.2021.|10:15-13:30|Online|Programski kod u Clarionu (LOOP, niz – 1.dio )|V||Martina Ašenbrener Katić
20.4.2021.|08:15-09:45|Online|Analiza i definicija|P||Sanja Čandrlić
20.4.2021.|10:15-13:30|Online|Programski kod u Clarionu (Niz – 2. dio, matrice)|V||Martina Ašenbrener Katić
27.4.2021.|08:15-09:45|Online|Dizajn softvera|P||Sanja Čandrlić
27.4.2021.|10:15-13:30|Online|Programski kod u Clarionu (CASE OF, hide, unhide, enable, disable, group)|V||Martina Ašenbrener Katić
4.5.2021.|08:15-09:45|Online|Implementacija|P||Sanja Čandrlić
4.5.2021.|10:15-13:30|Online|Programski kod u Clarionu (Stringovi i zadaci sa stringovima)|V||Martina Ašenbrener Katić
11.5.2021.|08:15-09:45|Online|Testiranje softvera.|P||Sanja Čandrlić
11.5.2021.|10:15-13:30|Online|Programski kod u Clarionu (Ponavljanje)|V||Martina Ašenbrener Katić
18.5.2021.|08:15-09:45|Online|Funkcionalno testiranje softvera|P||Sanja Čandrlić
18.5.2021.|10:15-13:30|Online|Konzultacije za kolokvij|V||Martina Ašenbrener Katić
25.5.2021.|08:15-09:45|Online|Strukturno testiranje softvera|P||Sanja Čandrlić
25.5.2021.|10:15-13:30|O-366|Kolokvij (Clarion)|V||Martina Ašenbrener Katić
25.5.2021.|10:15-13:30|O-366|Kolokvij (Clarion)|K|30|Martina Ašenbrener Katić
1.6.2021.|08:15-09:45|Online|Održavanje softvera|P||Sanja Čandrlić
1.6.2021.|10:15-13:30|O-366|Projektni zadatak|V||Martina Ašenbrener Katić
1.6.2021.|10:15-13:30|O-366|Projektni zadatak|PR|10|Martina Ašenbrener Katić
8.6.2021.|08:15-09:45|Online|Analiza studentskih rezultata, konzultacije za završni ispit|P||Sanja Čandrlić
8.6.2021.|10:15-13:30|O-366|Nadoknada kolokvija|PA||Martina Ašenbrener Katić
|00:00-23:59|Online|Razni zadaci tijekom nastave|DZ|10|Sanja Čandrlić, Martina Ašenbrener Katić
30.6.2021.|10:15-13:30|O-366|Završni ispit (1. redovni rok)|Z|30|Sanja Čandrlić, Martina Ašenbrener Katić
14.7.2021.|10:15-13:30|O-366|Završni ispit (2. redovni rok)|Z||Sanja Čandrlić, Martina Ašenbrener Katić
10.9.2021.|10:15-13:30|O-366|Završni ispit (1. izvanredni rok)|Z||Sanja Čandrlić, Martina Ašenbrener Katić
17.9.2021.|10:15-13:30|O-366|Završni ispit (2. izvanredni rok)|Z||Sanja Čandrlić, Martina Ašenbrener Katić
