Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
3.3.2021.|14:15-15:45|O28|Uvod u kolegij|P||D. Dragičević
3.3.2021.|16:00-17:30|O28|Osnove kombinatorike|V||S. Ban
10.3.2021.|14:15-15:45|O28|Slučajan pokus. Vjerojatnost.|P||D. Dragičević
10.3.2021.|16:00-17:30|O28|Slučajan pokus. Vjerojatnost.|V||S. Ban
17.3.2021.|14:15-15:45|O28|Laplaceov model|P||D. Dragičević
17.3.2021.|16:00-17:30|O28|Laplaceov model|V||S. Ban
24.3.2021.|14:15-15:45|O28|Uvjetna vjerojatnost. Nezavisnost.|P||D. Dragičević
24.3.2021.|16:00-17:30|O28|Uvjetna vjerojatnost. Nezavisnost.|V||S. Ban
31.3.2021.|14:15-15:45|O28|Formula potpune vjerojatnosti i Bayesova formula|P||D. Dragičević
31.3.2021.|16:00-17:30|O28|Formula potpune vjerojatnosti i Bayesova formula|V||S. Ban
7.4.2021.|14:15-15:45|O28|Geometrijska vjerojatnost|P||D. Dragičević
7.4.2021.|16:00-17:30|O28|Geometrijska vjerojatnost|V||S. Ban
14.4.2021.|14:15-15:45|O28|Bernoullijeva shema.|P||D. Dragičević
14.4.2021.|16:00-17:30|O28|Provjera domaće zadaće i ponavljanje za kolokvij.|V||S. Ban
21.4.2021.|14:15-15:45|O28|Slučajne varijable|P||D. Dragičević
21.4.2021.|16:00-17:30|O28|Prvi kolokvij|V||S. Ban
21.4.2021.|16:00-17:30|O28|Prvi kolokvij|k|30|S. Ban
28.4.2021.|14:15-15:45|O28|Osnovni primjeri vjerojatnosnih razdioba|P||D. Dragičević
28.4.2021.|16:00-17:30|O28|Bernoullijeva shema.|V||S. Ban
5.5.2021.|14:15-15:45|O28|Matematičko očekivanje i varijanca|P||D. Dragičević
5.5.2021.|16:00-17:30|O28|Slučajne varijable|V||S. Ban
12.5.2021.|14:15-15:45|O28|Normalna razdioba|P||D. Dragičević
12.5.2021.|16:00-17:30|O28|Matematičko očekivanje i varijanca|V||S. Ban
19.5.2021.|14:15-15:45|O28|Osnovni pojmovi matematičke statistike|P||D. Dragičević
19.5.2021.|16:00-17:30|O28|Osnovni pojmovi matematičke statistike. Linearna korelacija|V||S. Ban
26.5.2021.|14:15-15:45|O28|Linearna korelacija|P||D. Dragičević
26.5.2021.|16:00-17:30|O28|Provjera domaće zadaće i ponavljanje za kolokvij|V||S. Ban
2.6.2021.|14:15-15:45|O28|Statistički testovi|P||D. Dragičević
2.6.2021.|16:00-17:30|O28|Drugi kolokvij|V||S. Ban
2.6.2021.|16:00-17:30|O28|Drugi kolokvij|K|30|S. Ban
9.6.2021.|14:15-15:45|O28|Popravne aktivnosti|PA||D. Dragičević
9.6.2021.|16:00-17:30|O28|Statistički testovi|V||S. Ban
|00:00-23.59|online|Rješavanje zadaća|DZ|10|D. Dragičević
24.6.2021.|10:00-14:00|online|Završni ispit (1. redovni rok)|Z|30|D. Dragičević
8.7.2021.|10:00-14:00|online|Završni ispit (2. redovni rok)|Z||D. Dragičević
8.9.2021.|10:00-14:00|online|Završni ispit (1. izvanredni rok)|Z||D. Dragičević
16.9.2021.|10:00-14:00|online|Završni ispit (2. izvanredni rok)|Z||D. Dragičević
