Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
8.10.2020.|10:15-11:45|O-358|Uvodno predavanje.|P||prof. dr. sc. Dragan Čišić
8.10.2020.|12:15-13:45|O-359|Uvod u vješbe kolegija.|V||doc. dr. sc. Vanja Slavuj
15.10.2020.|10:15-11:45|O-358|Osnovni pojmovi elektroničkog gospodarstva.|P||prof. dr. sc. Dragan Čišić
15.10.2020.|12:15-13:45|online|Living Labs pristup IKT inovacijama i razvoju.|V||doc. dr. sc. Vanja Slavuj
22.10.2020.|10:15-11:45|O-358|E-tršište.|P||prof. dr. sc. Dragan Čišić
22.10.2020.|12:15-13:45|online|Analiza odabranog primjera Living Lab-a.|V||doc. dr. sc. Vanja Slavuj
29.10.2020.|10:15-11:45|O-358|Poslovni modeli.|P||prof. dr. sc. Dragan Čišić
29.10.2020.|12:15-13:45|online|Osnove pristupa design thinking.|V||doc. dr. sc. Vanja Slavuj
5.11.2020.|10:15-11:45|O-358|Ponašanje potrošača.|P||prof. dr. sc. Dragan Čišić
5.11.2020.|00:00-23:59|online|Analiza literature (priprema za projektni zadatak)|dz|11|doc. dr. sc. Vanja Slavuj
5.11.2020.|12:15-13:45|O-359|Metode pristupa design thinking (1).|V||doc. dr. sc. Vanja Slavuj
12.11.2020.|10:15-11:45|O-358|Provjere znanja.|P||prof. dr. sc. Dragan Čišić
12.11.2020.|12:15-13:45|O-359|Metode pristupa design thinking (2).|V||doc. dr. sc. Vanja Slavuj
19.11.2020.|10:15-11:45|O-358|Internet maloprodaja.|P||prof. dr. sc. Dragan Čišić
19.11.2020.|12:15-13:45|O-359|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
26.11.2020.|10:15-11:45|O-358|Online zajednice.|P||prof. dr. sc. Dragan Čišić
26.11.2020.|12:15-13:45|online|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
3.12.2020.|10:15-11:45|O-358|B2B poslovanje.|P||prof. dr. sc. Dragan Čišić
3.12.2020.|12:15-13:45|online|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
10.12.2020.|10:15-11:45|O-358|e-Uprava.|P||prof. dr. sc. Dragan Čišić
10.12.2020.|12:15-13:45|online|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
17.12.2020.|10:15-11:45|O-358|e-Učenje.|P||prof. dr. sc. Dragan Čišić
17.12.2020.|12:15-13:45|online|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
7.1.2021.|10:15-11:45|O-358|Sigurnosne tehnologije.|P||prof. dr. sc. Dragan Čišić
7.1.2021.|12:15-13:45|online|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
14.1.2021.|10:15-11:45|O-358|Plaćanje.|P||prof. dr. sc. Dragan Čišić
14.1.2021.|12:15-13:45|online|Rad na projektnom zadatku.|V||doc. dr. sc. Vanja Slavuj
21.1.2021.|10:15-11:45|O-358|Pravni, etički i društveni utjecaji.|P||prof. dr. sc. Dragan Čišić
21.1.2021.|12:15-13:45|O-359|Prezentacija projektnog zadatka.|V||doc. dr. sc. Vanja Slavuj
28.1.2021.|10:15-11:45|O-358|Provjere znanja.|P||prof. dr. sc. Dragan Čišić
28.1.2021.|12:15-13:45|O-359|Prezentacija projektnog zadatka.|V||doc. dr. sc. Vanja Slavuj
04.02.2021.|00:00-23:59|online|Završni ispit (1. redoviti rok)||50|prof. dr. sc. Dragan Čišić
18.02.2021.|00:00-23:59|online|Završni ispit (2. redoviti rok)|||prof. dr. sc. Dragan Čišić
18.03.2021.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|||prof. dr. sc. Dragan Čišić
02.09.2021.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|||prof. dr. sc. Dragan Čišić
