Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
06.10.2020.|14:15-16:00|O-358|Uvod u ekonomiku i poduzetništvo|P||izv. prof. dr. sc. Borna Debelić
06.10.2020.|16:15-18:00|O-359|Aktivnosti osnivanja poduzeća (formiranje grupa i rad po grupama)|V||Gordana Bugarinović
13.10.2020.|14:15-16:00|O-360|Poduzetništvo|P||izv. prof. dr. sc. Borna Debelić
13.10.2020.|16:15-18:00|O-361|Aktivnosti osnivanja poduzeća(po grupama)|V||Gordana Bugarinović
20.10.2020.|14:15-16:00|online|Poduzetništvo i poduzetnik|P||izv. prof. dr. sc. Borna Debelić
20.10.2020.|16:15-18:00|online|Aktivnosti osnivanja poduzeća(po grupama)|V||Gordana Bugarinović
27.10.2020.|14:15-16:00|O-358|Temeljne institucije za razvoj poduzetništva|P||izv. prof. dr. sc. Borna Debelić
27.10.2020.|16:15-18:00|O-358|Aktivnosti osnivanja poduzeća (po grupama)|V||Gordana Bugarinović
03.11.2020.|14:15-16:00|online|Inovativnost i poduzetništvo|P||izv. prof. dr. sc. Borna Debelić
03.11.2020.|16:15-18:00|online|Aktivnosti osnivanja poduzeća (po grupama)|V||Gordana Bugarinović
10.11.2020.|14:15-16:00|O-358|Upravljanje u poduzeću.|P||izv. prof. dr. sc. Borna Debelić
10.11.2020.|16:15-18:00|O-358|Aktivnosti osnivanja poduzeća(po grupama)|V||Gordana Bugarinović
17.11.2020.|14:15-16:00|O-358|Poduzetnički procesi i oblici org. malog gospodarstva. Pisanje I. Kolokvija.|Z|25|izv. prof. dr. sc. Borna Debelić
17.11.2020.|16:15-18:00|O-358|Aktivnosti osnivanja poduzeća(po grupama)|V||Gordana Bugarinović
24.11.2020.|14:15-16:00|online|Poduzetničke mogućnosti|P||izv. prof. dr. sc. Borna Debelić
24.11.2020.|16:15-18:00|online|Aktivnosti osnivanja obrta(po grupama). Predaja seminara o osnovanom poduzeću.|Z|20|Gordana Bugarinović
01.12.2020.|14:15-16:00|O-358|Poduzetničke mogućnosti|P||izv. prof. dr. sc. Borna Debelić
01.12.2020.|16:15-18:00|O-358|Aktivnosti osnivanja obrta(po grupama)|V||Gordana Bugarinović
08.12.2020.|14:15-16:00|online|Poslovanje malog poduzeća|P||izv. prof. dr. sc. Borna Debelić
08.12.2020.|16:15-18:00|online|Aktivnosti osnivanja obrta(po grupama)|V||Gordana Bugarinović
15.12.2020.|14:15-16:00|O-358|Poslovanje malog poduzeća|P||izv. prof. dr. sc. Borna Debelić
15.12.2020.|16:15-18:00|O-358|Aktivnosti osnivanja obrta (po grupama)|V||Gordana Bugarinović
22.12.2020.|14:15-16:00|online|Poslovanje malog poduzeća|P||izv. prof. dr. sc. Borna Debelić
22.12.2020.|16:15-18:00|online|Zatvaranje malog poduzeća|V||Gordana Bugarinović
12.01.2021.|14:15-16:00|O-358|Poslovanje malog poduzeća. Pisanje II. kolokvija|Z|25|izv. prof. dr. sc. Borna Debelić
12.01.2021.|16:15-18:00|O-358|Zatvaranje obrta. Predaja seminara o osnovanom obrtu.|V||Gordana Bugarinović
19.01.2021.|14:15-16:00|online|Projekti u poduzeću.|P||izv. prof. dr. sc. Borna Debelić
19.01.2021.|16:15-18:00|online|Prezentacija seminarskih radova (po grupama)|V||Gordana Bugarinović
26.01.2021.|14:15-16:00|O-358|Projekti u poduzeću II.|P||izv. prof. dr. sc. Borna Debelić
26.01.2021.|16:15-18:00|O-358|Prezentacija seminarskih radova (po grupama)|V||Gordana Bugarinović
02.02.2021.|00:00 - 23:59|online|Završni ispit (1. redoviti rok)|Z|30|izv. prof. dr. sc. Borna Debelić / Gordana Bugarinović
16.02.2021.|00:00 - 23:59|online|Završni ispit (1. redoviti rok)|Z||izv. prof. dr. sc. Borna Debelić / Gordana Bugarinović
31.08.2021.|00:00 - 23:59|online|Završni ispit (1. redoviti rok)|Z||izv. prof. dr. sc. Borna Debelić / Gordana Bugarinović
14.09.2021.|00:00 - 23:59|online|Završni ispit (1. redoviti rok)|Z||izv. prof. dr. sc. Borna Debelić / Gordana Bugarinović
