Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
05.03.2021.|8:15-9:45|online|Uvod, upoznavanje studenata s bodovima i obvezama|P||prof. dr. sc. Maja Matetić
05.03.2021.|10:00-11:30|366|Uvod, upoznavanje studenata s bodovima i obvezama|V||Dejan Ljubobratović
12.03.2021.|8:15-9:45|366|Arhitektura sustava temeljenih na znanju i sustavi temeljeni na pravilima, lab u alatu R|P||prof. dr. sc. Maja Matetić
12.03.2021.|10:00-11:30|366|Arhitektura sustava temeljenih na znanju i sustavi temeljeni na pravilima, lab u alatu R|V||Dejan Ljubobratović
19.03.2021.|8:15-9:45|online|Dubinska analiza podataka i strojno učenje, lab u alatu R, lab u alatu R. Zadana 1. zadaća.|P||prof. dr. sc. Maja Matetić
19.03.2021.|10:00-11:30|366|Dubinska analiza podataka i strojno učenje, lab u alatu R, lab u alatu R. Zadana 1. zadaća.|V||Dejan Ljubobratović
19.03.2021.|8:15-11:30|366|1. domaća zadaća|DZ|8|Dejan Ljubobratović
26.03.2021.|8:15-9:45|366|Linearni modeli, lab u alatu R|P||prof. dr. sc. Maja Matetić
26.03.2021.|10:00-11:30|366|Linearni modeli, lab u alatu R|V||Dejan Ljubobratović
02.04.2021.||blagdan|Blagdan (prema kalendaru nastave)|||
09.04.2021.|8:15-9:45|online|"Napredni postupci klasifikacije:
Logistička regresija, LDA; lab u alatu
R. Zadana 2. zadaća."|P||prof. dr. sc. Maja Matetić
09.04.2021.|10:00-11:30|366|"Napredni postupci klasifikacije:
Logistička regresija, LDA; lab u alatu
R. Zadana 2. zadaća."|V||Dejan Ljubobratović
09.04.2021.|8:15-11:30|366|2. domaća zadaća|DZ|8|Dejan Ljubobratović
16.04.2021.|8:15-9:45|366|Napredni postupci klasifikacije: QDA, KNN; lab u alatu R|P||prof. dr. sc. Maja Matetić
16.04.2021.|10:00-11:30|366|Napredni postupci klasifikacije: QDA, KNN; lab u alatu R|V||Dejan Ljubobratović
23.04.2021.|8:15-9:45|online|"Postupci vrednovanja modela:
unakrsno vrednovanje, LOOV, Bootstrap, lab u alatu R"|P||prof. dr. sc. Maja Matetić
23.04.2021.|10:00-11:30|366|"Postupci vrednovanja modela:
unakrsno vrednovanje, LOOV, Bootstrap, lab u alatu R"|V||Dejan Ljubobratović
30.04.2021.|8:15-9:45|366|Vježba|P||prof. dr. sc. Maja Matetić
30.04.2021.|10:00-11:30|366|Vježba|V||Dejan Ljubobratović
07.05.2021.|8:15-9:45|online|"Selekcija modela i regularizacija; Postupci odabira podskupa podataka
i smanjivanja dimenzija: Odabir najboljeg podskupa; lab u alatu R"|P||prof. dr. sc. Maja Matetić
07.05.2021.|10:00-11:30|366|"Selekcija modela i regularizacija; Postupci odabira podskupa podataka i smanjivanja dimenzija: Odabir
najboljeg podskupa; lab u alatu R"|V||Dejan Ljubobratović
14.05.2021.|8:15-9:45|366|1. kolokvij|P||prof. dr. sc. Maja Matetić
14.05.2021.|10:00-11:30|366|1. kolokvij|V||Dejan Ljubobratović
14.05.2021.|8:15-11:30|366|1. kolokvij|K|15|Dejan Ljubobratović
21.05.2021.|8:15-9:45|366|"Postupci temeljeni na stablima:
Bagging i slučajne šume; lab u alatu
R. Zadana 3. zadaća."|P||prof. dr. sc. Maja Matetić
21.05.2021.|10:00-11:30|366|"Postupci temeljeni na stablima:
Bagging i slučajne šume; lab u alatu
R. Zadana 3. zadaća."|V||Dejan Ljubobratović
21.05.2021.|8:15-11:30|366|3. domaća zadaća|DZ|8|Dejan Ljubobratović
28.05.2021.|8:15-9:45|online|Postupci temeljeni na stablima: Boosting; lab u alatu R|P||prof. dr. sc. Maja Matetić
28.05.2021.|10:00-11:30|366|Postupci temeljeni na stablima: Boosting; lab u alatu R|V||Dejan Ljubobratović
04.06.2021.|8:15-9:45|366|"Analiza glavnih komponenti (PCA), Postupci grupiranja, lab u alatu R.
Zadana 4. zadaća."|P||prof. dr. sc. Maja Matetić
04.06.2021.|10:00-11:30|366|"Analiza glavnih komponenti (PCA), Postupci grupiranja, lab u alatu R.
Zadana 4. zadaća."|V||Dejan Ljubobratović
04.06.2021.|8:15-11:30|366|4. domaća zadaća|DZ|8|Dejan Ljubobratović
11.06.2021.|8:15-9:45|366|Obrane projekata|P||prof. dr. sc. Maja Matetić
11.06.2021.|10:00-11:30|366|2. kolokvij|K|18|Dejan Ljubobratović
11.06.2021.|10:00-11:30|366|2. kolokvij|V||Dejan Ljubobratović
18.06.2021.|8:15-9:45|366|Nadoknada kolokvija.|P||prof. dr. sc. Maja Matetić
18.06.2021.|10:00-11:30|366|Nadoknada kolokvija.|V||Dejan Ljubobratović
|00:00-23:59|online|Bodovi iz aktivnosti|A|5|
25.06.2021.|00:00-23:59|online|Završni ispit - 1. redovni rok (seminar)|Z|30|
09.07.2021.|00:00-23:59|online|Završni ispit - 2. redovni rok (seminar)|Z|0|
01.09.2021.|00:00-23:59|online|Završni ispit - 1. izvanredni rok (seminar)|Z|0|
17.09.2021.|00:00-23:59|online|Završni ispit - 2. izvanredni rok (seminar)|Z|0|
