Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
08.10.2020.|08:30-10:00|online|Uvod u vježbe|V||doc. dr. sc. Miran Pobar
08.10.2020.|10:00-12:00|O-357|Uvod, organizacija kolegija|P||prof. dr. sc. Ivo Ipšić
15.10.2020.|08:30-10:00|O-366|Uvod u Matlab|V||doc. dr. sc. Miran Pobar
15.10.2020.|10:00-12:00|O-357|Postupci digitalne obrade signala govora|P||prof. dr. sc. Ivo Ipšić
22.10.2020.|08:30-10:00|O-366|Obrada signala govora / Matlab|V||doc. dr. sc. Miran Pobar
22.10.2020.|10:00-12:00|O-357|Postupci digitalne obrade slike|P||prof. dr. sc. Ivo Ipšić
29.10.2020.|08:30-10:00|O-366|Matlab, Image Processing Toolbox|V||doc. dr. sc. Miran Pobar
29.10.2020.|10:00-12:00|O-357|Akustičko modeliranje govora|P||prof. dr. sc. Ivo Ipšić
05.11.2020.|08:30-10:00|O-366|Matlab, Signal Processing Toolbox|V||doc. dr. sc. Miran Pobar
05.11.2020.|10:00-12:00|O-357|Računalni vid|P||prof. dr. sc. Ivo Ipšić
12.11.2020.|08:30-10:00|O-366|Matlab,Image Processing Toolbox|V||doc. dr. sc. Miran Pobar
12.11.2020.|10:00-12:00|O-357|Jezično modeliranje govora|P||prof. dr. sc. Ivo Ipšić
19.11.2020.|08:30-10:00|online|Snimanje i priprema signala|V||doc. dr. sc. Miran Pobar
19.11.2020.|10:00-12:00|O-357|Postupci raščlanjivanja (segmentacije) govora|P||prof. dr. sc. Ivo Ipšić
26.11.2020.|08:30-10:00|O-366|Matlab/Octave|V||doc. dr. sc. Miran Pobar
26.11.2020.|10:00-12:00|O-357|Postupci izlučivanja značajki slike|P||prof. dr. sc. Ivo Ipšić
03.12.2020.|08:30-10:00|online|Matlab/Octave. Prezentacije tema projekata|V||doc. dr. sc. Miran Pobar
03.12.2020.|10:00-12:00|online|Morfološke značajke slike|P||prof. dr. sc. Ivo Ipšić
10.12.2020.|08:30-10:00|O-366|Matlab/Octave|V||doc. dr. sc. Miran Pobar
10.12.2020.|10:00-12:00|online|Postupci raspoznavanja govora|P||prof. dr. sc. Ivo Ipšić
17.12.2020.|08:30-10:00|O-366|Postupci raspoznavanja govora|V||doc. dr. sc. Miran Pobar
17.12.2020.|10:00-12:00|online|Sustavi za govorni dijalog|P||prof. dr. sc. Ivo Ipšić
07.01.2020.|08:30-10:00|O-366|Matlab/Octave|V||doc. dr. sc. Miran Pobar
07.01.2021.|10:00-12:00|online|Postupci obrade slikovnih uzoraka|P||prof. dr. sc. Ivo Ipšić
14.01.2021.|08:30-10:00|O-366|Obrada slikovnih uzoraka|V||doc. dr. sc. Miran Pobar
14.01.2021.|10:00-12:00|357/Online|Aktivni vid|P||prof. dr. sc. Ivo Ipšić
21.01.2021.|08:30-10:00|online|Matlab/Octave|V||doc. dr. sc. Miran Pobar
21.01.2021.||online|Seminarski radovi|P||prof. dr. sc. Ivo Ipšić
28.01.2021.||online|Seminarski radovi|V||doc. dr. sc. Miran Pobar
28.01.2021.||online|Seminarski radovi|P||prof. dr. sc. Ivo Ipšić
10.02.2021.||online|Završni ispit (1. redoviti rok)|Z|30|prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
24.02.2021.||online|Završni ispit (2. redoviti rok)|Z||prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
24.03.2021.||online|Završni ispit (1. izvanredni rok)|Z||prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
08.09.2021.||online|Završni ispit (2. izvanredni rok)|Z||prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
|00:00-23:59|online|Izrada seminara/projekta|s|50|prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
|00:00-23:59|online|Prezentacija plana izrade seminara/projekta|prez|10|prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
|00:00-23:59|online|Prezetnacija programske opreme projekta|prez|10|prof. dr. sc. Ivo Ipšić / doc. dr. sc. Miran Pobar
