Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
4.3.2021.|10:00-11:30|359|Uvodno o predavanje o logistici. Evolucija Integralnog logističkog pristupa. Logistika u 1990 tih, logistika u 2000 godini|P||Dragan Čišić
4.3.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
11.3.2021.|10:00-11:30|359|Sustavi distribucije robe i usluga. Logistika. Logističko planiranje|P||Dragan Čišić
11.3.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
18.3.2021.|10:00-11:30|359|"Strateško logističko planiranje: Logističke strategije, Upravljanje
Marketing, Logistička strategija i struktura"|P||Dragan Čišić
18.3.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
25.3.2021.|10:00-11:30|359|Upravljanje    Kvaliteta  i  učinkovitost    u logistici TQM principi u Logistici|P||Dragan Čišić
25.3.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
01.4.2021.|10:00-11:30|359|Sustavi distribucije robe i usluga. Kanali distribucije.|P||Dragan Čišić
01.4.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
08.4.2021.|10:00-11:30|359|"Analiza    pojedinih    prometnih    grana. Općenito  o  prometu.  Cestovni  promet.
Željeznički   promet.   Pomorski   promet. Zračni promet.  Transport u proizvodnji"|P||Dragan Čišić
08.4.2021.|11:45-13:15|359|Kolokvij 1|V||Dragan Čišić
08.4.2021.|11:45-13:15|359|Kolokvij 1|K|20|Dragan Čišić
15.4.2021.|10:00-11:30|359|Troškovi prijevoza.  Logistički troškovi. Produktivnost, učinkovitost|P||Dragan Čišić
15.4.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
22.4.2021.|10:00-11:30|359|Transakcijski troškovi|P||Dragan Čišić
22.4.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
29.4.2021.|10:00-11:30|359|Mjerenje  izvedbe logističkih postupaka Integriranje logističkih strategija u financijske planove|P||Dragan Čišić
29.4.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
06.5.2021.|10:00-11:30|359|Just in time sustav upravljanja zalihama, planiranje u JIT okružju|P||Dragan Čišić
06.5.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
13.5.2021.|10:00-11:30|359|"Prijevoz; Evaluacija prijevoznih tehnologija, svjetski trendo
Uloga novih informacijskih tehnologija na upravljanje prijevoznim sustavom"|P||Dragan Čišić
13.5.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
20.5.2021.|10:00-11:30|359|Integracija nabave i prijevoznog sustava Logistika ugovaranja|P||Dragan Čišić
20.5.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
27.5.2021.|10:00-11:30|359|"Skladištenje, Projektiranje sustava skladištenja, Skladišne tehnologije, Izbor lokacije  skladišta, Informacijski sustav
skladišta"|P||Dragan Čišić
27.05.2021.|11:45-13:15|359|Modeli logističkih sustava|V||Dragan Čišić
10.6.2021.|10:00-11:30|359|Međunarodna    logistika,    Međunarodno okružje, Upravljanje uvozom i izvozom|P||Dragan Čišić
10.6.2021.|11:45-13:15|359|Kolokvij 2|V||Dragan Čišić
10.6.2021.|11:45-13:15|359|Kolokvij 2|K|20|Dragan Čišić
|00:00-23:59|359|Aktivnost - kviz 1|KV|15|Dragan Čišić
|00:00-23:59|359|Aktivnost - kviz 2|KV|15|Dragan Čišić
17.6.2021.|00:00-23:59|359|Završni ispit (1. redovni rok)|Z|30|Dragan Čišić
1.7.2021.|00:00-23:59|359|Završni ispit (2. redovni rok)|Z||Dragan Čišić
2.9.2021.|00:00-23:59|359|Završni ispit (1. izvanredni rok)|Z||Dragan Čišić
16.9.2021.|00:00-23:59|359|Završni ispit (2. izvanredni rok)|Z||Dragan Čišić
