Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
2.3.2021.|12:00-13:30|O-365|Uvod u kolegij.|P||doc. dr. sc. Vanja Slavuj
2.3.2021.|13:45-15:15|O-365|Uvod u vježbe kolegija. Instalacija programske podrške.|V||doc. dr. sc. Vanja Slavuj
9.3.2021.|12:00-13:30|O-365|Multimedijski i hipermedijski sustavi.|P||doc. dr. sc. Vanja Slavuj
9.3.2021.|13:45-15:15|O-365|Priprema za rad s alatom Blender. Osnovni rad s predmetima scene.|V||doc. dr. sc. Vanja Slavuj
16.3.2021.|12:00-13:30|O-365|Uvod u računalnu grafiku.|P||doc. dr. sc. Vanja Slavuj
16.3.2021.|13:45-15:15|O-365|Alati za uređivanje predmeta scene.|V||doc. dr. sc. Vanja Slavuj
23.3.2021.|12:00-13:30|O-365|Virtualna okruženja.|P||doc. dr. sc. Vanja Slavuj
23.3.2021.|13:45-15:15|O-365|Rad s modifikatorima (1).|V||doc. dr. sc. Vanja Slavuj
30.3.2021.|00:00-23:59|online|Online diskusija (1).|P||doc. dr. sc. Vanja Slavuj
30.3.2021.|00:00-23:59|online|Online diskusija (1).|R|5|doc. dr. sc. Vanja Slavuj
30.3.2021.|13:45-15:15|O-365|Rad s modifikatorima (2).|V||doc. dr. sc. Vanja Slavuj
6.4.2021.|12:00-13:30|O-365|Rad s virtualnom scenom ž modeliranje predmeta.|P||doc. dr. sc. Vanja Slavuj
6.4.2021.|13:45-15:15|O-365|Rad s 3D tekstom. Upravljanje scenom.|V||doc. dr. sc. Vanja Slavuj
13.4.2021.|00:00-23:59|online|Online diskusija (2).|P||doc. dr. sc. Vanja Slavuj
13.4.2021.|00:00-23:59|online|Online diskusija (2).|R|5|doc. dr. sc. Vanja Slavuj
13.4.2021.|13:45-15:15|O-365|Materijali i bojanje površine predmeta scene.|V||doc. dr. sc. Vanja Slavuj
20.4.2021.|12:00-13:30|O-365|Računalna animacija.|P||doc. dr. sc. Vanja Slavuj
20.4.2021.|13:45-15:15|O-365|Osnove animacije (1).|V||doc. dr. sc. Vanja Slavuj
27.04.2021.|12:00-13:30|O-365|Metoda praćenja zrake.|P||doc. dr. sc. Vanja Slavuj
27.04.2021.|13:45-15:15|O-365|Osnove animacije (2).|V||doc. dr. sc. Vanja Slavuj
4.5.2021.|12:00-13:30|O-365|Iscrtavanje virtualne scene i grafički protočni sustav.|P||doc. dr. sc. Vanja Slavuj
4.5.2021.|13:45-15:15|O-365|Priprema za izradu projekta i uključivanje 3D grafike u web sjedište.|V||doc. dr. sc. Vanja Slavuj
11.5.2021.|00:00-23:59|online|Primjena virtualnih okruženja u poslovne i edukativne svrhe.|P||doc. dr. sc. Vanja Slavuj
11.5.2021.|13:45-15:15|O-365|Priprema za izradu projekta i izrada projektne dokumentacije.|V||doc. dr. sc. Vanja Slavuj
18.5.2021.|00:00-23:59|online|Online diskusija (3).|P||doc. dr. sc. Vanja Slavuj
18.5.2021.|00:00-23:59|online|Online diskusija (3).|R|5|doc. dr. sc. Vanja Slavuj
18.5.2021.|00:00-23:59|online|Izrada projekta.|V||doc. dr. sc. Vanja Slavuj
25.5.2021.|12:00-13:30|O-365|Provjera znanja.|P||doc. dr. sc. Vanja Slavuj
25.5.2021.|12:00-13:30|O-365|Provjera znanja.|K|25|doc. dr. sc. Vanja Slavuj
25.5.2021.|00:00-23:59|online|Izrada projekta.|V||doc. dr. sc. Vanja Slavuj
1.6.2021.|00:00-23:59|online|Izrada projekta.|P||doc. dr. sc. Vanja Slavuj
1.6.2021.|00:00-23:59|||V||doc. dr. sc. Vanja Slavuj
8.6.2021.|12:00-15:15|O-365|Prezentacija projekta.|P||doc. dr. sc. Vanja Slavuj
8.6.2021.|12:00-15:15|O-365|Prezentacija projekta i projektna dokumentacija|PR|10|doc. dr. sc. Vanja Slavuj
|00:00-23:59|online|1. domaća zadaća|DZ|5|doc. dr. sc. Vanja Slavuj
|00:00-23:59|online|2. domaća zadaća|DZ|5|doc. dr. sc. Vanja Slavuj
|00:00-23:59|online|3. domaća zadaća|DZ|10|doc. dr. sc. Vanja Slavuj
29.6.2021.|00:00-23:59|O-365|Završni ispit (1. redovni rok)|Z|30|doc. dr. sc. Vanja Slavuj
13.7.2021.|00:00-23:59|O-365|Završni ispit (2. redovni rok)|Z||doc. dr. sc. Vanja Slavuj
31.8.2021.|00:00-23:59|O-365|Završni ispit (1. izvanredni rok)|Z||doc. dr. sc. Vanja Slavuj
14.9.2021.|00:00-23:59|O-365|Završni ispit (2. izvanredni rok)|Z||doc. dr. sc. Vanja Slavuj
