Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
2.3.2021.|08:15-09:45:00|365|Uvodni sat, obveze studenata|P||Miran Pobar
2.3.2021.|10:00-11:30|365|Google colab, biblioteke za obradu govora i slika|V||Miran Pobar
9.3.2021.|08:15-09:45|365|Signali|P||Miran Pobar
9.3.2021.|10:00-11:30|365|Signali|V||Miran Pobar
15.3.2021.|08:15-09:45|365|Govorni signal|P||Miran Pobar
15.3.2021.|10:00-11:30|365|Značajke govornog signala u vremenskoj domeni, Zadavanje 1. grupe eksperimentalnih zadataka|V||Miran Pobar
23.3.2021.|08:15-09:45|online|Spektralne značajke signala govora Predstavljanje tema projekata|P||Miran Pobar
23.3.2021.|10:00-11:30|online|Spektralne značajke signala govora, Analiza 1. grupe eksperimentalnih zadataka|V||Miran Pobar
23.3.2021.|10:00-11:30|online|Spektralne značajke signala govora, Analiza 1. grupe eksperimentalnih zadataka|A|15|Miran Pobar
30.3.2021.|08:15-09:45|online|Kepstar i osnovna frekvencija govora|P||Miran Pobar
30.3.2021.|10:00-11:30|online|Kepstar i osnovna frekvencija govora|V||Miran Pobar
6.4.2021.|08:15-09:45|online|Filtri|P||Miran Pobar
6.4.2021.|10:00-11:30|online|Filtri|V||Miran Pobar
13.4.2021.|08:15-09:45|365|Signali slike i primjena obrade slike|P||Miran Pobar
13.4.2021.|10:00-11:30|365|Signali slike i primjena obrade slike|V||Miran Pobar
20.4.2021.|08:15-09:45|365|Operacije na pikselima i histogram|P||Miran Pobar
20.4.2021.|10:00-11:30|365|Operacije na pikselima i histogram|V||Miran Pobar
27.4.2021.|08:15-09:45|365|Transformacije slike i filtri|P||Miran Pobar
27.4.2021.|10:00-11:30|365|Transformacije slike i filtri|V||Miran Pobar
4.5.2021.|08:15-09:45|365|Obrada slike u boji i morfološke operacije|P||Miran Pobar
4.5.2021.|10:00-11:30|365|Obrada slike u boji|V||Miran Pobar
11.5.2021.|08:15-09:45|365|Detekcija rubova na slici|P||Miran Pobar
11.5.2021.|10:00-11:30|365|Morfološke operacije|V||Miran Pobar
18.5.2021.|08:15-09:45|365|Detekcija interesnih točaka slike|P||Miran Pobar
18.5.2021.|10:00-11:30|365|Detekcija rubova i interesnih točaka. Zadavanje 2. grupe eksperimentalnih zadataka|V||Miran Pobar
25.5.2021.|08:15-09:45|online|Segmentacija slike|P||Miran Pobar
25.5.2021.|10:00-11:30|online|Rad na projektnom zadatku|V||Miran Pobar
1.6.2021.|08:15-09:45|online|Algoritmi za segmentaciju slike|P||Miran Pobar
1.6.2021.|10:00-11:30|online|Analiza 2. grupe eksperimentalnih zadataka|V||Miran Pobar
1.6.2021.|10:00-11:30|online|Analiza 2. grupe eksperimentalnih zadataka|A|15|Miran Pobar
8.6.2021.|08:15-09:45|online|Predstavljanje projekata|P||Miran Pobar
8.6.2021.|10:00-11:30|online|Predstavljanje projekata|V||Miran Pobar
8.6.2021.|08:15-11:30|online|Predstavljanje projekata|PR|40|Miran Pobar
23.6.2021.|00:00-23:59|online|Završni ispit (1. redovni rok)|Z|30|Miran Pobar
7.7.2021.|00:00-23:59|online|Završni ispit (2. redovni rok)|Z||Miran Pobar
6.9.2021.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|Z||Miran Pobar
13.9.2021.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|Z||Miran Pobar
