Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
09.10.2020.|10:00-11:30|O-S32|Uvodni sat: Opće informacije.|P||izv. prof. dr. sc. Sanja Čandrlić
09.10.2020.||online|Uvodni sat: CASE alati, postavljanje razvojnog okruženja|V||doc. dr. sc. Martina Ašenbrener Katić
16.10.2020.||online|Inženjering zahtjeva|P||izv. prof. dr. sc. Sanja Čandrlić
16.10.2020.||online|Osnovni koncepti za opis razvoja softvera – klasifikacija i područja primjene|V||doc. dr. sc. Martina Ašenbrener Katić
23.10.2020.|10:00-11:30|O-S32|Upravljanje i organizacija tima|P||izv. prof. dr. sc. Sanja Čandrlić
23.10.2020.||online|Specifikacija zahtjeva|V||doc. dr. sc. Martina Ašenbrener Katić
30.10.2020.|10:00-11:30|O-S32|Procjena troškova|P||izv. prof. dr. sc. Sanja Čandrlić
30.10.2020.||online|Projektiranje zadanog sustava|V||doc. dr. sc. Martina Ašenbrener Katić
06.11.2020.||online|Planiranje i kontrola projekta|P||izv. prof. dr. sc. Sanja Čandrlić
06.11.2020.||online|Implementacija|V||doc. dr. sc. Martina Ašenbrener Katić
13.11.2020.|10:00-11:30|O-S32|Studentski projekt – prezentacija ideje|P||izv. prof. dr. sc. Sanja Čandrlić
13.11.2020.||online|Studentski projekt – prezentacija ideje|Z|5|doc. dr. sc. Martina Ašenbrener Katić
20.11.2020.||online|Softverski alati. Upravljanje konfiguracijama. Alati za kontrolu verzija. Timski rad na softveru.|P||izv. prof. dr. sc. Sanja Čandrlić
20.11.2020.||online|Alat za kontrolu verzija|V||doc. dr. sc. Martina Ašenbrener Katić
27.11.2020.|10:00-11:30|O-S32|Studentski projekt – projektni sastanak|Z|5|izv. prof. dr. sc. Sanja Čandrlić
27.11.2020.||online|Studentski projekt – projektni sastanak|V||doc. dr. sc. Martina Ašenbrener Katić
04.12.2020.||online|Dizajn interakcije i korisničkog sučelja|P||izv. prof. dr. sc. Sanja Čandrlić
04.12.2020.||online|Implementacija|V||doc. dr. sc. Martina Ašenbrener Katić
11.12.2020.|10:00-11:30|O-S32|Studentski projekt – projektni sastanak|Z|5|izv. prof. dr. sc. Sanja Čandrlić
11.12.2020.||online|Studentski projekt – projektni sastanak|V||doc. dr. sc. Martina Ašenbrener Katić
18.12.2020.||online|Etički kodeks softverskih inženjera|P||izv. prof. dr. sc. Sanja Čandrlić
18.12.2020.||online|Implementacija|V||doc. dr. sc. Martina Ašenbrener Katić
08.01.2021.||online|Održavanje softvera|P||izv. prof. dr. sc. Sanja Čandrlić
08.01.2021.||online|Testiranje|V||doc. dr. sc. Martina Ašenbrener Katić
15.01.2021.|10:00-11:30|O-S32|Studentski projekt – projektni sastanak|Z|5|izv. prof. dr. sc. Sanja Čandrlić
15.01.2021.||online|Studentski projekt – projektni sastanak|V||doc. dr. sc. Martina Ašenbrener Katić
22.01.2021.||online|Budućnost softverskog inženjerstva.|P||izv. prof. dr. sc. Sanja Čandrlić
22.01.2021.|00:00-23:50|online|Seminar|Z|5|izv. prof. dr. sc. Sanja Čandrlić
22.01.2021.|10:00-11:30|O-350|Kolokvij|Z|25|doc. dr. sc. Martina Ašenbrener Katić
29.01.2021.||O-S32|Analiza studentskog projekta|P||izv. prof. dr. sc. Sanja Čandrlić
29.01.2021.||online|Analiza studentskog projekta|V||doc. dr. sc. Martina Ašenbrener Katić
05.02.2021.|00:00-23:50|online|Završni ispit (1. redoviti rok)|Z|50|izv. prof. dr. sc. Sanja Čandrlić / doc. dr. sc. Martina Ašenbrener Katić
19.02.2021.|00:00-23:50|online|Završni ispit (2. redoviti rok)|Z||izv. prof. dr. sc. Sanja Čandrlić / doc. dr. sc. Martina Ašenbrener Katić
26.03.2021.|00:00-23:50|online|Završni ispit (1. izvanredni rok)|Z||izv. prof. dr. sc. Sanja Čandrlić / doc. dr. sc. Martina Ašenbrener Katić
13.09.2021.|00:00-23:50|online|Završni ispit (2. izvanredni rok)|Z||izv. prof. dr. sc. Sanja Čandrlić / doc. dr. sc. Martina Ašenbrener Katić
