Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
4.3.2021.|10:00-11:30|350|Uvod, opće informacije, pregled pojmova|P||Dr.sc. Sanda Martinčić-Ipšić
4.3.2021.|11:45-13:15|350|Web scraping|V||Karlo Babić
11.3.2021.|10:00-11:30|350|Jezični resursi, korpusi, rječnici, leksikoni.|P||Dr.sc. Sanda Martinčić-Ipšić
11.3.2021.|10:00-11:30|350|Word-net, korpusi, alati za korpuse|P||Dr.sc. Sanda Martinčić-Ipšić
18.3.2021.|10:00-11:30|350|Morfološki analizatori. Obilježivači vrsta riječi. Lematizatori|P||Dr.sc. Sanda Martinčić-Ipšić
18.3.2021.|11:45-13:15|350|NLTK 1 - Uvod|V||Karlo Babić
25.3.2021.|10:00-11:30|350|Statistički jezični modeli. N-gramski modeli. Perpleksnost|P||Dr.sc. Sanda Martinčić-Ipšić
25.3.2021.|11:45-13:15|350|NLTK 2 – Rad s korpusima|V||Karlo Babić
1.4.2021.|10:00-11:30|350|Parsiranje. Prepoznavanje značenja.|P||Dr.sc. Sanda Martinčić-Ipšić
1.4.2021.|11:45-13:15|350|NLTK 5 – Automatsko dodjeljivanje POS oznaka|V||Karlo Babić
8.4.2021.|10:00-11:30|350|Pretraživanje dokumenata. Strukture indeksiranja dokumenata|P||Dr.sc. Sanda Martinčić-Ipšić
8.4.2021.|11:45-13:15|350|NLTK 4 – Stvaranje kategoriziranih korpusa|V||Karlo Babić
15.4.2021.|10:00-11:30|350|Vektorski prostor. Klasifikacija dokumenata.|P||Dr.sc. Sanda Martinčić-Ipšić
15.4.2021.|11:45-13:15|350|NLTK 3 – Klasifikacija tekstova|V||Karlo Babić
17.4.2021.|23:00-23:59|350|Rok za prijavu teme za seminar |P+V||
22.4.2021.|10:00-13:15|350|Kolokvij 22.4.|P+V||
22.4.2021.|10:00-13:15|350|Kolokvij 22.4.|K|25|
29.4.2021.|10:00-11:30|350|Otkrivanje stavova i mišljenja iz teksta|P||Dr.sc. Sanda Martinčić-Ipšić
29.4.2021.|11:45-13:15|350|NLTK 6 – Pretraživanje i dohvaćanje informacija|V||Karlo Babić
6.5.2021.|10:00-11:30|350|Text Mining - Dubinska analiza teksta|P||Dr.sc. Sanda Martinčić-Ipšić
6.5.2021.|11:45-13:15|350|Text mining 1|V||Karlo Babić
13.5.2021.|10:00-11:30|350|Strojno učenje, klasifikatori|P||Dr.sc. Sanda Martinčić-Ipšić
13.5.2021.|11:45-13:15|350|Text mining 2|V||Karlo Babić
20.5.2021.|10:00-11:30|350|Duboko učenje za tekst|P||Dr.sc. Sanda Martinčić-Ipšić
20.5.2021.|11:45-13:15|350|Deep/Text mining 1|V||Karlo Babić
27.5.2021.|11:45-13:15|350|Deep/Text mining 2|V||Karlo Babić
27.5.2021.|11:45-13:15|350|Deep/Text mining 3|V||Karlo Babić
3.6.2021.|10:00-11:30|online|Diskurs. Dijalog.|P||Dr.sc. Sanda Martinčić-Ipšić
3.6.2021.|11:45-13:15|online|Deep/Text mining 4|V||Karlo Babić
7.6.2021.|23:00-23:59|online|Rok za predaju seminara 7.6.|S|30|
10.6.2021.|10:00-11:30|350|Seminari|P||Dr.sc. Sanda Martinčić-Ipšić
10.6.2021.|11:45-13:15|350|Seminari|V||Karlo Babić
|00:00-23:59|online|1. Samostalni zadatak na vježbama|A|5|
|00:00-23:59|online|2. Samostalni zadatak na vježbama|A|5|
|00:00-23:59|online|3. Samostalni zadatak na vježbama|A|5|
17.6.2021.|10:00-11:30|350|Završni ispit - 1. redovni rok|Z|30|
8.7.2021.|10:00-11:30|350|Završni ispit - 2. redovni rok|Z||
3.9.2021.|10:00-11:30|350|Završni ispit - 1. izvanredni rok|Z||
10.9.2021.|10:00-11:30|350|Završni ispit - 2. izvanredni rok|Z||
