Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
1.3.2021.|9:00-10:30|O-366|Uvod u kolegij.|P+V||Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
8.3.2021.|8:15-9:45|online|Osnovni pojmovi SPIS-a.|P||Izv. prof. dr. sc. Sanja Čandrlić
8.3.2021.|10:00-11:30|online|Zašto tvrtke počinju sa strateškim planiranjem?|V||Kristian Stančin
15.3.2021.|8:15-9:45|online|Menadžment i ulaganje u IT/IS.|P||Izv. prof. dr. sc. Sanja Čandrlić
15.3.2021.|10:00-11:30|online|Kratka provjera 1.|V||Kristian Stančin
15.3.2021.|10:00-11:30|online|Kratka provjera 1.|SA|3.33|Kristian Stančin
22.3.2021.|8:15-9:45|O-366|Svrha SPIS-a.|P||Izv. prof. dr. sc. Sanja Čandrlić
22.3.2021.|10:00-11:30|O-366|Vrste organizacijskih struktura.|V||Kristian Stančin
29.3.2021.|8:15-9:45|online|Proces planiranja SPIS-a.|P||Izv. prof. dr. sc. Sanja Čandrlić
29.3.2021.|10:00-11:30|online|Kratka provjera 2.|V||Kristian Stančin
29.3.2021.|10:00-11:30|online|Kratka provjera 2.|SA|3.33|Kristian Stančin
12.4.2021.|8:15-9:45|online|Faza vizije tijekom izrade strateškog plana IS.|P||Izv. prof. dr. sc. Sanja Čandrlić
12.4.2021.|10:00-11:30|online|Faza vizije tijekom izrade strateškog plana IS.|V||Kristian Stančin
19.4.2021.|9:00-10:30|O-366|Kolokvij 1.|P||Izv. prof. dr. sc. Sanja Čandrlić
19.4.2021.|9:00-10:30|O-366|Kolokvij 1.|K|15|Izv. prof. dr. sc. Sanja Čandrlić
19.4.2021.|10:00-11:30|O-366|Faza analize tijekom izrade strateškog plana IS|V||Kristian Stančin
26.4.2021.|8:15-9:45|O-366|Faza usmjerenja tijekom izrade strateškog plana IS.|P||Izv. prof. dr. sc. Sanja Čandrlić
26.4.2021.|10:00-11:30|O-366|Ocjenska vježba 1: Vizija, Misija i SWOT analiza.|V||Kristian Stančin
26.4.2021.|10:00-11:30|O-366|Ocjenska vježba 1: Vizija, Misija i SWOT analiza.|LZ|10|Kristian Stančin
3.5.2021.|8:15-9:45|online|Faza preporuke tijekom izrade strateškog plana IS.|P||Izv. prof. dr. sc. Sanja Čandrlić
3.5.2021.|10:00-11:30|O-366|Konzultativna nastava – upute za rad na seminaru.|V||Kristian Stančin
10.5.2021.|8:15-9:45|online|Prezentacija plana izvršnom menadžmentu.|P||Izv. prof. dr. sc. Sanja Čandrlić
10.5.2021.|10:00-11:30|O-366|Ocjenska vježba 2: Određivanje prioriteta.|V||Kristian Stančin
10.5.2021.|10:00-11:30|O-366|Ocjenska vježba 2: Određivanje prioriteta.|LZ|10|Kristian Stančin
17.5.2021.|8:15-9:45|online|SPIS metodika.|P||Izv. prof. dr. sc. Sanja Čandrlić
17.5.2021.|10:00-11:30|online|Kratka provjera 3.|V||Kristian Stančin
17.5.2021.|10:00-11:30|online|Kratka provjera 3.|SA|3.33|Kristian Stančin
24.5.2021.|8:15-9:45|O-366|Konzultativna nastava – rad na seminaru.|P||Izv. prof. dr. sc. Sanja Čandrlić
24.5.2021.|9:00-10:30|O-366|Kolokvij 2.|V||Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
24.5.2021.|9:00-10:30|O-366|Kolokvij 2.|K|20|Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
31.5.2021.|8:15-9:45|O-366|Konzultativna nastava – rad na seminaru.|P||Izv. prof. dr. sc. Sanja Čandrlić
31.5.2021.|10:00-11:30|O-366|Konzultativna nastava – rad na seminaru.|V||Kristian Stančin
7.6.2021.|8:15-9:45|O-366|Konzultativna nastava – rad na seminaru.|P||Izv. prof. dr. sc. Sanja Čandrlić
7.6.2021.|10:00-11:30|O-366|Konzultativna nastava – rad na seminaru.|V||Kristian Stančin
|00:00-23:59|online|Rasprave na forumu|R|5|Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
30.6.2021.|00:00-23:59|O-366|Završni ispit (1. redovni rok)|Z|30|Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
14.7.2021.|00:00-23:59|O-366|Završni ispit (2. redovni rok)|Z||Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
8.9.2021.|00:00-23:59|O-366|Završni ispit (1. izvanredni rok)|Z||Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
16.9.2021.|00:00-23:59|O-366|Završni ispit (2. izvanredni rok)|Z||Izv. prof. dr. sc. Sanja Čandrlić / Kristian Stančin
