Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
3.3.2021.|08:15-09:45|365|Opće informacije. Uvod. MIS. Odlučivanje Višeparametarsko odlučivanje|P||Dr.sc. Sanda Martinčić-Ipšić
3.3.2021.|10:00-11:30|365|Višeparametarsko odlučivanje|V||Karlo Babić
17.3.2021.|10:00-11:30|online|1DZ- višeparametarsko odlučivanje – analiza BI, OLAP, DBMS, Big data alata –|DZ|5|Karlo Babić
10.3.2021.|08:15-09:45|365|Skladišta podataka|P||Dr.sc. Sanda Martinčić-Ipšić
10.3.2021.|08:15-09:45|365|Skladišta: Metodologija, Faze izgradnje|P||Dr.sc. Sanda Martinčić-Ipšić
17.3.2021.|08:15-09:45|365|Dimenzijsko modeliranje|P||Dr.sc. Sanda Martinčić-Ipšić
17.3.2021.|08:15-09:45|365|Dimenzijsko modeliranje (zadaci)|P||Dr.sc. Sanda Martinčić-Ipšić
31.3.2021.|10:00-11:30|online|2DZ Dimenzijski modeli rok 31.3.|DZ|5|Karlo Babić
24.3.2021.|10:00-11:30|365|Dimenzijsko modeliranje 2 – wrkshp|V||Dr.sc. Sanda Martinčić-Ipšić
24.3.2021.|08:15-09:45|365|Performanse skladišta podataka|P||Dr.sc. Sanda Martinčić-Ipšić
31.3.2021.|10:00-11:30|365|prezentacije 2DZ|V||Dr.sc. Sanda Martinčić-Ipšić
31.3.2021.|08:15-09:45|365|Ekstrakcija, transformacija i punjenje|P||Dr.sc. Sanda Martinčić-Ipšić
7.4.2021.|10:00-11:30|365|Terradata University network- Microstrategy Tutorial 1|V||Karlo Babić
7.4.2021.|10:00-11:30|365|Microstrategy Tutorial 2 Kontrolne ploče (Dashboards)- Microstrategy|V||Karlo Babić
21.4.2021.|10:00-11:30|online|3DZ Microstrategy OLAP - samostalna vježba|DZ|5|Karlo Babić
14.4.2021.|08:15-09:45|365|Ekstrakcija, transformacija i punjenje|P||Dr.sc. Sanda Martinčić-Ipšić
14.4.2021.|10:00-11:30|365|ETL alat Talend 1|V||Karlo Babić
21.4.2021.|10:00-11:30|365|ETL alat Talend 2|V||Karlo Babić
21.4.2021.|10:00-11:30|365|Tableau|V||Karlo Babić
21.4.2021.|00:00-23:59|online|Rok za prijavu seminara 21.4.|P+V||Dr.sc. Sanda Martinčić-Ipšić / Karlo Babić
28.4.2021.|10:00-11:30|365|Kolokvij|V||Karlo Babić
28.4.2021.|10:00-11:30|365|Kolokvij|K|20|Karlo Babić
5.5.2021.|10:00-11:30|365|Industrijska radionica @iOLAP|V||Karlo Babić
5.5.2021.|10:00-11:30|365|Industrijska radionica @iOLAP|V||Karlo Babić
12.5.2021.|08:15-09:45|365|Big data 1 – koncepti i pregled alata|P||Dr.sc. Sanda Martinčić-Ipšić
12.5.2021.|08:15-09:45|365|Big data 2 – algoritmi i tehnologija|P||Dr.sc. Sanda Martinčić-Ipšić
19.5.2021.|08:15-09:45|365|Big data 3 – tijekovi podataka|P||Dr.sc. Sanda Martinčić-Ipšić
19.5.2021.|10:00-11:30|365|Big data alat 1|V||Karlo Babić
26.5.2021.|08:15-09:45|365|Big data 4 – primjene i NoSQL|P||Dr.sc. Sanda Martinčić-Ipšić
26.5.2021.|10:00-11:30|365|Big data alat 2|V||Karlo Babić
2.6.2021.|08:15-09:45|365|Big data alat 3 (Map reduce)|P||Dr.sc. Sanda Martinčić-Ipšić
2.6.2021.|10:00-11:30|365|Big data alat 3|V||Karlo Babić
7.6.2021.|00:00-23:59|online|Rok za predaju seminara 7.6.|||Karlo Babić
9.6.2021.|08:15-11:30|365|Seminari|P+V||Dr.sc. Sanda Martinčić-Ipšić
9.6.2021.|08:15-11:30|365|Seminari|S|30|Dr.sc. Sanda Martinčić-Ipšić
|00:00-23:59|online|4DZ - četvrta domaća zadaća|DZ|5|Karlo Babić
16.6.2021.|10:00-11:30|365|Završni ispit (1. redovni rok)|Z|30|Dr.sc. Sanda Martinčić-Ipšić
2.7.2021.|10:00-11:30|365|Završni ispit (2. redovni rok)|Z||Dr.sc. Sanda Martinčić-Ipšić
2.9.2021.|10:00-11:30|365|Završni ispit (1. izvanredni rok)|Z||Dr.sc. Sanda Martinčić-Ipšić
9.9.2021.|10:00-11:30|365|Završni ispit (2. izvanredni rok)|Z||Dr.sc. Sanda Martinčić-Ipšić
