Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
3.3.2021.|12:00-13:30|O-365|Uvod (pravila igre)|P||Danijela Jakšić
3.3.2021.|13:45-15:15|O-365|Pisanje znanstvenog članka|V||
10.3.2021.|12:00-13:30|online|Pregled tema za znanstveni članak|P||Danijela Jakšić
10.3.2021.|13:45-15:15|online|SQL ponavljanje – inicijalna samoprovjera|V||
17.3.2021.|12:00-13:30|online|ERP sustavi|P||Danijela Jakšić
17.3.2021.|13:45-15:15|online|Osnove PL/SQL jezika– sintaksa i petlje|V||
24.3.2021.|12:00-13:30|O-365|Skladišta podataka – 1. dio (uvod)|P||Danijela Jakšić
24.3.2021.|12:00-13:30|online|PL/SQL jezik – kursori, iznimke i procedure|V||
31.3.2021.|12:00-13:30|O-365|Skladišta podataka – 2. dio (BI)|P||Danijela Jakšić
31.3.2021.|13:45-15:15|online|PL/SQL jezik – funkcije, paketi|V||
7.4.2021.|12:00-13:30|online|1. teorijska samoprovjera – ERP sustavi  + Skladišta podataka (uvod+BI)|P||Danijela Jakšić
7.4.2021.|12:00-13:30|online|1. teorijska samoprovjera – ERP sustavi  + Skladišta podataka (uvod+BI)|SA|10|Danijela Jakšić
7.4.2021.|13:45-15:15|online|PL/SQL ponavljanje|V||
14.4.2021.|12:00-13:30|O-365|Skladišta podataka – 3. dio (dimenzijsko modeliranje)|P||Danijela Jakšić
14.4.2021.|13:45-15:15|online|PL/SQL samoprovjera|V||
14.4.2021.|13:45-15:15|online|PL/SQL samoprovjera|SA|10|
21.4.2021.|12:00-13:30|O-365|Skladišta podataka – 4. dio (ETL procesi)|P||Danijela Jakšić
21.4.2021.|13:45-15:15|O-365|DW – arhitektura, idef1x, analiza izvora i zahtjeva (WIP i BEAM)|V||
28.4.2021.|12:00-13:30|O-365|OLAP alati i analiza poslovnih podataka|P||Danijela Jakšić
28.4.2021.|13:45-15:15|O-365|DW – logički model za Data Mart (dimenzionalni model)|V||
5.5.2021.|12:00-13:30|online|2. teorijska samoprovjera – Skladišta podataka (DM+ETL) + OLAP|P||Danijela Jakšić
5.5.2021.|12:00-13:30|online|2. teorijska samoprovjera – Skladišta podataka (DM+ETL) + OLAP|SA|10|Danijela Jakšić
5.5.2021.|13:45-15:15|O-365|DW – logički model za EDW (data vault)|V||
12.5.2021.|12:00-13:30|online|Rok za prijavu teme završnog ispita|P||Danijela Jakšić
12.5.2021.|13:45-15:15|O-365|Izrada praktičnog rada - konzultacije|V||
19.5.2021.|12:00-13:30|O-365|Izrada seminarskog rada - konzultacije|P||Danijela Jakšić
19.5.2021.|13:45-15:15|O-365|Izrada praktičnog rada - konzultacije|V||
26.5.2021.|12:00-13:30|O-365|Izrada seminarskog rada - konzultacije|P||Danijela Jakšić
26.5.2021.|13:45-15:15|O-365|Izrada praktičnog rada - konzultacije|V||
2.6.2021.|12:00-13:30|O-365|Izrada seminarskog rada - konzultacije|P||Danijela Jakšić
2.6.2021.|13:45-15:15|O-365|Izrada praktičnog rada - konzultacije|V||
9.6.2021.|12:00-13:30|O-365|Izrada seminarskog rada - konzultacije|P||Danijela Jakšić
9.6.2021.|13:45-15:15|online|Predaja praktičnog rada|V||
9.6.2021.|13:45-15:15|online|Predaja praktičnog rada|PR|30|
1.7.2021.|00:00-23:59|O-365|Završni ispit - 1. redovni rok|Z|40|
15.7.2021.|00:00-23:59|O-365|Završni ispit - 2. redovni rok|Z||
1.9.2021.|00:00-23:59|O-365|Završni ispit - 1. izvanredni rok|Z||
8.9.2021.|00:00-23:59|O-365|Završni ispit - 2. izvanredni rok|Z||
