Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
08.10.2020.|12:00-13:30|O-357|Uvod|P||prof. dr.sc. Sanda Martinčić-Ipšić
08.10.2020.|12:00-13:30|O-357|Metodologija razvoja IS|P||prof. dr.sc. Sanda Martinčić-Ipšić
15.10.2020.|12:00-13:30|O-357/online|Specifičnosti IT projekata|P||prof. dr.sc. Sanda Martinčić-Ipšić
15.10.2020.|12:00-13:30|O-357/online|Životni ciklus projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
22.10.2020.|12:00-13:30|O-357/online|Definiranje projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
22.10.2020.|14:00-16:00|O-365|MS Project / Project Libre|V||Karlo Babić
29.10.2020.|12:00-13:30|O-357/online|Planiranje projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
29.10.2020.|14:00-16:00|O-365|MS Project / Project Libre|V||Karlo Babić
05.11.2020.|12:00-13:30|O-357/online|Izvođenje projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
05.11.2020.|14:00-16:00|O-365|MS Project / Project Libre|V||Karlo Babić
12.11.2020.|12:00-13:30|O-357/online|Evaluacija projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
12.11.2020.|14:00-16:00|O-365|MS Project / Project Libre|V||Karlo Babić
19.11.2020.|12:00-13:30|O-357/online|Evaluacija projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
19.11.2020.|14:00-16:00|O-365|Plan komunikacije|V||Karlo Babić
26.11.2020.|12:00-13:30|O-357/online|Vođenje i upravljanje projekta|P||prof. dr.sc. Sanda Martinčić-Ipšić
26.11.2020.|14:00-16:00|O-365|Git /Github|V||Karlo Babić
03.12.2020.|12:00-13:30|O-357/online|Timski rad|P||prof. dr.sc. Sanda Martinčić-Ipšić
03.12.2020.|14:00-16:00|O-365|Timski rad|pr|20|Karlo Babić
10.12.2020.|12:00-13:30|O-357/online|Upravljanje rizicima|P||prof. dr.sc. Sanda Martinčić-Ipšić
10.12.2020.|14:00-16:00|O-365|Metode mrežnog planiranja 1|V||Karlo Babić
17.12.2020.|12:00-13:30|O-357/online|Upravljanje promjenama|P||prof. dr.sc. Sanda Martinčić-Ipšić
17.12.2020.|14:00-16:00|O-365|Metode mrežnog planiranja 2|V||Karlo Babić
07.01.2021.|12:00-13:30|O-357/online|Motivacijske tehnike.|P||prof. dr.sc. Sanda Martinčić-Ipšić
07.01.2021.|14:00-16:00|O-365|Metode planiranja /Kanban|V||Karlo Babić
14.01.2021.|12:00-13:30|O-357/online|Osiguranje kvalitete. Dokumentiranje|P||prof. dr.sc. Sanda Martinčić-Ipšić
14.01.2021.|14:00-16:00|O-365|Kreativne metode|V||Karlo Babić
21.01.2021.|12:00-13:30|O-357/online|Analiza slučaja iz prakse.|P||prof. dr.sc. Sanda Martinčić-Ipšić
21.01.2021.||online|Predstavljanje seminara|s|30|Karlo Babić
28.01.2021.||online|Predstavljanje seminara - Nadoknada|V||prof. dr.sc. Sanda Martinčić-Ipšić
28.01.2021.||online|Predstavljanje seminara - Nadoknada|V||prof. dr.sc. Sanda Martinčić-Ipšić
11.02.2021.|00:00-23:59|online|Završni ispit (1. redoviti rok)||30|prof. dr.sc. Sanda Martinčić-Ipšić / Karlo Babić
25.02.2021.|00:00-23:59|online|Završni ispit (2. redoviti rok)|||prof. dr.sc. Sanda Martinčić-Ipšić / Karlo Babić
11.03.2021.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|||prof. dr.sc. Sanda Martinčić-Ipšić / Karlo Babić
09.09.2021.|00:00-23:59|online|Završni ispit (2. izvanrednii rok)|||prof. dr.sc. Sanda Martinčić-Ipšić / Karlo Babić
