Datum|Vrijeme|Prostor|Tema|Nastava||Izvođač
06.10.2021.|08:15-09:45|O-365|Uvodno predavanje. Uvodna razmatranja. Motivacija. Definicije i osnovni pojmovi. Perspektive upravljanja znanjem.|P||izv. prof. dr. sc. Ana Meštrović
06.10.2021.|10:00-11:30|O-365|Perspektive upravljanja znanjem, IT perspektiva.|V||dr. sc. Slobodan Beliga
13.10.2021.|08:15-09:45|O-365|Definicija pojma znanje. Oblici znanja. Pretvorbe znanja.|P||izv. prof. dr. sc. Ana Meštrović
13.10.2021.|10:00-11:30|O-365|Pregled primjera pretvorbe znanja.|V||dr. sc. Slobodan Beliga
20.10.2021.||online|Komponente upravljanja znanjem - rješenja i realizacija. Tehnologije upravljanja znanjem.|P||izv. prof. dr. sc. Ana Meštrović
20.10.2021.||online|Pregled tehnologija i alata za upravljanje znanjem.|V||dr. sc. Slobodan Beliga
27.10.2021.||online|Sustavi za upravljanje znanjem. Mehanizmi i tehnologije za upravljanje znanjem.|P||izv. prof. dr. sc. Ana Meštrović
27.10.2021.|10:00-11:30|O-365|Seminarski rad. Upute.|V||dr. sc. Slobodan Beliga
03.11.2021.|08:15-09:45|O-365|1. kolokvij iz teorije|k|10|izv. prof. dr. sc. Ana Meštrović
03.11.2021.|10:00-11:30|O-365|Primjeri projekata upravljanja znanjem|V||dr. sc. Slobodan Beliga
10.11.2021.|08:15-09:45|O-365|Analiza (društvenih) mreža. Uvod. Globalna i lokalna analiza mreže.|P||izv. prof. dr. sc. Ana Meštrović
10.11.2021.|10:00-11:30|O-365|Predstavljanje alata za vizualizaciju i rad s mrežama: NetworkX Funkcije za izračunavanje mjera mreže.|V||dr. sc. Slobodan Beliga
17.11.2021.|08:15-09:45|online|Mjere centralnosti. Uloga mjera centralnosti u detektiranju širenja utjecaja.|P||izv. prof. dr. sc. Ana Meštrović
17.11.2021.|10:00-11:30|online|Analiza kompleksnih mreža primjenom funkcija iz paketa NetworkX|V||dr. sc. Slobodan Beliga
24.11.2021.|08:15-09:45|O-365|Pregled algoritama za detektiranje zajednica. Primjena algoritama za detektiranje zajednica u domeni upravljanja znanjem. Analiza topologije mreže primjenom motifa i graphleta.|P||izv. prof. dr. sc. Ana Meštrović
24.11.2021.|10:00-11:30|online|Primjena alata Gephi: vizualizacija i analiza mreža.|V||dr. sc. Slobodan Beliga
01.12.2021.|08:15-09:45|online|Predviđanje budućih poveznica u mreži. Modeli mreža i praćenje rasta mreža.|P||izv. prof. dr. sc. Ana Meštrović
01.12.2021.||online|Zadavanje projektnih zadataka|V||dr. sc. Slobodan Beliga
08.12.2021.||online|Projektni zadaci - Konzultacije|P||izv. prof. dr. sc. Ana Meštrović
08.12.2021.||online|Projektni zadaci - Konzultacije|V||dr. sc. Slobodan Beliga
15.12.2021.|08:15-09:45|O-365|2. kolokvij iz teorijskog dijela|k|10|izv. prof. dr. sc. Ana Meštrović
15.12.2021.|10:00-11:30|O-365|Projektni zadaci - Konzultacije|V||dr. sc. Slobodan Beliga
22.11.2021.|08:15-09:45|O-365|Prezentacije projektnih zadataka|dz|30|izv. prof. dr. sc. Ana Meštrović
22.11.2021.|10:00-11:30|O-365|Semantičke tehnologije Definiranje pojma semantička sličnost|V||dr. sc. Slobodan Beliga
12.01.2021.|08:15-09:45|O-365|Semantičke tehnologije. Predstavljanje znanja na webu|P||izv. prof. dr. sc. Ana Meštrović
12.01.2021.||online|Semantičke tehnologije. Predstavljanje znanja na webu|V||dr. sc. Slobodan Beliga
19.01.2021.||online|Postupci određivanja semantičke sličnosti|P||izv. prof. dr. sc. Ana Meštrović
19.01.2021.|08:15-09:45|O-365|Uvod u ontologije. Inženjering ontologija.|V||dr. sc. Slobodan Beliga
26.01.2021.|10:00-11:30|O-365|Primjena eksternih izvora znanja u mjerenju semantičke sličnosti.|P||izv. prof. dr. sc. Ana Meštrović
26.01.2021.|08:15-09:45|O-365|Ponavljanje i priprema za završni ispit|dz|10|dr. sc. Slobodan Beliga
02.02.2021.|00:00-23:59|online|Završni ispit (1. redoviti rok)|z|30|izv. prof. dr. sc. Ana Meštrović / dr. sc. Slobodan Beliga
16.02.2021.|00:00-23:59|online|Završni ispit (2. redoviti rok)|z||izv. prof. dr. sc. Ana Meštrović / dr. sc. Slobodan Beliga
16.03.2021.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|z||izv. prof. dr. sc. Ana Meštrović / dr. sc. Slobodan Beliga
07.09.2021.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|z||izv. prof. dr. sc. Ana Meštrović / dr. sc. Slobodan Beliga
|00:00-23:59|online|Istra�ivanje tema iz podru?ja upravljanje znanjem i pisanje seminara|s|10|izv. prof. dr. sc. Ana Meštrović / dr. sc. Slobodan Beliga
