Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
06.10.2020.|12:15 - 13:45|O-358|Distribuirani sustavi: definicija, softverski i hardverski koncepti|P||izv. prof. dr. sc. Božidar Kovačić
08.10.2020.|16:15 - 17:45|O-366|Postavljanje okoline za razvoj softvera. Modularizacija, dokumentiranje, testiranje i mjerenje vremena izvođenja programskog koda|V||v. pred. dr. sc. Vedran Miletić
13.10.2020.|12:15 - 13:45|O-358|Klijent-server modeli|P||izv. prof. dr. sc. Božidar Kovačić
15.10.2020.|16:15 - 17:45|O-366|Python moduli numpy i scripy|V||v. pred. dr. sc. Vedran Miletić
20.10.2020.|12:15 - 13:45|online|Komunikacija u distribuiranim sustavima: OSI model, ATM model, klijent-server model|P||izv. prof. dr. sc. Božidar Kovačić
22.10.2020.|16:15 - 17:45|O-366|Python modul mpi4py: komunikacija točka-do-točke|V||v. pred. dr. sc. Vedran Miletić
27.10.2020.|12:15 - 13:45|online|Komunikacija u distribuiranim sustavima: poziv procedure na daljinu, objekti, komunikacija porukama|P||izv. prof. dr. sc. Božidar Kovačić
29.10.2020.|16:15 - 17:45|O-366|Primjene komunikacije točka-do- točke|V||v. pred. dr. sc. Vedran Miletić
03.11.2020.|12:15 - 13:45|online|Sinkronizacija: sinkronizacija sata, algoritmi za odabir|P||izv. prof. dr. sc. Božidar Kovačić
05.11.2020.|16:15 - 17:45|O-366|Python modul mpi4py: kolektivna komunikacija|V||v. pred. dr. sc. Vedran Miletić
10.11.2020.|12:15 - 13:45|online|Sinkronizacija: mutual exclusion, distribuirane transakcije|P||izv. prof. dr. sc. Božidar Kovačić
12.11.2020.|16:15 - 17:45|O-366|Primjene kolektivne komunikacije|V||v. pred. dr. sc. Vedran Miletić
17.11.2020.|12:15 - 13:45|online|Procesi: izvođenje na klijentu i serveru|P||izv. prof. dr. sc. Božidar Kovačić
19.11.2020.|16:15 - 17:45|O-366|Python modul mpi4py: komunikatori i grupe, dinamičko upravljanje procesima, jednostrana komunikacija, paralelni ulaz/izlaz i upravljanje okolinom|V||v. pred. dr. sc. Vedran Miletić
24.11.2020.|12:15 - 13:45|O-358|1. kolokvij|k|20|izv. prof. dr. sc. Božidar Kovačić
26.11.2020.|16:15 - 17:45|O-366|Distribuirani sustav za upravljanje verzijama Git|V||v. pred. dr. sc. Vedran Miletić
01.12.2020.|12:15 - 13:45|online|Procesi: migracija koda, softverski agenti|P||izv. prof. dr. sc. Božidar Kovačić
03.12.2020.|16:15 - 17:45|O-366|1. kontrolna zadaća|dz|20|v. pred. dr. sc. Vedran Miletić
08.12.2020.|12:15 - 13:45|online|Konzistentnost i replike: distribuirani protokoli, protokoli, konzistentnosti|P||izv. prof. dr. sc. Božidar Kovačić
10.12.2020.||online|Objava ponuđenih tema projekata|V||v. pred. dr. sc. Vedran Miletić
10.12.2020.|16:15 - 17:45|O-366|Python modul zmq: osnove asinkrone komunikacije|V||v. pred. dr. sc. Vedran Miletić
15.12.2020.|12:15 - 13:45|online|Oporavak u slučaju grešaka: pouzdanost klijent-server, komunikacije, pouzdanost, komunikacije u grupi, oporavak |P||izv. prof. dr. sc. Božidar Kovačić
17.12.2020.|16:15 - 17:45|O-366|Python modul zmq: utičnice i uzorci poručivanja|V||v. pred. dr. sc. Vedran Miletić
22.12.2020.|12:15 - 13:45|online|Sigurnost: sigurnosni kanali, kontrola pristupa, upravljanje sigurnošću|P||izv. prof. dr. sc. Božidar Kovačić
07.01.2021.||online|Rok za odabir teme projekta|pr||v. pred. dr. sc. Vedran Miletić
07.01.2021.|16:15 - 17:45|O-366|Python modul zmq: složeniji uzorci poručivanja tipa zahtjev-odgovor|V||v. pred. dr. sc. Vedran Miletić
12.01.2021.|12:15 - 13:45|online|Primjeri izvođenja algoritama na distribuiranim sustavima|P||izv. prof. dr. sc. Božidar Kovačić
14.01.2021.|16:15 - 17:45|O-366|Python modul zmq: pouzdani uzorci poručivanja tipa zahtjev- odgovor|V||v. pred. dr. sc. Vedran Miletić
19.01.2021.|12:15 - 13:45|online|Primjeri izvođenja algoritama na distribuiranim sustavima|P||izv. prof. dr. sc. Božidar Kovačić
21.01.2021.|16:15 - 17:45|O-366|2. kontrolna zadaća|dz|10|v. pred. dr. sc. Vedran Miletić
26.01.2021.|12:15 - 13:45|O-358|2. kolokvij|k|20|izv. prof. dr. sc. Božidar Kovačić
28.01.2021.|16:15 - 17:45|O-366|Izvođenje distribuiranih programa na superračunalu|V||v. pred. dr. sc. Vedran Miletić
29.01.2021.||online|Rok za predaju završne verzije projekta|pr||v. pred. dr. sc. Vedran Miletić
02.02.2021.|00:00 - 23:59|online|Završni ispit (1. redovni rok)|z|30|izv. prof. dr. sc. Božidar Kovačić / v. pred. dr. sc. Vedran Miletić
16.02.2021.|00:00 - 23:59|online|Završni ispit (2. redovni rok)|z||izv. prof. dr. sc. Božidar Kovačić / v. pred. dr. sc. Vedran Miletić
30.03.2021.|00:00 - 23:59|online|Završni ispit (1. izvanredni rok)|z||izv. prof. dr. sc. Božidar Kovačić / v. pred. dr. sc. Vedran Miletić
14.09.2021.|00:00 - 23:59|online|Završni ispit (2. izvanredni rok)|z||izv. prof. dr. sc. Božidar Kovačić / v. pred. dr. sc. Vedran Miletić
