Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
09.10.2020.|12:15-13:45|O-358|Uvodno predavanje|P||prof. dr. sc. Mile Pavlić
09.10.2020.|14:15-15:45|O-358|Uvod u kolegij i obaveze studenata|P||prof. dr. sc. Mile Pavlić
16.10.2020.|12:15-13:45|online|Uvod u dizajn arhitekture softvera|P||prof. dr. sc. Mile Pavlić
16.10.2020.|14:15-15:45|online|DTP ponavljanje|V||izv. prof. dr. sc. Sanja Čandrlić
23.10.2020.|12:15-13:45|online|Strukturna karta|P||prof. dr. sc. Mile Pavlić
23.10.2020.|14:15-15:45|online|DEV ponavljanje|V||izv. prof. dr. sc. Sanja Čandrlić
30.10.2020.|12:15-13:45|online|Strukturna karta. Izrada strukturne karte|P||prof. dr. sc. Mile Pavlić
30.10.2020.|14:15-15:45|online|Strukturna karta. Izrada strukturne karte|V||izv. prof. dr. sc. Sanja Čandrlić
06.11.2020.|12:15-13:45|online|Koncepti strukture APP|P||prof. dr. sc. Mile Pavlić
06.11.2020.|14:15-15:45|online|Koncepti strukture APP|V||izv. prof. dr. sc. Sanja Čandrlić
13.11.2020.|12:15-13:45|online|Metoda APP|P||prof. dr. sc. Mile Pavlić
13.11.2020.|14:15-15:45|online|Metoda APP|P||prof. dr. sc. Mile Pavlić
20.11.2020.|12:15-13:45|online|Metoda APP|P||prof. dr. sc. Mile Pavlić
20.11.2020.|14:15-15:45|online|Primjeri arhitekture programskog proizvoda|P||prof. dr. sc. Mile Pavlić
27.11.2020.|12:15-13:45|online|Projektiranje dijagrama arhitekture programskog proizvoda|P||prof. dr. sc. Mile Pavlić
27.11.2020.|14:15-15:45|online|Projektiranje dijagrama arhitekture programskog proizvoda|V||izv. prof. dr. sc. Sanja Čandrlić
04.12.2020.|12:15-13:45|online|Projektiranje dijagrama arhitekture programskog proizvoda|V||izv. prof. dr. sc. Sanja Čandrlić
04.12.2020.|14:15-15:45|online|ERP Sustavi|P||prof. dr. sc. Mile Pavlić
11.12.2020.|12:15-13:45|online|Prezentacija ERP sustava|V||izv. prof. dr. sc. Sanja Čandrlić
11.12.2020.|14:15-15:45|online|Komponente ERP-a|P||prof. dr. sc. Mile Pavlić
18.12.2020.|12:15-13:45|online|ERP sustavi|P||prof. dr. sc. Mile Pavlić
18.12.2020.|14:15-15:45|online|Faze životnog ciklusa ERP-a|P||prof. dr. sc. Mile Pavlić
08.01.2021.|12:15-13:45|online|Praktičan rad – APP|V||izv. prof. dr. sc. Sanja Čandrlić
08.01.2021.|14:15-15:45|online|Praktičan rad – APP|V||izv. prof. dr. sc. Sanja Čandrlić
15.01.2021.|12:15-13:45|O-358|Kolokvij|Z|25|izv. prof. dr. sc. Sanja Čandrlić
15.01.2021.|14:15-15:45|O-359|Praktičan rad – APP|V||izv. prof. dr. sc. Sanja Čandrlić
22.01.2021.|12:15-13:45|O-360|Predaja seminara|Z|25|izv. prof. dr. sc. Sanja Čandrlić
22.01.2021.|14:15-15:45|O-361|Analiza studentskih radova|V||izv. prof. dr. sc. Sanja Čandrlić
29.01.2021.|12:15-13:45|O-362|Analiza studentskih rezultata|V||izv. prof. dr. sc. Sanja Čandrlić
29.01.2021.|14:15-15:45|O-363|Analiza studentskih rezultata|V||izv. prof. dr. sc. Sanja Čandrlić
12.02.2021.|00:00-23:59|online|Završni ispit (1. redoviti rok)|Z|50|prof. dr. sc. Mile Pavlić
26.02.2021.|00:00-23:59|online|Završni ispit (2. redoviti rok)|Z||prof. dr. sc. Mile Pavlić
12.03.2021.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|Z||prof. dr. sc. Mile Pavlić
02.09.2021.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|Z||prof. dr. sc. Mile Pavlić
