Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
07.10.2020.|10:00-11:30|O-357|Uvod u kolegij. Znanstveno istraživanje i pisanje znanstvenog članka/postera|P||doc. dr. sc. Danijela Jakšić
07.10.2020.|12:00-13:30|O-357|Uvod u kolegij. Znanstveno istraživanje i pisanje znanstvenog članka/postera|V||doc. dr. sc. Danijela Jakšić
14.10.2020.|10:00-11:30|online|Informacijsko društvo: tehno-ekonomija, javni govor i informiranost. Razvoj informacijske tehnologije. 1. rasprava na forumu - početak u forumu|P||doc. dr. sc. Danijela Jakšić
14.10.2020.|12:00-13:30|online|Informacijsko društvo: tehno-ekonomija, javni govor i informiranost. Razvoj informacijske tehnologije. 1. rasprava na forumu - početak u forumu|r|5|doc. dr. sc. Danijela Jakšić
20.10.2020.|10:00-11:30|online|Razvoj računala i Interneta. Elementi i strukturne osobine računalnih komunikacijskih sustava. Glavne usluge računalnih komunikacijskih sustava.|P||doc. dr. sc. Danijela Jakšić
20.10.2020.|12:00-13:30|online|Razvoj računala i Interneta. Elementi i strukturne osobine računalnih komunikacijskih sustava. Glavne usluge računalnih komunikacijskih sustava.|V||doc. dr. sc. Danijela Jakšić
28.10.2020.|10:00-11:30|online|Elementi i strukturne osobine bežičnih komunikacijskih sustava. Sustavi i generacije mobilne telefonije. Utjecaji ICT na obrazovanje, rad i društvena kretanja. 1. rasprava na forumu - kraj u forumu|P||doc. dr. sc. Danijela Jakšić
28.10.2020.|12:00-13:30|online|Elementi i strukturne osobine bežičnih komunikacijskih sustava. Sustavi i generacije mobilne telefonije. Utjecaji ICT na obrazovanje, rad i društvena kretanja. 1. rasprava na forumu - kraj u forumu|r|5|doc. dr. sc. Danijela Jakšić
04.11.2020.|10:00-11:30|online|Virtualna stvarnost i virtualne zajednice, privatnost i nadziranje. Civilno društvo, tehno- ekonomski razvoj i društvene polarizacije. 2. rasprava na forumu - početak u forumu|P||doc. dr. sc. Danijela Jakšić
04.11.2020.|12:00-13:30|online|Virtualna stvarnost i virtualne zajednice, privatnost i nadziranje. Civilno društvo, tehno- ekonomski razvoj i društvene polarizacije. 2. rasprava na forumu - početak u forumu|r|5|doc. dr. sc. Danijela Jakšić
11.11.2020.|10:00-11:30|online|Društvo znanja, globalne suradnje i konfrontacija: Wikipedija, blogovi. Umrežavanje i samo- komunikacije: YouTube, Facebook, MySpace, Twitter.|P||doc. dr. sc. Danijela Jakšić
11.11.2020.|12:00-13:30|online|Društvo znanja, globalne suradnje i konfrontacija: Wikipedija, blogovi. Umrežavanje i samo- komunikacije: YouTube, Facebook, MySpace, Twitter.|V||doc. dr. sc. Danijela Jakšić
25.11.2020.|10:00-11:30|online|Otvorenost izvora i globalna suradnja: softver otvorenog izvora. Web 2.0 i 3.0, multimedija, znanost o podacima. Infozabava: metode medijskog oblikovanja javnog mnijenja.|P||doc. dr. sc. Danijela Jakšić
25.11.2020.|12:00-13:30|online|Otvorenost izvora i globalna suradnja: softver otvorenog izvora. Web 2.0 i 3.0, multimedija, znanost o podacima. Infozabava: metode medijskog oblikovanja javnog mnijenja.|V||doc. dr. sc. Danijela Jakšić
02.12.2020.|10:00-11:30|online|Nove tehnološke mogućnosti i novi oblici propagande i cenzure. Tehnološki razvoj i značajke suvremenog života: izazovi i perspektive. 2. rasprava na forumu - kraj u forumu|P||doc. dr. sc. Danijela Jakšić
02.12.2020.|12:00-13:30|online|Nove tehnološke mogućnosti i novi oblici propagande i cenzure. Tehnološki razvoj i značajke suvremenog života: izazovi i perspektive. 2. rasprava na forumu - kraj u forumu|r|5|doc. dr. sc. Danijela Jakšić
09.12.2020.|10:00-11:30|O-357|Priprema kritičkog osvrta - konzultacije|P||doc. dr. sc. Danijela Jakšić
09.12.2020.|12:00-13:30|O-357|Priprema kritičkog osvrta - konzultacije|V||doc. dr. sc. Danijela Jakšić
16.12.2020.|10:00-11:30|O-357|Priprema kritičkog osvrta - konzultacije|P||doc. dr. sc. Danijela Jakšić
16.12.2020.|12:00-13:30|O-357|Priprema kritičkog osvrta - konzultacije|V||doc. dr. sc. Danijela Jakšić
23.12.2020.|10:00-11:30|O-357|Priprema kritičkog osvrta - konzultacije|P||doc. dr. sc. Danijela Jakšić
23.12.2020.|12:00-13:30|O-357|Priprema kritičkog osvrta - konzultacije|V||doc. dr. sc. Danijela Jakšić
13.01.2021.|10:00-11:30|online|Kritički osvrt|P||doc. dr. sc. Danijela Jakšić
13.01.2021.|12:00-13:30|online|Kritički osvrt|dz|30|doc. dr. sc. Danijela Jakšić
20.01.2021.|10:00-11:30|O-357|Izrada seminarskog (završnog) rada - konzultacije|P||doc. dr. sc. Danijela Jakšić
20.01.2021.|12:00-13:30|O-357|Izrada seminarskog (završnog) rada - konzultacije|V||doc. dr. sc. Danijela Jakšić
27.01.2021.|10:00-11:30|O-357|Izrada seminarskog (završnog) rada - konzultacije|P||doc. dr. sc. Danijela Jakšić
03.02.2020.|00:00-23:59|online|Završni ispit (1. redoviti rok)|Z|50|doc. dr. sc. Danijela Jakšić
17.02.2020.|00:00-23:59|online|Završni ispit (2. redoviti rok)|Z||doc. dr. sc. Danijela Jakšić
29.03.2020.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|Z||doc. dr. sc. Danijela Jakšić
01.09.2020.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|Z||doc. dr. sc. Danijela Jakšić
