Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
05.10.2020.|10:00-11:30|O-357|Uvod - pravila igre|V||mag. inf. Kristian Stančin
05.10.2020.|10:00-11:30|O-357|Uvod - pravila igre|P||prof. dr. sc. Patrizia Poščić
12.10.2020.||online|Osnove teorije igara - simultane igre|V||mag. inf. Kristian Stančin
12.10.2020.||online|Osnove menadžmenta|P||prof. dr. sc. Patrizia Poščić
19.10.2020.||online|Osnove teorije igara - sekvencijalne igre + zadaća|V||mag. inf. Kristian Stančin
19.10.2020.||online|Teorije menadžmenta|P||prof. dr. sc. Patrizia Poščić
26.10.2020.|8:00-9:30|O-350|Strateški plan - promišljanje i planiranje|V||mag. inf. Kristian Stančin
26.10.2020.||online|Menadžersko planiranje (strateški menadžment)|P||prof. dr. sc. Patrizia Poščić
02.11.2020.|8:00-9:30|O-350|Izrada strateškog plana (1. faza) - konzultacije|V||mag. inf. Kristian Stančin
02.11.2020.||online|Menadžersko odlučivanje|P||prof. dr. sc. Patrizia Poščić
09.11.2020.|8:00-9:30|O-350|Izrada strateškog plana (1. faza) - konzultacije|V||mag. inf. Kristian Stančin
09.11.2020.||online|Organizacijski menadžment|P||prof. dr. sc. Patrizia Poščić
16.11.2020.|8:00-9:30|O-350|Prezentacija 1. faze strateškog plana. Strateški plan - Izvršenje strategije i kontrola|prez|15|mag. inf. Kristian Stančin
16.11.2020.||online|Kadrovski menadžment|P||prof. dr. sc. Patrizia Poščić
23.11.2020.|8:00-9:30|O-350|Izrada strateškog plana (2. faza) - konzultacije|V||mag. inf. Kristian Stančin
23.11.2020.|10:00-11:30|O-357|KOLOKVIJ|k|20|prof. dr. sc. Patrizia Poščić
30.11.2020.|8:00-9:30|O-350|Izrada strateškog plana (2. faza) - konzultacije|V||mag. inf. Kristian Stančin
30.11.2020.||online|Projektni menadžment i softver za upravljanje projektima|P||prof. dr. sc. Patrizia Poščić
07.12.2020.|8:00-9:30|O-350|Prezentacija 2. faze strateškog plana|prez|15|mag. inf. Kristian Stančin
07.12.2020.||online|Spašavanje projekata i upravljanje neusklađenostima i kriznim situacijama|P||prof. dr. sc. Patrizia Poščić
14.12.2020.||online|Alati za poslovno izvještavanje|V||mag. inf. Kristian Stančin
14.12.2020.||online|Virtualna organizacija i poslovanje te sustavi kvalitete|P||prof. dr. sc. Patrizia Poščić
21.12.2020.|8:00-9:30|O-350|Analiza alata - konzultacije|V||mag. inf. Kristian Stančin
21.12.2020.||online|Upravljanje vremenom|P||prof. dr. sc. Patrizia Poščić
11.01.2021.||O-350|Analiza alata - konzultacije|V||mag. inf. Kristian Stančin
11.01.2021.||O-357|Analiza alata - konzultacije|P||prof. dr. sc. Patrizia Poščić
18.01.2021.|8:00-9:30|O-350|Predaja analize alata|dz|10|mag. inf. Kristian Stančin
18.01.2021.|10:00-11:30|O-357|Konzultacije za završni ispit|P||prof. dr. sc. Patrizia Poščić
25.01.2021.|10:00-11:30|O-357|Evaluacija kolegija|V||mag. inf. Kristian Stančin
25.01.2021.|10:00-11:30|O-357|Evaluacija kolegija|P||prof. dr. sc. Patrizia Poščić
03.02.2021.|00:00-23:59|online|Završni ispit (1. redoviti rok)|Z|30|prof. dr. sc. Patrizia Poščić / mag. inf. Kristian Stančin
17.02.2021.|00:00-23:59|online|Završni ispit (2. redoviti rok)|Z||prof. dr. sc. Patrizia Poščić / mag. inf. Kristian Stančin
29.03.2021.|00:00-23:59|online|Završni ispit (1. izvanredni rok)|Z||prof. dr. sc. Patrizia Poščić / mag. inf. Kristian Stančin
01.09.2021.|00:00-23:59|online|Završni ispit (2. izvanredni rok)|Z||prof. dr. sc. Patrizia Poščić / mag. inf. Kristian Stančin
|00:00-23:59|online|Aktivno sudjelovanje na svim raspravama postavljenima na forumu, vezanima uz gradivo kolegija|r|5|prof. dr. sc. Patrizia Poščić / mag. inf. Kristian Stančin
|00:00-23:59|online|Samostalno obra?ivanje zadanih tema |a|5|prof. dr. sc. Patrizia Poščić / mag. inf. Kristian Stančin
