Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
09.10.2020.|08:15-09:45|online|Predstavljanje, detaljno upoznavanje studenata s bodovima i obvezama. Uvod.|P||prof. dr.sc. Maja Matetić
09.10.2020.|10:00-11:30|online|Predstavljanje, detaljno upoznavanje studenata s bodovima i obvezama. Uvod.|V||mag. educ. math. et inf. Dejan Ljubobratović
16.10.2020.|08:15-09:45|online|Napredni postupci dubinske analize podataka, seminarski radovi studenata na zadane teme (P);|P||prof. dr.sc. Maja Matetić
16.10.2020.|10:00-11:30|online|Upoznavanje naprednih metoda dubinske analize podataka, izvođenje eksperimenata, priprema za projekt (V)|V||mag. educ. math. et inf. Dejan Ljubobratović
23.10.2020.|08:15-09:45|online|Napredni postupci dubinske analize podataka, seminarski radovi studenata na zadane teme (P);|P||prof. dr.sc. Maja Matetić
23.10.2020.|10:00-11:30|online|Upoznavanje naprednih metoda dubinske analize podataka, izvođenje eksperimenata, priprema za projekt (V)|V||mag. educ. math. et inf. Dejan Ljubobratović
30.10.2020.|08:15-09:45|online|Napredni postupci dubinske analize podataka, seminarski radovi studenata na zadane teme (P);|P||prof. dr.sc. Maja Matetić
30.10.2020.|10:00-11:30|online|Upoznavanje naprednih metoda dubinske analize podataka, izvođenje eksperimenata, priprema za projekt (V)|V||mag. educ. math. et inf. Dejan Ljubobratović
06.11.2020.|08:15-09:45|online|Napredni postupci dubinske analize podataka, seminarski radovi studenata na zadane teme (P);|P||prof. dr.sc. Maja Matetić
06.11.2020.|10:00-11:30|online|Upoznavanje naprednih metoda dubinske analize podataka, izvođenje eksperimenata, priprema za projekt (V)|V||mag. educ. math. et inf. Dejan Ljubobratović
13.11.2020.|08:15-09:45|online|Napredni postupci dubinske analize podataka, seminarski radovi studenata na zadane teme (P);|P||prof. dr.sc. Maja Matetić
