Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Izvođač
05.10.2020.|14:15-17:45|O-365|Osnovni pojmovi upravljanja računalnim i mrežnim sustavima. Izrada i održavanje vlastite dokumentacije korištenjem formata reStructuredText i alata Sphinx. Osnove korištenja operacijskih sustava sličnih Unixu|P+V||v. pred. dr. sc. Vedran Miletić
05.10.2020.||online|Početak izrade 1. eseja|P+V||v. pred. dr. sc. Vedran Miletić
12.10.2020.|14:15-17:45|O-365|Virtualizacija korištenjem KVM-a. Instalacija operacijskih sustava Ubuntu Desktop i Ubuntu Server u virtualnom okruženju. Upravljanje paketima. Instalacija sigurnosnih zakrpi i drugih nadogradnji operacijskih sustava. Automatizacija instalacije alatom Ansible|P+V||v. pred. dr. sc. Vedran Miletić
19.10.2020.||online|Rok za predaju 1. eseja|s|10|v. pred. dr. sc. Vedran Miletić
19.10.2020.|14:15-17:45|O-365|Upravljanje korisnicima i grupama. Upravljanje uslugama: pokretanje i zaustavljanje poslužiteljskih procesa i drugih daemona. Pisanje vlastitih usluga. Logging: praćenje događaja operacijskog sustava. Automatizacija zadaća operacijskog sustava|P+V||v. pred. dr. sc. Vedran Miletić
26.10.2020.|14:15-17:45|O-365|Particioniranje alatima fdisk i parted. Datotečni sustav i upravitelj volumenima ZFS. Sinkronizacija sigurnosnih pohrana podataka alatom rsync. Povratak izgubljenih podataka alatima testdisk i photorec|P+V||v. pred. dr. sc. Vedran Miletić
02.11.2020.|14:15-17:45|O-365|Å ifriranje alatom OpenSSL. Sigurna ljuska i udaljeni rad alatom OpenSSH|P+V||v. pred. dr. sc. Vedran Miletić
02.11.2020.||online|Početak izrade 2. eseja|P+V||v. pred. dr. sc. Vedran Miletić 
09.11.2020.|14:15-17:45|O-365|Virtualna privatna mreža alatom OpenVPN. Anonimne mreže Tor i I2P|P+V||v. pred. dr. sc. Vedran Miletić
16.11.2020.||online|Rok za predaju 2. eseja|s|10|v. pred. dr. sc. Vedran Miletić
16.11.2020.|14:15-17:45|O-365|Konfiguracija web poslužitelja nginx i korištenje interpretera PHP- a pomoću PHP-FPM-a. Konfiguracija sustava za upravljanje bazom podataka MariaDB. Instalacija i konfiguracija web aplikacija Dokuwiki i Wordpress na poslužitelju nginx. SSL/TLS certifikati autoriteta Let's Encrypt|P+V||v. pred. dr. sc. Vedran Miletić
23.11.2020.|14:15-17:45|O-365|Konfiguracija balansiranja opterećnja u nginxu. Posluživanje Node.js web aplikacija korištenjem proxya|P+V||v. pred. dr. sc. Vedran Miletić
23.11.2020.||online|Objavljene ponuđene teme praktičnih radova|pr||v. pred. dr. sc. Vedran Miletić
30.11.2020.|14:15-17:45|O-365|Konfiguracija poslužiteljskih Java aplikacija za audiovizualne konferencije Jitsi Meet i Big Blue Button|P+V||v. pred. dr. sc. Vedran Miletić
07.12.2020.||online|Rok za odabir teme praktičnog rada|pr||v. pred. dr. sc. Vedran Miletić
07.12.2020.|14:15-17:45|online|Prevođenje programa u izvršni oblik, API i ABI kompatibilnost. Nabavka i instalacija programa u obliku izvornog koda i binarnom obliku|P+V||v. pred. dr. sc. Vedran Miletić
14.12.2020.|14:15-17:45|online|Upravljački programi hardvera u jezgri i korisničkom prostoru. Prevođenje i instalacija dodatnih modula jezgre|P+V||v. pred. dr. sc. Vedran Miletić
21.12.2020.|14:15-17:45|online|Pokretanje i prilagodba aplikacija u kontejnerima alatom Docker. Orkestracija kontejnera alatom Kubernetesr|P+V||v. pred. dr. sc. Vedran Miletić
11.01.2021.|14:15-17:45|online|Prilagodba slika poslužitelja u oblaku alatom Packer. Stvaranje oblaka alatom Terraform|P+V||v. pred. dr. sc. Vedran Miletić
18.01.2021.|14:15-17:45|online|Orkestracija radnog opterećenja alatom Nomad|P+V||v. pred. dr. sc. Vedran Miletić
25.01.2021.||online|Rok za predaju praktičnog rada|pr|40|v. pred. dr. sc. Vedran Miletić
25.01.2021.||online|Rok za završetak aktivnosti u nastavi|A|10|v. pred. dr. sc. Vedran Miletić
25.01.2021.|14:15-17:45|O-365|Postavljanje poslužitelja u ormar. Proces pokretanja poslužitelja i instalacija operacijskog sustava. Kabliranje i povezivanje poslužitelja na mrežu|P+V||v. pred. dr. sc. Vedran Miletić
08.02.2021.|00:00-23:59|O-365|Završni ispit (1. redovni rok)|z|30|v. pred. dr. sc. Vedran Miletić
22.02.2021.|00:00-23:59|O-365|Završni ispit (2. redovni rok)|z||v. pred. dr. sc. Vedran Miletić
22.03.2021.|00:00-23:59|O-365|Završni ispit (1. izvanredni rok)|z||v. pred. dr. sc. Vedran Miletić
06.09.2021.|00:00-23:59|O-365|Završni ispit (2. izvanredni rok)|z||v. pred. dr. sc. Vedran Miletić
